case_id,load_factor,ESR_factor,true_kR,estimator_kR,delta_fraction,delta_percent,true_ESR_Ohm,estimated_ESR_Ohm,ESR_bias_percent,theory_scale_bias_percent,accepted_R_updates,projection_activations
low_CCM,0.25,1,0.982,0.97218,-0.01,-1,0.05,0.0505854090547945,1.17081810958899,1.01010101010102,512,0
low_CCM,0.25,1,0.982,0.97709,-0.005,-0.5,0.05,0.0503312110193437,0.66242203868736,0.502512562814061,512,0
low_CCM,0.25,1,0.982,0.979545,-0.0025,-0.25,0.05,0.0502050676333304,0.410135266660894,0.250626566416035,512,0
low_CCM,0.25,1,0.982,0.982,0,0,0.05,0.0500795549642473,0.159109928494661,0,512,0
low_CCM,0.25,1,0.982,0.984455,0.0025,0.25,0.05,0.0499546682935137,-0.0906634129726469,-0.249376558603487,512,0
low_CCM,0.25,1,0.982,0.98691,0.005,0.5,0.05,0.0498304029495002,-0.33919410099964,-0.497512437810932,512,0
low_CCM,0.25,1,0.982,0.99182,0.01,1,0.05,0.0495837177863842,-0.83256442723163,-0.990099009900991,512,0
nominal,0.75,1,0.982,0.97218,-0.01,-1,0.05,0.0505038205421137,1.0076410842274,1.01010101010102,512,0
nominal,0.75,1,0.982,0.97709,-0.005,-0.5,0.05,0.0502500324991885,0.500064998377026,0.502512562814061,512,0
nominal,0.75,1,0.982,0.979545,-0.0025,-0.25,0.05,0.0501240925681129,0.248185136225731,0.250626566416035,512,0
nominal,0.75,1,0.982,0.982,0,0,0.05,0.0499987823366926,-0.0024353266147692,0,512,0
nominal,0.75,1,0.982,0.984455,0.0025,0.25,0.05,0.0498740970939577,-0.251805812084516,-0.249376558603487,512,0
nominal,0.75,1,0.982,0.98691,0.005,0.5,0.05,0.0497500321758136,-0.499935648372807,-0.497512437810932,512,0
nominal,0.75,1,0.982,0.99182,0.01,1,0.05,0.0495037448878145,-0.992510224370913,-0.990099009900991,512,0
high_load,1,1,0.982,0.97218,-0.01,-1,0.05,0.0504624072172777,0.92481443455541,1.01010101010102,512,0
high_load,1,1,0.982,0.97709,-0.005,-0.5,0.05,0.0502088272815125,0.417654563024961,0.502512562814061,512,0
high_load,1,1,0.982,0.979545,-0.0025,-0.25,0.05,0.0500829906216591,0.165981243318125,0.250626566416035,512,0
high_load,1,1,0.982,0.982,0,0,0.05,0.0499577831451049,-0.0844337097901549,0,512,0
high_load,1,1,0.982,0.984455,0.0025,0.25,0.05,0.0498332001447431,-0.333599710513732,-0.249376558603487,512,0
high_load,1,1,0.982,0.98691,0.005,0.5,0.05,0.0497092369603034,-0.581526079393146,-0.497512437810932,512,0
high_load,1,1,0.982,0.99182,0.01,1,0.05,0.0494631516288168,-1.07369674236634,-0.990099009900991,512,0
ESR_1x,0.5,1,0.982,0.97218,-0.01,-1,0.05,0.0504931654687714,0.98633093754279,1.01010101010102,512,0
ESR_1x,0.5,1,0.982,0.97709,-0.005,-0.5,0.05,0.0502394309689284,0.478861937856867,0.502512562814061,512,0
ESR_1x,0.5,1,0.982,0.979545,-0.0025,-0.25,0.05,0.0501135176081041,0.227035216208171,0.250626566416035,512,0
ESR_1x,0.5,1,0.982,0.982,0,0,0.05,0.0499882338140839,-0.0235323718322245,0,512,0
ESR_1x,0.5,1,0.982,0.984455,0.0025,0.25,0.05,0.0498635748768917,-0.272850246216638,-0.249376558603487,512,0
ESR_1x,0.5,1,0.982,0.98691,0.005,0.5,0.05,0.0497395361334169,-0.520927733166199,-0.497512437810932,512,0
ESR_1x,0.5,1,0.982,0.99182,0.01,1,0.05,0.0494933008060238,-1.0133983879524,-0.990099009900991,512,0
ESR_2x,0.5,2,0.982,0.97218,-0.01,-1,0.1,0.101022929805879,1.02292980587853,1.01010101010102,512,0
ESR_2x,0.5,2,0.982,0.97709,-0.005,-0.5,0.1,0.100515276892281,0.515276892281369,0.502512562814061,512,0
ESR_2x,0.5,2,0.982,0.979545,-0.0025,-0.25,0.1,0.100263358905083,0.263358905082756,0.250626566416035,512,0
ESR_2x,0.5,2,0.982,0.982,0,0,0.1,0.10001270050782,0.0127005078201625,0,512,0
ESR_2x,0.5,2,0.982,0.984455,0.0025,0.25,0.1,0.0997632922771275,-0.236707722872509,-0.249376558603487,512,0
ESR_2x,0.5,2,0.982,0.98691,0.005,0.5,0.1,0.0995151248834034,-0.484875116596606,-0.497512437810932,512,0
ESR_2x,0.5,2,0.982,0.99182,0.01,1,0.1,0.0990224757503175,-0.977524249682493,-0.990099009900991,512,0
