version_or_study,source_file,variable_or_rule,value_or_range,classification,reference_source,consumer,used_by_final_results,role
verification_v21,verification_v21/covariance/train_v21_covariance.m,median pooled ESR_raw/reference_ESR,0.9771980259455073,DERIVED,SIMULATION_REFERENCE_TRUTH,verification_v21 blind estimator,no final paper point results,archived commissioning output
verification_v21,verification_v21/results/raw/locked_covariance_v21.mat,locked.edgeGainCorrection,0.9771980259455073,LOCKED,SIMULATION_REFERENCE_TRUTH,structured_ltv_estimator_v21,no final paper point results,v2.1 blind lock
verification_v22,verification_v22/results/tables/table_kR_robustness_v22.csv,kR_raw / kR_after_once_calibration,V2 raw 0.9062-1.0162; calibrated 0.9937-1.0089,DERIVED_DEVICE_FEASIBILITY,synthetic per-unit architecture model,v22 feasibility only,no,not scalar provenance
verification_v23,verification_v23/F28379D_ADC_AFE_INTERFACE.md,Cal3 residual kR requirement,at most 0.3 percent,SPECIFICATION,production-calibration requirement,future hardware,no,not scalar provenance
paper_verification_v1,paper_verification_v1/scripts/paper_verification_engine.m,kRtrue,0.982+0.006*sin(2*pi*seed/17),HARDCODED_CASEWISE,SIMULATION_CONFIG,all compared estimators,yes,blind/static observation regressor
paper_verification_v11,paper_verification_v11/scripts/paper_verification_v11_engine.m,kRtrue,0.982+0.006*sin(2*pi*seed/17),HARDCODED_CASEWISE,SIMULATION_CONFIG,E1/E2/E3 factorial,yes,final static rows imported by algorithm selection
paper_verification_v11,paper_verification_v11/scripts/paper_verification_v11_engine.m,kRtrue,0.982,HARDCODED,SIMULATION_CONFIG,selected dynamic checks,yes,selected dynamic observation regressor
paper_algorithm_selection_v1,paper_algorithm_selection_v1/scripts/paper_algorithm_selection_engine.m,cfg.kRCalibration / cfg.kRSeedAmplitude,0.982 / 0.006,HARDCODED_CASEWISE,SIMULATION_CONFIG,generate_frozen_o1_stream,yes,final dynamic campaign center and seed variation
paper_algorithm_selection_v1,paper_algorithm_selection_v1/datasets/generate_frozen_o1_stream.m,hR=kR.*iSum,casewise 0.982+seed term,LOCKED_IN_OBSERVATION_STREAM,SIMULATION_CONFIG,TS-D-RLS TS-SLTVKE Dual EKF,yes,identical regressor supplied to all methods
paper_verification_v11,paper_verification_v11/results/tables/table_physical_PE_lower_bound.csv,kR_min,0.957654065426597,DERIVED_PROOF_ONLY,0.98 times v21 locked coefficient,Proposition 1 numerical lower bound,proof only,evaluated-envelope lower bound
manuscript_v025,manuscript_v025/sections/03_observation_framework.tex,k_R,0.982,MANUSCRIPT_ONLY,final algorithm config,reader,no,reported paper-campaign center
