cycle,time_s,C_OFF_F,C_ON_F,Q_OFF_C,Q_ON_C,C_true_F,ESR_true_Ohm
1,0.01598,9.99999985731059e-05,9.99999980819524e-05,1.3482758612636e-05,1.33856327404698e-05,0.0001,0.05
2,0.016,9.99999985739582e-05,9.99999980822902e-05,1.34355991547457e-05,1.3352667994912e-05,0.0001,0.05
3,0.01602,9.99999985734077e-05,9.99999980824264e-05,1.33532215119961e-05,1.35049154118873e-05,0.0001,0.05
4,0.01604,9.99999985724708e-05,9.99999980823203e-05,1.34024336865983e-05,1.35348114057633e-05,0.0001,0.05
5,0.01606,9.99999985729819e-05,9.99999980823518e-05,1.34878224254041e-05,1.33771115770265e-05,0.0001,0.05
6,0.01608,9.99999985738107e-05,9.99999980827076e-05,1.34409001425741e-05,1.33408747679472e-05,0.0001,0.05
7,0.0161,9.99999985733135e-05,9.99999980829152e-05,1.33586589734511e-05,1.34897119935551e-05,0.0001,0.05
8,0.01612,9.99999985723755e-05,9.99999980827783e-05,1.3407987773883e-05,1.35164213895302e-05,0.0001,0.05
9,0.01614,9.99999985728946e-05,9.99999980828253e-05,1.34934682950795e-05,1.33558863213776e-05,0.0001,0.05
10,0.01616,9.99999985737365e-05,9.99999980831705e-05,1.34465098108932e-05,1.33166655735171e-05,0.0001,0.05
11,0.01618,9.99999985732461e-05,9.99999980834007e-05,1.33640970594797e-05,1.34622676321437e-05,0.0001,0.05
12,0.0162,9.99999985722937e-05,9.99999980832845e-05,1.34132044458156e-05,1.34861569864838e-05,0.0001,0.05
13,0.01622,9.99999985728165e-05,9.99999980833536e-05,1.3498399660924e-05,1.33233275045137e-05,0.0001,0.05
14,0.01624,9.9999998573666e-05,9.99999980836977e-05,1.34509997258685e-05,1.32815483824185e-05,0.0001,0.05
15,0.01626,9.99999985732028e-05,9.99999980839116e-05,1.33679977046146e-05,1.34242420773323e-05,0.0001,0.05
16,0.01628,9.99999985723247e-05,9.99999980837919e-05,1.34164340031156e-05,1.34458036864398e-05,0.0001,0.05
17,0.0163,9.99999985728089e-05,9.99999980838817e-05,1.35008500541921e-05,1.32813145403945e-05,0.0001,0.05
18,0.01632,9.99999985737401e-05,9.99999980842717e-05,1.34525108267732e-05,1.32375102743382e-05,0.0001,0.05
19,0.01634,9.99999985746466e-05,9.99999980846335e-05,1.34035475648787e-05,1.31935062652522e-05,0.0001,0.05
20,0.01636,9.99999985741333e-05,9.99999980848097e-05,1.33192793418922e-05,1.33330648129919e-05,0.0001,0.05
21,0.01638,9.9999998573276e-05,9.99999980847409e-05,1.33659400704094e-05,1.3352829047895e-05,0.0001,0.05
22,0.0164,9.99999985738668e-05,9.99999980847825e-05,1.34480134799428e-05,1.31879371748571e-05,0.0001,0.05
23,0.01642,9.99999985747999e-05,9.9999998085169e-05,1.3397631772386e-05,1.31427940819405e-05,0.0001,0.05
24,0.01644,9.99999985743954e-05,9.99999980853799e-05,1.33118843959435e-05,1.32807206449337e-05,0.0001,0.05
25,0.01646,9.99999985735513e-05,9.99999980852628e-05,1.33568962448719e-05,1.32996521895977e-05,0.0001,0.05
26,0.01648,9.99999985741484e-05,9.99999980852805e-05,1.34370992030474e-05,1.31347474433776e-05,0.0001,0.05
27,0.0165,9.99999985750987e-05,9.99999980856671e-05,1.33847955258199e-05,1.30890786967599e-05,0.0001,0.05
28,0.01652,9.99999985747647e-05,9.999999808583e-05,1.32971419324509e-05,1.32259575085894e-05,0.0001,0.05
29,0.01654,9.99999985739179e-05,9.99999980857486e-05,1.33400376344455e-05,1.32446743805376e-05,0.0001,0.05
30,0.01656,9.99999985746355e-05,9.99999980857394e-05,1.34178500469424e-05,1.30803805019985e-05,0.0001,0.05
31,0.01658,9.99999985756502e-05,9.9999998086118e-05,1.33631900127144e-05,1.30347782704396e-05,0.0001,0.05
