C_over_C0,ESR_over_ESR0,F_R_Ohm,F_C_F,S_R_C_Ohm_per_F,S_R_R,S_C_C,S_C_R_F_per_Ohm,normalized_cross_R_C,normalized_cross_C_R
1,1,0.0499999999999999,9.99999983299869e-05,1.52655665885959e-11,0.999999999999999,0.999999999933097,4.5178704527471e-14,3.05311331771918e-14,2.25893526409806e-11
0.95,1,0.05,9.49999983303214e-05,2.22044604925031e-11,0.999999999999998,0.999999999930878,3.95115797718892e-14,4.21884749357559e-14,2.07955686664882e-11
0.9,1,0.0500000000000002,8.99999983306781e-05,9.0205620750794e-12,0.999999999999984,0.999999999923744,3.5980333296104e-14,1.62370117351429e-14,1.99890744241489e-11
0.85,1,0.0500000000000001,8.4999998331084e-05,1.45716771982052e-11,0.999999999999985,0.999999999912681,3.57071143486376e-14,2.47718512369488e-14,2.10041853233659e-11
0.8,1,0.05,7.99999983315513e-05,1.80411241501588e-11,0.999999999999987,0.999999999906534,3.83330520103975e-14,2.88657986402541e-14,2.39581580061604e-11
1,1.25,0.0624999999999999,9.99999983305516e-05,1.38777878078145e-11,1.00000000000001,0.999999999947264,4.87066983967388e-14,2.22044604925032e-14,3.044168700617e-11
0.95,1.25,0.0625,9.49999983308153e-05,4.16333634234434e-12,1,0.999999999942376,4.29241061097874e-14,6.32827124036339e-15,2.82395439894603e-11
0.9,1.25,0.0625,8.99999983311279e-05,7.63278329429795e-12,0.999999999999988,0.9999999999285,3.93126286732381e-14,1.09912079437891e-14,2.73004370848703e-11
0.85,1.25,0.0624999999999999,8.49999983315303e-05,1.11022302462516e-11,1,0.99999999990974,3.86116919687263e-14,1.50990331349022e-14,2.83909505342921e-11
0.8,1.25,0.0624999999999999,7.99999983320305e-05,1.2490009027033e-11,0.999999999999995,0.999999999899969,4.0819669692993e-14,1.59872115546023e-14,3.18903676125528e-11
1,1.5,0.0750000000000001,9.99999983312045e-05,1.94289029309402e-11,1,0.99999999996201,5.5817438344985e-14,2.59052039079203e-14,4.18630794573479e-11
0.95,1.5,0.0750000000000001,9.49999983313945e-05,2.91433543964104e-11,1,0.999999999954363,4.97372325616863e-14,3.69149155687864e-14,3.92662369225929e-11
0.9,1.5,0.0749999999999999,8.99999983316609e-05,9.71445146547012e-12,0.999999999999998,0.999999999934525,4.58010365744776e-14,1.16573417585642e-14,3.81675311862468e-11
0.85,1.5,0.0750000000000001,8.49999983320492e-05,2.77555756156289e-12,1,0.999999999908913,4.44132577936962e-14,3.1456319031046e-15,3.91881694104841e-11
0.8,1.5,0.0749999999999999,7.99999983325718e-05,5.27355936696949e-11,1.00000000000001,0.999999999895494,4.58471151668083e-14,5.62512999143414e-14,4.29816713647434e-11
1,1.75,0.0875,9.9999998331947e-05,0,0.999999999999982,0.999999999977665,6.27547059456335e-14,0,5.49103686183633e-11
0.95,1.75,0.0875,9.49999983320587e-05,1.2490009027033e-11,1.00000000000001,0.999999999967417,5.66262531656592e-14,1.35605812293501e-14,5.21557604103992e-11
0.9,1.75,0.0874999999999999,8.99999983322729e-05,6.93889390390723e-12,1,0.99999999994181,5.21376561715692e-14,7.13714801544744e-15,5.06893888838708e-11
0.85,1.75,0.0875,8.49999983326406e-05,1.52655665885959e-11,0.999999999999997,0.999999999909625,5.01600714089556e-14,1.48294075432075e-14,5.16353686397451e-11
0.8,1.75,0.0875000000000001,7.99999983331766e-05,1.94289029309402e-11,0.999999999999997,0.9999999998928,5.06810305528349e-14,1.77635683940025e-14,5.5432378322113e-11
1,2,0.0999999999999997,9.99999983327734e-05,9.43689570931383e-11,0.999999999999973,0.999999999992652,6.61092274673036e-14,9.43689570931386e-14,6.61092285694943e-11
0.95,2,0.1,9.49999983328102e-05,2.35922392732846e-11,1.00000000000001,0.999999999980906,6.01146736556313e-14,2.24126273096203e-14,6.32786049585324e-11
0.9,2,0.0999999999999999,8.99999983329644e-05,9.71445146547012e-12,1,0.99999999995069,5.53181632445554e-14,8.74300631892312e-15,6.14646269657696e-11
0.85,2,0.1,8.49999983333033e-05,1.38777878078145e-11,1.00000000000001,0.999999999912555,5.30098968193338e-14,1.17961196366423e-14,6.2364585716191e-11
0.8,2,0.0999999999999998,7.99999983338388e-05,5.55111512312578e-11,0.999999999999979,0.999999999892889,5.29741181476418e-14,4.44089209850064e-14,6.62176490636682e-11
