cycle,time_s,vT_minus_V,vT_plus_V,delta_v_edge_V,i1_A,i2_A,ESR_edge_Ohm,ESR_true_Ohm
1,0.01598,40.2163239068925,40.0955741107175,0.120749796175005,0.933291653090908,1.48170427040918,0.0500000000000002,0.05
2,0.016,40.2170992357835,40.096750889795,0.120348345988432,0.929373069348893,1.47759385041983,0.0499999999999985,0.05
3,0.01602,40.2177315749672,40.0977896283628,0.119941946604435,0.925433633950232,1.47340529813852,0.0499999999999987,0.05
4,0.01604,40.2164205489496,40.0960864315492,0.120334117400404,0.929551907269691,1.47713044073837,0.0500000000000003,0.05
5,0.01606,40.2153043071717,40.0945828618392,0.120721445332542,0.933702629192601,1.48072627745815,0.0500000000000019,0.05
6,0.01608,40.216216576312,40.0959160459761,0.120300530335804,0.929805855131669,1.4762047515845,0.0499999999999981,0.05
7,0.0161,40.2170207431888,40.0971459414989,0.119874801689974,0.925884130562179,1.47161190323726,0.050000000000001,0.05
8,0.01612,40.2159167583563,40.095668971697,0.120247786659284,0.930015051536398,1.47494068164929,0.0499999999999999,0.05
9,0.01614,40.2150403051102,40.0944241968905,0.1206161082197,0.934172723288355,1.47814944110567,0.0499999999999995,0.05
10,0.01616,40.2162213137165,40.0960449247613,0.120176388955208,0.930276513372391,1.47325126573173,0.0500000000000009,0.05
11,0.01618,40.2173233394858,40.0975912690418,0.119732070443959,0.926348193978401,1.46829321490074,0.0500000000000009,0.05
12,0.0162,40.216547460352,40.0964607520388,0.120086708313245,0.930464739304142,1.47126942696081,0.049999999999999,0.05
13,0.01622,40.2160246765457,40.0955877361695,0.12043694037618,0.934599584710135,1.47413922281352,0.049999999999999,0.05
14,0.01624,40.2175789860177,40.097599601876,0.119979384141786,0.930671355411681,1.46891632742407,0.0499999999999993,0.05
15,0.01626,40.2190750060459,40.0995574893815,0.119517516664359,0.926701499816385,1.46364883347073,0.0500000000000016,0.05
16,0.01628,40.2187158296384,40.0988608791638,0.11985495047459,0.930766859507171,1.46633214998456,0.0500000000000013,0.05
17,0.0163,40.2186257957365,40.0984374881395,0.120188307597033,0.934840131355445,1.46892602058521,0.05,0.05
18,0.01632,40.220621099898,40.100906934598,0.119714165299996,0.93083912418673,1.46344418181312,0.0500000000000014,0.05
19,0.01634,40.2225684254706,40.1033323587781,0.119236066692515,0.926785537496047,1.45793579635424,0.0500000000000004,0.05
20,0.01636,40.2244635884408,40.1057090707835,0.118754517657237,0.9226805493061,1.45240980383857,0.0500000000000016,0.05
21,0.01638,40.2245217961564,40.1054485335444,0.119073262612005,0.926601810925945,1.45486344131418,0.0499999999999996,0.05
22,0.0164,40.224848857093,40.1054600307948,0.119388826298234,0.930520838164338,1.45725568780032,0.0500000000000005,0.05
23,0.01642,40.2272413010357,40.1083436326024,0.118897668433348,0.92635446816066,1.45159890050631,0.0499999999999998,0.05
24,0.01644,40.2295782496533,40.1111747739316,0.118403475721763,0.92212591456696,1.44594359986832,0.0499999999999995,0.05
25,0.01646,40.2300792866582,40.1113691751025,0.118710111555721,0.925913917362765,1.44828831375163,0.0500000000000007,0.05
26,0.01648,40.2308404881165,40.1118264785629,0.119014009553602,0.929689148299256,1.45059104277277,0.0500000000000004,0.05
27,0.0165,40.2336479266732,40.1151364126251,0.118511514048087,0.925367579478827,1.44486270148292,0.0500000000000001,0.05
