test_id,test_group,Vin_V,D,load_fraction,Rload_Ohm,C_F,ESR_Ohm,rank_Phi,lambda_min_gram,cond_gram_raw,cond_gram_normalized
1,sensitivity,24,0.4,1,10,0.0001,0.05,2,4.28718099904097e-08,44768794283.8442,1.00268630012474
2,sensitivity,24,0.4,1,10,9.5e-05,0.05,2,4.27684238920813e-08,44771403396.1392,1.00280915374133
3,sensitivity,24,0.4,1,10,9e-05,0.05,2,4.2659712831357e-08,44781494539.7394,1.00282335769574
4,sensitivity,24,0.4,1,10,8.5e-05,0.05,2,4.25404208355975e-08,44803128327.7641,1.0026471370623
5,sensitivity,24,0.4,1,10,8e-05,0.05,2,4.24069798712038e-08,44837720335.5807,1.0022297520397
6,sensitivity,24,0.4,1,10,0.0001,0.0625,2,4.2564565602201e-08,44790494810.0401,1.00265613637583
7,sensitivity,24,0.4,1,10,9.5e-05,0.0625,2,4.2464997162299e-08,44792690900.4748,1.00277697174693
8,sensitivity,24,0.4,1,10,9e-05,0.0625,2,4.23603463863751e-08,44802236320.672,1.00279170711186
9,sensitivity,24,0.4,1,10,8.5e-05,0.0625,2,4.22456026627682e-08,44823012857.9414,1.00262222665869
10,sensitivity,24,0.4,1,10,8e-05,0.0625,2,4.21174171122037e-08,44856323742.8083,1.00222077748129
11,sensitivity,24,0.4,1,10,0.0001,0.075,2,4.22720104147572e-08,44811207256.144,1.00263185963635
12,sensitivity,24,0.4,1,10,9.5e-05,0.075,2,4.21759686136989e-08,44813026267.3933,1.00275068076182
13,sensitivity,24,0.4,1,10,9e-05,0.075,2,4.2075089074478e-08,44822054404.4681,1.00276595756518
14,sensitivity,24,0.4,1,10,8.5e-05,0.075,2,4.1964595784064e-08,44842001183.218,1.00260308670574
15,sensitivity,24,0.4,1,10,8e-05,0.075,2,4.18413467593188e-08,44874063778.0441,1.00221714975208
16,sensitivity,24,0.4,1,10,0.0001,0.0875,2,4.19933376519185e-08,44830968252.3491,1.00261338203592
17,sensitivity,24,0.4,1,10,9.5e-05,0.0875,2,4.19005527586745e-08,44832443669.7401,1.00273019190898
18,sensitivity,24,0.4,1,10,9e-05,0.0875,2,4.18031754591025e-08,44840981621.8377,1.00274601370071
19,sensitivity,24,0.4,1,10,8.5e-05,0.0875,2,4.16966540084644e-08,44860125776.4437,1.00258961385953
20,sensitivity,24,0.4,1,10,8e-05,0.0875,2,4.15780416897729e-08,44890973301.7633,1.00221876195877
21,sensitivity,24,0.4,1,10,0.0001,0.1,2,4.17277890087285e-08,44849813516.833,1.00260060706025
22,sensitivity,24,0.4,1,10,9.5e-05,0.1,2,4.16380109148616e-08,44850976523.4682,1.00271540784244
23,sensitivity,24,0.4,1,10,9e-05,0.1,2,4.15438853945815e-08,44859050115.1782,1.00273177226776
24,sensitivity,24,0.4,1,10,8.5e-05,0.1,2,4.14410750558318e-08,44877418399.5046,1.00258169793104
25,sensitivity,24,0.4,1,10,8e-05,0.1,2,4.1326817414709e-08,44907084351.82,1.00222550181079
1,operating,19.2,0.25,0.1,100,0.0001,0.05,2,1.47486187797866e-10,152898172893.588,1.08400610482769
2,operating,19.2,0.25,0.25,40,0.0001,0.05,2,3.04723528991987e-10,109605033360.995,1.04436412710313
3,operating,19.2,0.25,0.5,20,0.0001,0.05,2,7.68062323701954e-10,85557992256.221,1.01781886186303
4,operating,19.2,0.25,0.75,13.3333333333333,0.0001,0.05,2,1.48417189483663e-09,78080185621.4572,1.00874401658812
5,operating,19.2,0.25,1,10,0.0001,0.05,2,2.45417268621649e-09,74963133862.7397,1.00493141946422
6,operating,19.2,0.35,0.1,100,0.0001,0.05,2,4.0662197376295e-10,116300958950.876,1.10382164449424
7,operating,19.2,0.35,0.25,40,0.0001,0.05,2,1.20143024701833e-09,70575420187.4562,1.04040574076116
8,operating,19.2,0.35,0.5,20,0.0001,0.05,2,3.53241504911834e-09,55439245987.1143,1.01350662051344
9,operating,19.2,0.35,0.75,13.3333333333333,0.0001,0.05,2,7.13164782431618e-09,51599664914.6396,1.00619415995343
10,operating,19.2,0.35,1,10,0.0001,0.05,2,1.20083095384153e-08,50103125257.2088,1.00341187600222
11,operating,19.2,0.45,0.1,100,0.0001,0.05,2,1.0142206910531e-09,86221330918.3974,1.05569301644239
12,operating,19.2,0.45,0.25,40,0.0001,0.05,2,3.52762310424927e-09,53655141376.4352,1.01769785018902
13,operating,19.2,0.45,0.5,20,0.0001,0.05,2,1.1714061117213e-08,44554745185.0209,1.00492619982132
14,operating,19.2,0.45,0.75,13.3333333333333,0.0001,0.05,2,2.48952361567194e-08,42502176532.94,1.00213083616278
15,operating,19.2,0.45,1,10,0.0001,0.05,2,4.30626717233414e-08,41740689689.0107,1.00120319910316
16,operating,19.2,0.55,0.1,100,0.0001,0.05,2,5.5855845532498e-10,164167896335.527,1.21752603303491
17,operating,19.2,0.55,0.25,40,0.0001,0.05,2,5.89708719370628e-09,52179730890.0335,1.03243172210043
18,operating,19.2,0.55,0.5,20,0.0001,0.05,2,2.91516989516534e-08,43062101007.3489,1.00647817081036
19,operating,19.2,0.55,0.75,13.3333333333333,0.0001,0.05,2,7.0048404471471e-08,41751610116.9873,1.00235410428513
20,operating,19.2,0.55,1,10,0.0001,0.05,2,1.28254661319712e-07,41338260987.9352,1.00102965338165
21,operating,19.2,0.65,0.1,100,0.0001,0.05,2,2.4644847696401e-09,84493280807.8059,1.10730595620497
22,operating,19.2,0.65,0.25,40,0.0001,0.05,2,2.24550243845709e-08,51888285235.8129,1.01294489294432
23,operating,19.2,0.65,0.5,20,0.0001,0.05,2,1.01138017027226e-07,49102508439.2574,1.00230953362048
24,operating,19.2,0.65,0.75,13.3333333333333,0.0001,0.05,2,2.35045222088124e-07,48720465342.7757,1.00067035445931
25,operating,19.2,0.65,1,10,0.0001,0.05,2,4.22648338984476e-07,48613229421.1992,1.00015698115509
26,operating,24,0.25,0.1,100,0.0001,0.05,2,2.3044716843414e-10,152898172892.784,1.08400610482812
27,operating,24,0.25,0.25,40,0.0001,0.05,2,4.761305140501e-10,109605033360.897,1.04436412710315
28,operating,24,0.25,0.5,20,0.0001,0.05,2,1.20009738078482e-09,85557992256.158,1.01781886186314
29,operating,24,0.25,0.75,13.3333333333333,0.0001,0.05,2,2.31901858568242e-09,78080185621.4498,1.00874401658813
30,operating,24,0.25,1,10,0.0001,0.05,2,3.83464482221341e-09,74963133862.7274,1.0049314194642
