run,C_init_over_C0,ESR_init_over_ESR0,C_final_F,ESR_final_Ohm,C_MAPE_percent,ESR_MAPE_percent,convergence_time_s,converged,physical
1,0.7,0.5,9.99800349419134e-05,0.0494988589448074,0.0199650580866129,1.00228211038529,8e-06,1,1
2,1.3,1.5,9.99800349419121e-05,0.0494988589448072,0.0199650580879451,1.00228211038552,8e-06,1,1
3,0.999468571666829,1.68436274139824,9.99800349419133e-05,0.0494988589448074,0.0199650580867128,1.00228211038528,8e-06,1,1
4,1.2388873517465,0.770968019548957,9.99800349419116e-05,0.0494988589448112,0.0199650580884114,1.00228211037751,3e-07,1,1
5,0.99702259024349,1.66047722203152,9.99800349419116e-05,0.0494988589448114,0.0199650580884447,1.00228211037725,8e-06,1,1
6,1.28985383826078,1.9818327296454,9.99800349419113e-05,0.0494988589448114,0.0199650580886557,1.00228211037725,8e-06,1,1
7,1.11289717043374,1.37662151208456,9.99800349419119e-05,0.0494988589448114,0.019965058088145,1.00228211037722,8e-06,1,1
8,1.21924269635465,0.595187966082244,9.99800349419116e-05,0.0494988589448112,0.0199650580884114,1.00228211037751,8e-06,1,1
9,0.920554892999393,0.529651221949124,9.99800349419122e-05,0.0494988589448113,0.0199650580878341,1.00228211037741,8e-06,1,1
10,0.610726180704842,1.35706683724937,9.99800349419115e-05,0.0494988589448112,0.0199650580885224,1.00228211037752,8e-06,1,1
11,1.17845589173058,0.84207946915371,9.99800349419114e-05,0.0494988589448112,0.0199650580886335,1.00228211037751,2.3e-06,1,1
12,0.975243548466606,0.844406052866069,9.99800349419115e-05,0.0494988589448114,0.019965058088478,1.00228211037725,8e-06,1,1
13,1.26810750718656,1.58334670923078,9.99800349419114e-05,0.0494988589448112,0.0199650580885891,1.00228211037751,8e-06,1,1
14,0.928288572435429,1.99404237812769,9.99800349419133e-05,0.0494988589448074,0.0199650580867461,1.00228211038528,8e-06,1,1
15,1.05898829410908,0.779801846806606,9.99800349419119e-05,0.0494988589448114,0.0199650580880673,1.00228211037722,7.4e-06,1,1
16,1.20033162182305,0.673792429637424,9.99800349419133e-05,0.0494988589448074,0.0199650580867128,1.00228211038528,6.7e-06,1,1
17,1.36209030682656,0.729093987145357,9.99800349419116e-05,0.0494988589448112,0.0199650580883892,1.00228211037752,4.6e-06,1,1
18,0.791046719857492,0.794440229129749,9.99800349419125e-05,0.0494988589448073,0.0199650580875121,1.00228211038539,8e-06,1,1
19,1.35720560438724,0.671245153819795,9.99800349419133e-05,0.0494988589448074,0.0199650580867461,1.00228211038528,3e-07,1,1
20,1.35227842312349,0.935373364503356,9.99800349419133e-05,0.0494988589448074,0.0199650580867461,1.00228211038529,8e-06,1,1
21,1.31914363261687,1.36250790025438,9.99800349419115e-05,0.0494988589448112,0.0199650580885558,1.00228211037751,8e-06,1,1
22,1.35830756930599,0.652308525615336,9.9980034941912e-05,0.0494988589448114,0.0199650580880117,1.00228211037722,3e-07,1,1
