scenario,method,C_metric_percent,ESR_metric_percent,conv_or_recovery_cycles,joint_coverage_percent,supervisor_resets
S1 static,RLS,0.154034055774308,0.0117061123201752,4.3,100,NaN
S1 static,KF,0.117680047990194,0.108741738001318,2,98.14,NaN
S1 static,HYBRID,0.117680047990194,0.108741738001318,2,98.14,NaN
S2 C step,RLS,0.824677028238406,0.0446058419260964,531,100,0
S2 C step,KF,21.3943466770054,0.221577602288706,1200,100,0
S2 C step,HYBRID,0.148302768810582,0.221577602288706,7,99.1574854180169,1
S2 ESR step,RLS,2.11406403575361,2.45329052798716,871,100,0
S2 ESR step,KF,9.03292155455312,50.0805104832406,1200,97.7443609022556,0
S2 ESR step,HYBRID,0.216849237164469,0.102376553154796,2,84.4315245478036,1
S3 0.1-s joint ramp,RLS,19.3840432980291,12.825593509777,NaN,100,0
S3 0.1-s joint ramp,KF,33.6575423421848,0.419692329831574,NaN,2.92,0
S3 0.1-s joint ramp,HYBRID,9.84916697757976,0.419692329831574,NaN,30,6
