scenario,method,seed,C_metric,ESR_metric,recovery_cycles,post_coverage,resets
C step,RLS,1,0.921731283708341,0.014678040363912,535,100,0
C step,KF,1,21.2275006300016,0.164387219175478,1200,99.4987468671679,0
C step,HYBRID,1,0.0351555241963556,0.164387219175478,4,99.6119016817594,1
ESR step,RLS,1,1.84726618801389,2.43899201417206,869,100,0
ESR step,KF,1,9.33293072068472,49.964745203541,1200,99.2481203007519,0
ESR step,HYBRID,1,0.0707810453714321,0.0735179565313058,2,99.2894056847545,1
0.1-s joint ramp,RLS,1,18.8926825488669,12.7664007086707,NaN,NaN,0
0.1-s joint ramp,KF,1,33.7557278396992,0.404690249222935,NaN,NaN,0
0.1-s joint ramp,HYBRID,1,9.94342873972993,0.404690249222935,NaN,NaN,6
C step,RLS,2,1.01735848549219,0.00530329773232496,519,100,0
C step,KF,2,21.3626176423356,0.14286659246224,1200,100,0
C step,HYBRID,2,0.0404895067825535,0.14286659246224,2,99.3540051679587,1
ESR step,RLS,2,2.1562058046303,2.40506331434981,866,100,0
ESR step,KF,2,9.38203840022956,50.0378134674362,1200,99.749373433584,0
ESR step,HYBRID,2,0.0717001026632538,0.135986434618813,2,98.7080103359173,1
0.1-s joint ramp,RLS,2,19.338237256214,12.7524428561483,NaN,NaN,0
0.1-s joint ramp,KF,2,34.4881593268431,0.413166853505332,NaN,NaN,0
0.1-s joint ramp,HYBRID,2,10.653626818929,0.413166853505332,NaN,NaN,5
C step,RLS,3,1.00726352819713,0.0498640616679556,527,100,0
C step,KF,3,20.370463093822,0.169818710797797,1200,99.4987468671679,0
C step,HYBRID,3,0.0181408289299358,0.169818710797797,4,99.2238033635188,1
ESR step,RLS,3,2.22216724833907,2.42564622169718,868,100,0
ESR step,KF,3,9.15927085194317,50.0482763080781,1200,99.2481203007519,0
ESR step,HYBRID,3,0.145720769493535,0.141908658177376,2,97.5452196382429,1
0.1-s joint ramp,RLS,3,19.3526285741933,12.7432010937979,NaN,NaN,0
0.1-s joint ramp,KF,3,34.3056164374976,0.393532042745346,NaN,NaN,0
0.1-s joint ramp,HYBRID,3,10.3485170595205,0.393532042745346,NaN,NaN,6
