noise,C_factor,ESR_factor,Rload,seed,method,tail_C_err,tail_ESR_err,conv_cycles,joint_coverage,resets
nominal,0.8,1,17.2413793103448,1,RLS,0.247243017118204,0.119301147194659,11,100,0
nominal,0.8,1,17.2413793103448,1,KF,0.0514559308493099,0.274125790901773,3,98.8,0
nominal,0.8,1,17.2413793103448,1,HYBRID,0.0514559308493099,0.274125790901773,3,98.8,0
nominal,0.8,1,17.2413793103448,2,RLS,0.0382270782044484,0.175154468426912,6,100,0
nominal,0.8,1,17.2413793103448,2,KF,0.00832099378270057,0.29677126300628,2,99.1,0
nominal,0.8,1,17.2413793103448,2,HYBRID,0.00832099378270057,0.29677126300628,2,99.1,0
nominal,0.8,1,17.2413793103448,3,RLS,0.224270131921795,0.169092512800987,8,100,0
nominal,0.8,1,17.2413793103448,3,KF,0.211030926902728,0.226377636075199,7,98.6,0
nominal,0.8,1,17.2413793103448,3,HYBRID,0.211030926902728,0.226377636075199,7,98.6,0
10mV_5mA,0.8,1,17.2413793103448,1,RLS,2.18307011357434,0.478395719785497,70,100,0
10mV_5mA,0.8,1,17.2413793103448,1,KF,0.353644117393651,0.711749667477712,252,100,0
10mV_5mA,0.8,1,17.2413793103448,1,HYBRID,0.353644117393651,0.711749667477712,252,100,0
10mV_5mA,0.8,1,17.2413793103448,2,RLS,2.14398457676898,0.930343457129018,201,100,0
10mV_5mA,0.8,1,17.2413793103448,2,KF,1.27460780023477,0.798426486959656,206,99,0
10mV_5mA,0.8,1,17.2413793103448,2,HYBRID,1.27460780023477,0.798426486959656,206,99,0
10mV_5mA,0.8,1,17.2413793103448,3,RLS,1.69970977349944,0.741439449367636,89,100,0
10mV_5mA,0.8,1,17.2413793103448,3,KF,0.823751344125342,0.590205744392727,127,100,0
10mV_5mA,0.8,1,17.2413793103448,3,HYBRID,0.823751344125342,0.590205744392727,127,100,0
nominal,0.8,1,10,1,RLS,0.146828596191209,0.0579744020068244,5,100,0
nominal,0.8,1,10,1,KF,0.0829818632125785,0.153443300838963,3,99.6,0
nominal,0.8,1,10,1,HYBRID,0.0829818632125785,0.153443300838963,3,99.6,0
nominal,0.8,1,10,2,RLS,0.0557031723133095,0.0446882815910949,5,100,0
nominal,0.8,1,10,2,KF,0.0986531075402421,0.122561350775413,2,99.4,0
nominal,0.8,1,10,2,HYBRID,0.0986531075402421,0.122561350775413,2,99.4,0
nominal,0.8,1,10,3,RLS,0.242839634084431,0.0102111773392525,2,100,0
nominal,0.8,1,10,3,KF,0.127763786803419,0.20083770307603,2,99.6,0
nominal,0.8,1,10,3,HYBRID,0.127763786803419,0.20083770307603,2,99.6,0
10mV_5mA,0.8,1,10,1,RLS,1.70540390925919,0.3374905325118,21,100,0
10mV_5mA,0.8,1,10,1,KF,1.36558635116596,0.380267854146687,141,100,0
10mV_5mA,0.8,1,10,1,HYBRID,1.36558635116596,0.380267854146687,141,100,0
10mV_5mA,0.8,1,10,2,RLS,0.388676771127779,0.0763562615752126,20,100,0
10mV_5mA,0.8,1,10,2,KF,0.318352468103881,0.584977276823432,76,99.8,0
10mV_5mA,0.8,1,10,2,HYBRID,0.318352468103881,0.584977276823432,76,99.8,0
10mV_5mA,0.8,1,10,3,RLS,0.893737020417529,0.169421261077744,86,100,0
10mV_5mA,0.8,1,10,3,KF,0.658779269166875,0.413127753183925,215,98.4,0
10mV_5mA,0.8,1,10,3,HYBRID,0.658779269166875,0.413127753183925,215,98.4,0
nominal,0.8,1,6.89655172413793,1,RLS,0.195883626327998,0.0522516179488883,2,100,0
nominal,0.8,1,6.89655172413793,1,KF,0.191320796468563,0.171018117384059,2,93,0
nominal,0.8,1,6.89655172413793,1,HYBRID,0.191320796468563,0.171018117384059,2,93,0
nominal,0.8,1,6.89655172413793,2,RLS,0.0376006488225368,0.0357961161142493,2,100,0
nominal,0.8,1,6.89655172413793,2,KF,0.0505032267170673,0.175014560381514,2,98.8,0
nominal,0.8,1,6.89655172413793,2,HYBRID,0.0505032267170673,0.175014560381514,2,98.8,0
nominal,0.8,1,6.89655172413793,3,RLS,0.101912387024985,0.00375016020944186,2,100,0
nominal,0.8,1,6.89655172413793,3,KF,0.110908616563489,0.145437245030408,2,99.8,0
nominal,0.8,1,6.89655172413793,3,HYBRID,0.110908616563489,0.145437245030408,2,99.8,0
10mV_5mA,0.8,1,6.89655172413793,1,RLS,2.11022327637103,0.181584260111278,165,100,0
10mV_5mA,0.8,1,6.89655172413793,1,KF,0.860658782695542,0.364215844805481,180,99.8,0
10mV_5mA,0.8,1,6.89655172413793,1,HYBRID,0.860658782695542,0.364215844805481,180,99.8,0
10mV_5mA,0.8,1,6.89655172413793,2,RLS,2.48543613277729,0.136005228492144,69,100,0
10mV_5mA,0.8,1,6.89655172413793,2,KF,1.89825865888586,0.409867213786312,46,73.8,0
10mV_5mA,0.8,1,6.89655172413793,2,HYBRID,1.89825865888586,0.409867213786312,46,73.8,0
10mV_5mA,0.8,1,6.89655172413793,3,RLS,0.277735713541267,0.334677672827656,52,100,0
10mV_5mA,0.8,1,6.89655172413793,3,KF,0.330221871796963,0.726122066961592,57,92.4,0
