method,cycle,C_uF,ESR_mOhm,Ctrue_uF,Rtrue_mOhm,sigmaC_uF,sigmaR_mOhm
RLS,700,100.212071014157,49.9794166540048,100,50,228.161682598767,24.2180960962729
RLS,704,100.25550076525,49.9844363074707,100,50,228.230253545082,24.202115551794
RLS,708,100.265623109516,49.9843838459746,100,50,228.140747115045,24.1855729626421
RLS,712,100.244982243292,49.984069942519,100,50,227.902107852379,24.1684503512431
RLS,716,100.190224415839,49.9840926019409,100,50,227.496915567912,24.1506857791427
RLS,720,100.102071776028,49.987167087267,100,50,226.926967055295,24.132108520381
RLS,724,100.121110529367,49.9850237719957,100,50,226.82891057654,24.1126270291932
RLS,728,100.167273731796,49.9859092072456,100,50,226.83850888327,24.0923102022121
RLS,732,100.145889093033,49.9856404174839,100,50,226.527068298631,24.0710326849054
RLS,736,100.075662816983,49.9897859896646,100,50,225.981293860208,24.0489154659909
RLS,740,100.073157998689,49.9889041680796,100,50,225.72941941829,24.0257929250774
RLS,744,100.068892547939,49.9908014336624,100,50,225.459276847066,24.0018251237278
RLS,748,100.037757323912,49.9891364548122,100,50,225.060317132223,23.9769715766123
RLS,752,100.022765088047,49.9871260840136,100,50,224.729095610812,23.9514058679326
RLS,756,100.072808738214,49.989199576558,100,50,224.687393548362,23.9251274146382
RLS,760,100.062349759952,49.9893926428104,100,50,224.37368281586,23.8982670135937
RLS,764,100.04255324048,49.9894750904303,100,50,224.020556328,23.8709397856369
RLS,768,100.028944639766,49.9900371589247,100,50,223.699184789291,23.8432474161606
RLS,772,100.089094842041,49.9886902098148,100,50,223.712951837087,23.8153388081285
RLS,776,100.090853861482,49.9855803486222,100,50,223.471675474434,23.7872995422542
RLS,780,100.092084177101,49.9879569257295,100,50,223.234553375557,23.7593145609392
RLS,784,100.098801200246,49.9874984179042,100,50,223.028208382401,23.7315162577926
RLS,788,100.06688840824,49.9876545937463,100,50,222.65615043109,23.7040418412047
RLS,792,100.019598997341,49.9841790041187,100,50,222.221333778043,23.6769862147155
RLS,796,100.063212756785,49.9868311901845,100,50,222.195400908102,23.6505451048835
RLS,800,99.981989785412,49.9843224761762,80,50,221.619166427768,23.6248151055122
RLS,804,99.6707899734003,49.9843488372282,80,50,220.02852885535,23.5997741857835
RLS,808,99.3661472815107,49.9833097131266,80,50,218.473429767932,23.5756295717407
RLS,812,99.0495640666588,49.9841459889324,80,50,216.872966745702,23.5524035994183
RLS,816,98.7713728530516,49.9859843084456,80,50,215.448294145525,23.5300828588737
RLS,820,98.5047308246125,49.9837078605078,80,50,214.082527246603,23.5088500377863
RLS,824,98.2370295248805,49.9842326309338,80,50,212.72229116534,23.4887297471628
RLS,828,97.9246408259821,49.9824177407224,80,50,211.181515728233,23.4697220561801
RLS,832,97.6427243260437,49.9821614931555,80,50,209.787746393113,23.4518822123104
RLS,836,97.3997263754305,49.979433568846,80,50,208.577237519139,23.435183279923
RLS,840,97.1839649581434,49.9795805222581,80,50,207.500414530276,23.419607903765
RLS,844,96.9414859656985,49.9764279443967,80,50,206.327286981835,23.4051146524799
RLS,848,96.6980083649379,49.976516921496,80,50,205.16896916514,23.3916372439384
RLS,852,96.5048207724253,49.9797877221581,80,50,204.241676077287,23.3791834946469
RLS,856,96.2783066366628,49.9813289211519,80,50,203.190018677682,23.367651365823
RLS,860,96.0959239835707,49.9855205957637,80,50,202.33927969232,23.356912880735
RLS,864,95.8904614705488,49.9843433664046,80,50,201.403673084089,23.3468964061553
RLS,868,95.7322617712181,49.983695611737,80,50,200.676032834481,23.3375210942671
RLS,872,95.5434557362022,49.9842620806941,80,50,199.826791072164,23.3286490252377
RLS,876,95.354428028345,49.9836520369835,80,50,198.980556200661,23.3201563083918
RLS,880,95.1713847655368,49.9847345568742,80,50,198.160311247705,23.3119234950286
RLS,884,94.9231237983811,49.9852338205384,80,50,197.068021408594,23.3038940815415
RLS,888,94.7481893068838,49.9858160313559,80,50,196.277792851054,23.2958880428759
RLS,892,94.6048646781655,49.985005173043,80,50,195.613870793712,23.2878753584002
RLS,896,94.3807612398267,49.985834158913,80,50,194.610675365952,23.2797325285104
RLS,900,94.200401899822,49.9864482543664,80,50,193.783361026017,23.2713386963704
RLS,904,94.012227071083,49.9906401787691,80,50,192.919369903878,23.2626422909303
RLS,908,93.8941120685642,49.9868738610053,80,50,192.338926213961,23.2536253086474
RLS,912,93.6692768373603,49.9863681410652,80,50,191.318910754758,23.2441979799489
RLS,916,93.5064289342937,49.9855040167976,80,50,190.551613124031,23.2342715131204
RLS,920,93.2952530535919,49.9838258646758,80,50,189.5883973057,23.2238649825831
RLS,924,93.1204765335001,49.9849992640852,80,50,188.775737710421,23.2129477466553
RLS,928,93.0174279449354,49.9848993629799,80,50,188.256586030223,23.2014984588632
RLS,932,92.8114162895903,49.9858603767245,80,50,187.323808588905,23.1895338414773
RLS,936,92.6524969119672,49.9842048102542,80,50,186.585315629433,23.1770210083472
RLS,940,92.5571684569924,49.986282529093,80,50,186.105858354818,23.1639852656913
RLS,944,92.4197655625555,49.9843209198823,80,50,185.459082364305,23.1504594622238
RLS,948,92.2856519054597,49.9826655447636,80,50,184.826737741091,23.1364405097957
RLS,952,92.1326662293959,49.9807855979993,80,50,184.11918051059,23.1220088174839
RLS,956,91.9640278691775,49.9835699642535,80,50,183.34840771643,23.1072462148488
RLS,960,91.7781659166246,49.9852195789249,80,50,182.507198723972,23.0921294648585
RLS,964,91.5889838082759,49.9855087613518,80,50,181.650335056393,23.0767668140501
RLS,968,91.4140132121746,49.9847114278085,80,50,180.846722294308,23.0611477583312
RLS,972,91.2146713721824,49.9820996590696,80,50,179.943568342129,23.0454622896838
RLS,976,91.0309852552055,49.982348697541,80,50,179.099426687213,23.02976419677
RLS,980,90.8692022529159,49.9848728785559,80,50,178.339277289834,23.0140770076159
RLS,984,90.6923787383695,49.9840839756691,80,50,177.518981193001,22.9985997404206
RLS,988,90.5749440012142,49.9822960461865,80,50,176.93142468373,22.9833329581498
RLS,992,90.4560171416776,49.9842121813305,80,50,176.339914639858,22.9683734260857
RLS,996,90.3048194115164,49.9848142739139,80,50,175.626520361502,22.9538193770516
RLS,1000,90.1463320354776,49.9847489798652,80,50,174.891090006183,22.9397419865643
RLS,1004,90.034523282421,49.9851654423347,80,50,174.344726230059,22.9261015656002
RLS,1008,89.9176460953031,49.9840606462434,80,50,173.787700488149,22.9130587908479
RLS,1012,89.8169958003173,49.9827525433668,80,50,173.303327689246,22.9006080112138
RLS,1016,89.7107926983924,49.9835592511983,80,50,172.8076597095,22.8888157425627
RLS,1020,89.6075217424981,49.9839190280515,80,50,172.333655539248,22.8777004474882
RLS,1024,89.5259528574917,49.9852604855471,80,50,171.952582003896,22.8671956459761
RLS,1028,89.4291923614868,49.9842899117065,80,50,171.521721344923,22.8574201277989
RLS,1032,89.3385874980375,49.9827571223228,80,50,171.121664366602,22.8482781005528
RLS,1036,89.2225957842992,49.9862732176805,80,50,170.629977631253,22.8397944169124
RLS,1040,89.1229212285773,49.9861103989108,80,50,170.204847832532,22.8318676651996
RLS,1044,88.980115162025,49.9859534501243,80,50,169.617740275813,22.8245308831355
RLS,1048,88.8625612127854,49.9873918487713,80,50,169.128177813797,22.8177155668721
RLS,1052,88.7109936316501,49.9862749850986,80,50,168.509330202539,22.8113525357793
RLS,1056,88.5895873868168,49.9905796093853,80,50,168.004565068661,22.8054034245009
RLS,1060,88.4430039107511,49.9934912933781,80,50,167.403543535887,22.7998775354004
RLS,1064,88.3409051737107,49.9923256550055,80,50,166.969792506287,22.7946454954266
RLS,1068,88.2751019622348,49.9926195196621,80,50,166.672170019836,22.7896525975994
RLS,1072,88.1929160336556,49.9899588136547,80,50,166.312166300975,22.7848826989292
RLS,1076,88.0828587155719,49.9902110496425,80,50,165.847502420933,22.7802327747212
RLS,1080,88.0427030053561,49.9908934145712,80,50,165.647490815514,22.7756979420566
RLS,1084,87.9052999882433,49.9891727445429,80,50,165.083840282983,22.7711939251781
RLS,1088,87.8176315903641,49.9901698617461,80,50,164.710397619986,22.766704017516
RLS,1092,87.7392780071883,49.9903983155152,80,50,164.375416504997,22.7621387072891
RLS,1096,87.6816732893754,49.9884226452065,80,50,164.121653419308,22.7574275875566
RLS,1100,87.6100921233845,49.9851309512271,80,50,163.819113387493,22.752520389705
RLS,1104,87.5395716298952,49.9820138597657,80,50,163.523221357368,22.7474248809471
RLS,1108,87.4688137077254,49.9800015334304,80,50,163.228558292382,22.7420447795177
RLS,1112,87.3934223633193,49.9814155224983,80,50,162.917485208453,22.7363890417991
RLS,1116,87.3448086256229,49.9830328951621,80,50,162.705821634443,22.7304126383372
RLS,1120,87.2372438501869,49.9825061934163,80,50,162.272901620036,22.7241255103111
RLS,1124,87.1695481241038,49.983627953303,80,50,161.985310448095,22.717459091704
RLS,1128,87.0704629959164,49.9881094319667,80,50,161.576921384204,22.7104218142286
RLS,1132,86.9565495837846,49.9848838187525,80,50,161.108773874064,22.7030109698459
RLS,1136,86.8504060821722,49.983256254192,80,50,160.664058615389,22.6952900560462
RLS,1140,86.8028951094018,49.9838411824964,80,50,160.43092034173,22.6872233973046
RLS,1144,86.7409364585325,49.9826224162156,80,50,160.138889790941,22.6788827639062
RLS,1148,86.6880075378828,49.9843631088536,80,50,159.87555613084,22.6702799805125
RLS,1152,86.6019659370283,49.9826405429851,80,50,159.486456075548,22.6614519814567
RLS,1156,86.5408482782565,49.9789145432484,80,50,159.187049924421,22.6524461070293
RLS,1160,86.4772371611975,49.979617477338,80,50,158.87777488107,22.6433172758374
RLS,1164,86.4188641973413,49.9798388197318,80,50,158.588629479649,22.6341302385469
RLS,1168,86.3937737679587,49.9823259099042,80,50,158.423921380225,22.6248660219717
RLS,1172,86.3218335702881,49.9823218739346,80,50,158.090441327996,22.6156688064736
RLS,1176,86.2367270984517,49.9831201724758,80,50,157.713349948552,22.6065279436147
RLS,1180,86.151931602414,49.9854841380271,80,50,157.342751257357,22.5975263520548
RLS,1184,86.0905601749952,49.9830926394235,80,50,157.062970135307,22.5886801839257
RLS,1188,86.0303220124571,49.9836362669126,80,50,156.79253600338,22.5800510243783
RLS,1192,85.9736310480172,49.9844175353296,80,50,156.539573100301,22.5716454868257
RLS,1196,85.9166963515652,49.9838493868954,80,50,156.289355115906,22.5635452915769
RLS,1200,85.8703228924725,49.9822115386302,80,50,156.080487624232,22.5557423825667
RLS,1204,85.8032171137854,49.981827872715,80,50,155.79819304165,22.548251522646
RLS,1208,85.7058878349424,49.9779368199681,80,50,155.40732619904,22.5411184006912
RLS,1212,85.6666879641687,49.9780450567193,80,50,155.22731520607,22.5342849605042
RLS,1216,85.5804733160522,49.9776203806579,80,50,154.876627399457,22.5278750145136
RLS,1220,85.5168847934037,49.9766004834099,80,50,154.606903522585,22.5218292236398
RLS,1224,85.4910745424942,49.9777485184147,80,50,154.472794151168,22.5161471598405
RLS,1228,85.4043751177607,49.9769631250892,80,50,154.118126616622,22.5108561670154
RLS,1232,85.3611664128403,49.9774396049353,80,50,153.920308682671,22.5059059098329
RLS,1236,85.31739315922,49.9766342749169,80,50,153.720842850926,22.5012987876833
RLS,1240,85.2685392049715,49.9774888104544,80,50,153.50459692653,22.497053901957
RLS,1244,85.2173379494834,49.9764793858702,80,50,153.282283402785,22.4931708238776
RLS,1248,85.1701451902928,49.9789299136581,80,50,153.077492509256,22.489561095312
RLS,1252,85.1044387267085,49.9760867843126,80,50,152.810275916804,22.4862288708045
RLS,1256,85.0098435816001,49.9789299271363,80,50,152.443826560188,22.483106014774
RLS,1260,84.9255987308588,49.9805376858062,80,50,152.119385932768,22.4801700425559
RLS,1264,84.8700337417977,49.9837997134913,80,50,151.902466734116,22.4774531551468
RLS,1268,84.776198056474,49.980266560615,80,50,151.552593794558,22.4748423107664
RLS,1272,84.7469221211657,49.9805430478097,80,50,151.43707864918,22.4723100044075
