method,cycle,C_uF,ESR_mOhm,Ctrue_uF,Rtrue_mOhm,sigmaC_uF,sigmaR_mOhm
RLS,700,100.083205229722,49.9976541217635,100,50,227.574950641009,24.2181700198699
RLS,704,100.011338158536,49.999205941177,100,50,227.119500440432,24.2021809023265
RLS,708,100.055738071527,49.9978292311909,100,50,227.186026545945,24.1856921936559
RLS,712,100.062175445496,50.0017501785391,100,50,227.071114359759,24.1685876027408
RLS,716,100.036811749387,50.003899677625,100,50,226.799888568383,24.1507601367081
RLS,720,100.056888663453,50.0042800825344,100,50,226.721631165435,24.1322046240098
RLS,724,100.102886506764,50.0052036229842,100,50,226.745845916162,24.1127792300578
RLS,728,100.09803906726,50.0026760297854,100,50,226.524589690687,24.0924561447885
RLS,732,100.045299138698,49.9996280936496,100,50,226.071748734705,24.0711940396585
RLS,736,100.054665452225,50.0029669703664,100,50,225.885826883867,24.0490140104147
RLS,740,100.006098746953,50.0029390008592,100,50,225.426220231007,24.0259139833921
RLS,744,100.033505899488,50.0059521440226,100,50,225.299058234527,24.0019391429556
RLS,748,99.980910237192,50.0031786177773,100,50,224.803610541712,23.9771163455689
RLS,752,100.047793082135,50.0063023772669,100,50,224.840500658567,23.9515222765774
RLS,756,100.054684515118,50.0051240022592,100,50,224.604809894826,23.9252937882271
RLS,760,100.117452955735,50.008551115884,100,50,224.619702488574,23.8984864502017
RLS,764,100.097447255963,50.0118268925982,100,50,224.265095378367,23.871150364015
RLS,768,100.123140222147,50.0130131417885,100,50,224.119299843571,23.8434190739036
RLS,772,100.140341690973,50.0143679654217,100,50,223.940688696772,23.815521039438
RLS,776,100.210809941837,50.0171269439517,100,50,224.006212582689,23.7875011716399
RLS,780,100.171218943241,50.0169022946751,100,50,223.586250959064,23.7595164080003
RLS,784,100.109915727298,50.0169179142,100,50,223.076431419311,23.7317534954366
RLS,788,100.104061696931,50.0161951736731,100,50,222.82019641982,23.7042751029498
RLS,792,100.132456897917,50.0201388120312,100,50,222.721837464073,23.6772493660315
RLS,796,100.145119268387,50.0209659819464,100,50,222.558059857621,23.6507970288657
RLS,800,100.171768228903,50.112640184453,100,100,222.460150500834,23.6250878334633
RLS,804,100.325920643387,50.7113493994013,100,100,222.938794887242,23.6008915380193
RLS,808,100.475569864771,51.2921579598899,100,100,223.410851630426,23.578794730632
RLS,812,100.649147410412,51.858860587801,100,100,224.002143148639,23.5588485252868
