method,mode,case_id,source_model,trajectory_type,trajectory_duration_s,health_report_period_s,noise_profile,skew_ns,C_true,ESR_true,C_est,ESR_est,C_error,ESR_error,accepted_C_updates,accepted_R_updates,compute_count,failure_flag,notes
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,10mV_5mA,0,8e-05,0.05,8.16951185628619e-05,0.0504013356831178,2.11889820357731,0.802671366235641,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,10mV_5mA,20,8e-05,0.05,8.01014329250889e-05,0.050463985992259,0.126791156361095,0.927971984517906,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,10mV_5mA,50,8e-05,0.05,7.81146931634489e-05,0.0510016013691272,2.35663354568888,2.00320273825443,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,10mV_5mA,100,8e-05,0.05,7.99038377891768e-05,0.0496739101153869,0.120202763528976,0.65217976922628,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,5mV_2mA,0,8e-05,0.05,8.02501237313974e-05,0.0504949181302529,0.31265466424677,0.98983626050575,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,5mV_2mA,20,8e-05,0.05,7.98122726410205e-05,0.0499155665035343,0.234659198724396,0.168866992931493,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,5mV_2mA,50,8e-05,0.05,8.06548566671493e-05,0.0502523902283499,0.818570833936616,0.504780456699794,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,5mV_2mA,100,8e-05,0.05,7.98311563977586e-05,0.0506309603785157,0.211054502801711,1.26192075703133,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,0,8e-05,0.05,7.99416540388633e-05,0.0502032347838515,0.0729324514208707,0.406469567702894,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,20,8e-05,0.05,7.9724048852076e-05,0.0500815837242594,0.344938934904993,0.163167448518742,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,50,8e-05,0.05,7.98905725700746e-05,0.0501725274181524,0.13678428740681,0.345054836304781,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,100,8e-05,0.05,8.02031951454667e-05,0.0501767820599552,0.253993931833318,0.353564119910454,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,nominal,0,8e-05,0.05,7.99716666457583e-05,0.0499562415644932,0.0354166928021371,0.0875168710137042,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,nominal,20,8e-05,0.05,7.99658924575692e-05,0.0500843514858507,0.0426344280385349,0.168702971701395,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,nominal,50,8e-05,0.05,7.996488496189e-05,0.0501390612313023,0.0438937976375176,0.278122462604524,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,nominal,100,8e-05,0.05,8.00767094919577e-05,0.0503625381543338,0.09588686494717,0.725076308667671,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,10mV_5mA,0,9e-05,0.1,9.02325627851179e-05,0.100169748723594,0.258403094575455,0.169748723593721,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,10mV_5mA,20,9e-05,0.1,9.02442642079117e-05,0.100093529792986,0.271404675457498,0.0935297929856915,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,10mV_5mA,50,9e-05,0.1,8.98933227308296e-05,0.0999311813116332,0.11853029907819,0.0688186883667896,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,10mV_5mA,100,9e-05,0.1,8.93974417467998e-05,0.100257654542403,0.669509170222504,0.257654542402563,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,5mV_2mA,0,9e-05,0.1,9.02515444210641e-05,0.100004814179047,0.279493801182351,0.0048141790466083,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,5mV_2mA,20,9e-05,0.1,9.00574174143804e-05,0.100046056310152,0.0637971270893711,0.0460563101516653,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,5mV_2mA,50,9e-05,0.1,8.98976134847688e-05,0.100099981827876,0.113762794701355,0.0999818278760056,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,5mV_2mA,100,9e-05,0.1,9.00669162834782e-05,0.10004721968845,0.0743514260868272,0.0472196884501841,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,0,9e-05,0.1,8.98719865876884e-05,0.100019036780829,0.142237124790634,0.0190367808286185,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,20,9e-05,0.1,8.99988138614582e-05,0.100055751594387,0.00131793171310735,0.055751594386888,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,50,9e-05,0.1,9.02182464995285e-05,0.100032219165379,0.242496110587243,0.0322191653794324,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,100,9e-05,0.1,9.01596491806612e-05,0.100097224805617,0.177387978512455,0.0972248056165803,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,nominal,0,9e-05,0.1,8.99644991708792e-05,0.0999974155441137,0.0394453656897498,0.00258445588625644,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,nominal,20,9e-05,0.1,9.00277600079483e-05,0.100029945718335,0.0308444532759022,0.0299457183346119,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,nominal,50,9e-05,0.1,8.99558096236217e-05,0.100027541788228,0.0491004181981225,0.027541788228036,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,nominal,100,9e-05,0.1,9.00150833782397e-05,0.100095180694908,0.0167593091552343,0.0951806949075928,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,10mV_5mA,0,0.0001,0.075,9.93885119600075e-05,0.0750287488843419,0.61148803999248,0.0383318457891635,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,10mV_5mA,20,0.0001,0.075,9.98218430319418e-05,0.0752987484207454,0.178156968058218,0.398331227660509,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,10mV_5mA,50,0.0001,0.075,9.9325341461463e-05,0.0751756415598187,0.674658538537043,0.234188746424935,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
