method,mode,case_id,source_model,trajectory_type,trajectory_duration_s,shape,time_s,C_true,ESR_true,C_est,ESR_est
M1 TS-D-RLS,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.02048,0.0001,0.05,0.0001001869775673,0.0507825909261372
M1 TS-D-RLS,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.04096,0.0001,0.05,9.96310961947149e-05,0.050142813797302
M1 TS-D-RLS,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.06144,0.0001,0.05,9.98707786816728e-05,0.0501430361934689
M1 TS-D-RLS,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.08,0.0001,0.05,0.00010001603861257,0.0501410893184303
M2 TS-SLTVKE,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.02048,0.0001,0.05,9.91694811556787e-05,0.0527579516335945
M2 TS-SLTVKE,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.04096,0.0001,0.05,9.9647944836444e-05,0.0515626571968457
M2 TS-SLTVKE,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.06144,0.0001,0.05,9.99527632416981e-05,0.050239614289888
M2 TS-SLTVKE,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.08,0.0001,0.05,9.98967799748141e-05,0.0503820592714585
M3 Dual EKF,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.02048,0.0001,0.05,9.96356048682662e-05,0.0466010429882204
M3 Dual EKF,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.04096,0.0001,0.05,9.97732201386047e-05,0.0514060991784755
M3 Dual EKF,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.06144,0.0001,0.05,9.99458748206005e-05,0.0497093393438147
M3 Dual EKF,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.08,0.0001,0.05,9.99260212242922e-05,0.0510873836539762
M1 TS-D-RLS,Equal-Report,TRANS-2,FULL_SWITCHING_MODEL_A_EQUATIONS,load_down,0.08,step,0.02048,0.0001,0.05,0.000100265478895705,0.0501741068597692
M1 TS-D-RLS,Equal-Report,TRANS-2,FULL_SWITCHING_MODEL_A_EQUATIONS,load_down,0.08,step,0.04096,0.0001,0.05,0.000100647453141435,0.0503320302570245
M1 TS-D-RLS,Equal-Report,TRANS-2,FULL_SWITCHING_MODEL_A_EQUATIONS,load_down,0.08,step,0.06144,0.0001,0.05,0.000100586930278342,0.0501588971726108
M1 TS-D-RLS,Equal-Report,TRANS-2,FULL_SWITCHING_MODEL_A_EQUATIONS,load_down,0.08,step,0.08,0.0001,0.05,9.81824750630544e-05,0.0502941869938095
M2 TS-SLTVKE,Equal-Report,TRANS-2,FULL_SWITCHING_MODEL_A_EQUATIONS,load_down,0.08,step,0.02048,0.0001,0.05,0.000100428795571438,0.0502240643944347
M2 TS-SLTVKE,Equal-Report,TRANS-2,FULL_SWITCHING_MODEL_A_EQUATIONS,load_down,0.08,step,0.04096,0.0001,0.05,0.000100345082951032,0.0514183647288392
M2 TS-SLTVKE,Equal-Report,TRANS-2,FULL_SWITCHING_MODEL_A_EQUATIONS,load_down,0.08,step,0.06144,0.0001,0.05,0.000100309746839009,0.0517643226312906
M2 TS-SLTVKE,Equal-Report,TRANS-2,FULL_SWITCHING_MODEL_A_EQUATIONS,load_down,0.08,step,0.08,0.0001,0.05,9.9809123670438e-05,0.0508937808345482
M3 Dual EKF,Equal-Report,TRANS-2,FULL_SWITCHING_MODEL_A_EQUATIONS,load_down,0.08,step,0.02048,0.0001,0.05,0.000100349199512926,0.0473280556183853
M3 Dual EKF,Equal-Report,TRANS-2,FULL_SWITCHING_MODEL_A_EQUATIONS,load_down,0.08,step,0.04096,0.0001,0.05,0.000100291843652905,0.0518101968837197
M3 Dual EKF,Equal-Report,TRANS-2,FULL_SWITCHING_MODEL_A_EQUATIONS,load_down,0.08,step,0.06144,0.0001,0.05,0.000100267715869913,0.0490682783187429
M3 Dual EKF,Equal-Report,TRANS-2,FULL_SWITCHING_MODEL_A_EQUATIONS,load_down,0.08,step,0.08,0.0001,0.05,9.99597497273739e-05,0.051138435061115
M1 TS-D-RLS,Equal-Report,TRANS-3,FULL_SWITCHING_MODEL_A_EQUATIONS,Vin_step,0.08,step,0.02048,0.0001,0.05,0.000100917681283222,0.0502930177982889
M1 TS-D-RLS,Equal-Report,TRANS-3,FULL_SWITCHING_MODEL_A_EQUATIONS,Vin_step,0.08,step,0.04096,0.0001,0.05,0.000100101792599474,0.0501692935027788
