method,mode,case_id,source_model,trajectory_type,change_time_s,health_report_period_s,delay_10_ms,delay_50_ms,delay_90_ms,settling_time_ms,C_error_20ms_percent,C_error_100ms_percent,C_error_500ms_percent,ESR_error_20ms_percent,ESR_error_100ms_percent,ESR_error_500ms_percent,overshoot_percent,false_cross_coupling_percent,accepted_C_updates,accepted_R_updates,projection_activations,failure_flag,legacy_257_cycle_error_percent,legacy_failure_reproduced,notes
M1 TS-D-RLS,Native,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.02,2e-05,0.639999999999998,4.56,16.84,10.72,1.52178192007888,0.0590684414808599,0.0149161083762555,0.159961378900605,0.357115233075883,0.393448677583771,20.0736020464474,4.65654865068028,13750,13750,0,0,6.09645295365974,1,"Abrupt step is a stress test, not a physical aging rate."
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.02,0.02048,20.96,20.96,20.96,20.96,1.35995011719354,0.153925421626042,0.106292934823359,0.296485236157204,0.392600053184727,0.351056314239734,18.0621137551382,0.531364554985578,13750,13750,0,0,6.09645295365974,1,"Abrupt step is a stress test, not a physical aging rate."
M2 TS-SLTVKE,Native,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.02,2e-05,5.88,30,91.96,64.72,16.6227640552313,2.11497234904313,0.0145028912368321,0.036038795033444,1.36311301887097,1.93299331912251,20.1472861212065,7.41032916265512,13387,11068,0,0,19.2910996372035,1,"Abrupt step is a stress test, not a physical aging rate."
M2 TS-SLTVKE,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.02,0.02048,20.96,41.44,102.88,82.4,16.1418978373258,2.04345501355912,0.0189853893671375,1.37084872734267,1.15478788238822,0.619241885594909,19.9871351294704,2.29156083213736,13387,11068,0,0,19.2910996372035,1,"Abrupt step is a stress test, not a physical aging rate."
M3 Dual EKF,Native,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.02,2e-05,1.88,16.28,121,61,11.1236435592747,3.08725633517538,0.156081252077993,0.834463194141072,3.37999336172261,3.6375770543164,20.2753954790122,11.3859519203664,13750,13750,0,0,8.39287127259642,1,"Abrupt step is a stress test, not a physical aging rate."
M3 Dual EKF,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.02,0.02048,20.96,20.96,123.36,61.92,10.8344818616653,3.01862777812413,0.164455205950808,3.82018306121326,1.38453735345344,1.11438284897601,19.5112103700025,8.46431122724166,13750,13750,0,0,8.39287127259642,1,"Abrupt step is a stress test, not a physical aging rate."
M1 TS-D-RLS,Native,ABR-2,FULL_SWITCHING_MODEL_A_EQUATIONS,ESR_abrupt,0.02,2e-05,0.719999999999998,5.16,17.68,17.68,0.305025136014897,0.117968909640927,0.123771892958987,3.67030509712116,0.162086977048878,0.20036740906583,44.5512113060113,4.50569456359426,13750,13750,0,0,13.563411040309,1,"Abrupt step is a stress test, not a physical aging rate."
M1 TS-D-RLS,Equal-Report,ABR-2,FULL_SWITCHING_MODEL_A_EQUATIONS,ESR_abrupt,0.02,0.02048,20.96,20.96,20.96,20.96,0.010581640031584,0.0568065635667771,0.173797058752333,3.19412820146986,0.118108650041582,0.212656381570531,41.1986361704339,1.0759820504005,13750,13750,0,0,13.563411040309,1,"Abrupt step is a stress test, not a physical aging rate."
M2 TS-SLTVKE,Native,ABR-2,FULL_SWITCHING_MODEL_A_EQUATIONS,ESR_abrupt,0.02,2e-05,Inf,Inf,Inf,Inf,0.290759574110856,0.051409380277348,0.0437090412233577,49.1795649905465,49.1795649905465,49.1795649905465,44.1795649905465,3.05627766750118,13710,386,0,1,49.9384081709349,1,"Abrupt step is a stress test, not a physical aging rate."
M2 TS-SLTVKE,Equal-Report,ABR-2,FULL_SWITCHING_MODEL_A_EQUATIONS,ESR_abrupt,0.02,0.02048,Inf,Inf,Inf,Inf,0.21926267761148,0.0179099814044887,0.0578196958954863,49.1795649905465,49.1795649905465,49.1795649905465,44.1795649905465,0.607866688744551,13710,386,0,1,49.9384081709349,1,"Abrupt step is a stress test, not a physical aging rate."
