method,mode,case_id,source_model,trajectory_type,trajectory_duration_s,shape,time_s,C_true,ESR_true,C_est,ESR_est
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.02048,8e-05,0.05,9.84496910041105e-05,0.0503235178958069
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.04096,8e-05,0.05,8.10879600937548e-05,0.0501482426180786
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.06144,8e-05,0.05,7.97889514141086e-05,0.0500775603329077
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.08192,8e-05,0.05,7.9885855459547e-05,0.0501409665688789
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.1024,8e-05,0.05,7.98835160703782e-05,0.0502337558479908
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.12288,8e-05,0.05,8.01231403373008e-05,0.0501963000265924
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.14336,8e-05,0.05,8.01573181793759e-05,0.0501011988963584
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.16384,8e-05,0.05,7.98024955036578e-05,0.050164997190281
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.18432,8e-05,0.05,8.03927232469523e-05,0.0501848069201272
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.2048,8e-05,0.05,8.02413312061155e-05,0.0500578356183141
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.22528,8e-05,0.05,7.98049740766973e-05,0.0502386077182115
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.24576,8e-05,0.05,8.01376529056808e-05,0.0501799211889616
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.26624,8e-05,0.05,7.97893325037647e-05,0.0501045867309891
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.28672,8e-05,0.05,7.98381732260348e-05,0.0501758143034172
