method,mode,case_id,source_model,trajectory_type,trajectory_duration_s,shape,time_s,C_true,ESR_true,C_est,ESR_est
M1 TS-D-RLS,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.02048,9.5904e-05,0.05,9.66292202763279e-05,0.0501144145818652
M1 TS-D-RLS,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.04096,9.1808e-05,0.05,9.29196458169738e-05,0.0502840871229081
M1 TS-D-RLS,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.06144,8.7712e-05,0.05,8.91402467694403e-05,0.0501010450322305
M1 TS-D-RLS,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.08192,8.3616e-05,0.05,8.53576156013666e-05,0.050210925734489
M1 TS-D-RLS,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.1,8e-05,0.05,8.10857508294234e-05,0.0502714637861111
M2 TS-SLTVKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.02048,9.5904e-05,0.05,9.77840715255801e-05,0.049448016029493
M2 TS-SLTVKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.04096,9.1808e-05,0.05,9.52281422312648e-05,0.0503759914351611
M2 TS-SLTVKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.06144,8.7712e-05,0.05,9.28364947901218e-05,0.0495716448947378
M2 TS-SLTVKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.08192,8.3616e-05,0.05,8.9949377724497e-05,0.0500414511812386
M2 TS-SLTVKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.1,8e-05,0.05,8.72234419150779e-05,0.0503301310623205
M3 Dual EKF,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.02048,9.5904e-05,0.05,9.77240298362844e-05,0.0482335764746934
M3 Dual EKF,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.04096,9.1808e-05,0.05,9.54347961208933e-05,0.0524357221664329
M3 Dual EKF,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.06144,8.7712e-05,0.05,9.33783452769635e-05,0.0505519647066033
M3 Dual EKF,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.08192,8.3616e-05,0.05,9.11591960876239e-05,0.0483784220093313
M3 Dual EKF,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.1,8e-05,0.05,8.90048041242727e-05,0.0519138415235707
M4 TS-SRKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.02048,9.5904e-05,0.05,9.77840715255801e-05,0.049448016029493
M4 TS-SRKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.04096,9.1808e-05,0.05,9.52281422312648e-05,0.0503759914351611
M4 TS-SRKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.06144,8.7712e-05,0.05,9.28364947901218e-05,0.0495716448947378
M4 TS-SRKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.08192,8.3616e-05,0.05,8.9949377724497e-05,0.0500414511812386
M4 TS-SRKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.1,8e-05,0.05,8.72234419150779e-05,0.0503301310623205
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.02048,9.95904e-05,0.05,9.94312415000623e-05,0.0501947027254287
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.04096,9.91808e-05,0.05,9.91783186224794e-05,0.0502666831108965
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.06144,9.87712e-05,0.05,9.81236992476556e-05,0.0501758328572983
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.08192,9.83616e-05,0.05,9.83339365252011e-05,0.0501069072840551
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.1024,9.7952e-05,0.05,9.82077356281838e-05,0.0502219899744968
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.12288,9.75424e-05,0.05,9.72635908228629e-05,0.0501556035813871
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.14336,9.71328e-05,0.05,9.69340054783922e-05,0.0501427000118625
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.16384,9.67232e-05,0.05,9.69327988057402e-05,0.050264550937334
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.18432,9.63136e-05,0.05,9.6459836346963e-05,0.0501400424085506
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.2048,9.5904e-05,0.05,9.56249837946096e-05,0.0502628743601717
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.22528,9.54944e-05,0.05,9.56559147670487e-05,0.0502939298505602
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.24576,9.50848e-05,0.05,9.51766288073768e-05,0.0501340637412928
