method,mode,noise_profile,skew_ns,case_count,C_mean_MAPE_percent,ESR_mean_MAPE_percent,C_p95_percent,ESR_p95_percent,convergence_cycles_mean,divergence_count,timing_failure_count,source_model
M1 TS-D-RLS,Native,5mV_2mA,0,48,0.354025843111993,0.187714148655742,0.922322817659351,0.597747355941342,9.66666666666667,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M1 TS-D-RLS,Native,5mV_2mA,20,48,0.399954204745907,0.153452778408315,1.08072396360287,0.408326022116757,7.60416666666667,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M1 TS-D-RLS,Native,5mV_2mA,50,48,0.334077891604224,0.199220164568061,0.896660638832888,0.516207448054306,7.3125,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M1 TS-D-RLS,Native,5mV_2mA,100,48,0.456441258294807,0.315949051908849,1.07523818482301,0.908830907975692,14.0416666666667,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M1 TS-D-RLS,Native,nominal,0,48,0.0941519460832031,0.0390118052791488,0.199922830682671,0.119411612119432,1.89583333333333,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M1 TS-D-RLS,Native,nominal,20,48,0.0745260778035664,0.0665311874498519,0.205444175580615,0.175868152372293,1.89583333333333,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M1 TS-D-RLS,Native,nominal,50,48,0.0907883854325243,0.151189017202971,0.209213162850245,0.281386012222652,2.60416666666667,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M1 TS-D-RLS,Native,nominal,100,48,0.0548109536232795,0.284562761301822,0.14656765414465,0.63117063600554,8.95833333333333,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M1 TS-D-RLS,Native,10mV_5mA,0,48,0.908337255112223,0.376253920251253,2.25419282704214,0.870809661497107,35.3541666666667,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M1 TS-D-RLS,Native,10mV_5mA,20,48,0.938596415489044,0.330339884690566,2.19515899446767,1.22505380769369,29.2291666666667,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M1 TS-D-RLS,Native,10mV_5mA,50,48,0.856739099819748,0.485705883803667,2.22158759096649,1.27900413450445,28.125,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M1 TS-D-RLS,Native,10mV_5mA,100,48,0.668179479431227,0.398616677492794,1.53427657084081,0.906967069922998,48,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M1 TS-D-RLS,Native,F28379D_device_realistic,0,48,0.183873072820304,0.0732161184736633,0.518021279796642,0.212856047475586,2.25,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M1 TS-D-RLS,Native,F28379D_device_realistic,20,48,0.176799481911525,0.0879662585876066,0.414045740024959,0.28867165177733,2.14583333333333,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M1 TS-D-RLS,Native,F28379D_device_realistic,50,48,0.198365044269626,0.137886479763924,0.496379709706086,0.338547258158673,3.5625,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M1 TS-D-RLS,Native,F28379D_device_realistic,100,48,0.173220986908589,0.284869432629584,0.356421702727913,0.653241083959675,8.72916666666667,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M2 TS-SLTVKE,Native,5mV_2mA,0,48,0.293669533805773,0.383846181865207,0.789679181094567,0.975662394675309,12.3125,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M2 TS-SLTVKE,Native,5mV_2mA,20,48,0.323108074089472,0.353420280124492,0.763048159346815,0.725998891163132,9.29166666666667,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M2 TS-SLTVKE,Native,5mV_2mA,50,48,0.318102930202885,0.368107750413412,0.748273476299239,0.887203644162377,10.3333333333333,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M2 TS-SLTVKE,Native,5mV_2mA,100,48,0.368224956270168,0.381682794743329,1.06598275168537,1.04067664363017,13.9791666666667,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M2 TS-SLTVKE,Native,nominal,0,48,0.0726123288098105,0.182173654856547,0.167661882578963,0.456578110718452,3.41666666666667,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M2 TS-SLTVKE,Native,nominal,20,48,0.0618054135891915,0.32171870600265,0.173066578302743,0.699151887351189,3.375,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M2 TS-SLTVKE,Native,nominal,50,48,0.075692545928129,0.751508703392955,0.162495921646041,1.82967730448219,4.1875,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M2 TS-SLTVKE,Native,nominal,100,48,0.0511297752614541,3.92768474428006,0.140145175854628,8.38134737640068,267.916666666667,0,12,FROZEN_PV12_RECALIBRATED_ANCHOR
M2 TS-SLTVKE,Native,10mV_5mA,0,48,0.659632342139899,0.581802807509823,1.55608930839015,1.55497825666758,41.6458333333333,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
