metric,mode,pair_count,bootstrap_count,mean_paired_difference_M1_minus_M2,median_paired_difference_M1_minus_M2,CI95_low,CI95_high,fraction_M1_better,fraction_M2_better,interpretation
C static MAPE,Native,768,10000,0.071531402774508,0.0274452965732641,0.0501868563144335,0.0938960311804984,0.388020833333333,0.611979166666667,Negative favors M1; no arbitrary weighted score.
ESR static MAPE,Native,768,10000,-0.421347563636961,-0.170055693304943,-0.496921209451434,-0.352010662969918,0.774739583333333,0.225260416666667,Negative favors M1; no arbitrary weighted score.
Static convergence,Native,768,10000,-19.8828125,0,-29.1784830729167,-11.4856770833333,0.352864583333333,0.171875,Negative favors M1; no arbitrary weighted score.
Combined ramp nRMSE,Native,12,10000,-0.0462620361401336,-0.029880278041569,-0.0996536980708446,-0.00257894560117541,0.75,0.25,Negative favors M1; no arbitrary weighted score.
Ramp normalized lag percent,Native,12,10000,-5.23282333333333,-2.83318,-10.726414,-0.737776666666665,0.75,0.25,Negative favors M1; no arbitrary weighted score.
Combined ramp nRMSE,Equal-Report,12,10000,-0.0584542276798977,-0.0310364558681604,-0.135638164024518,0.000594927818432821,0.75,0.25,Negative favors M1; no arbitrary weighted score.
Ramp normalized lag percent,Equal-Report,12,10000,1.64533,-1.08486,-2.599725,8.76455833333333,0.5,0.166666666666667,Negative favors M1; no arbitrary weighted score.
C static MAPE (M4 vs M2),Native,768,10000,0,0,0,0,0,0,Negative favors M1; no arbitrary weighted score.
C static MAPE (M4 vs M1),Native,768,10000,-0.071531402774508,-0.0274452965732641,-0.0935188091782902,-0.0501268234474144,0.611979166666667,0.388020833333333,Negative favors M1; no arbitrary weighted score.
ESR static MAPE (M4 vs M2),Native,768,10000,3.02167955009332e-12,0,0,9.06503865027997e-12,0,0.00130208333333333,Negative favors M1; no arbitrary weighted score.
ESR static MAPE (M4 vs M1),Native,768,10000,0.421347563639983,0.170055693304943,0.350487639698484,0.495366015705542,0.225260416666667,0.774739583333333,Negative favors M1; no arbitrary weighted score.
Static convergence (M4 vs M2),Native,768,10000,0,0,0,0,0,0,Negative favors M1; no arbitrary weighted score.
Static convergence (M4 vs M1),Native,768,10000,19.8828125,0,11.7655924479167,29.4193684895833,0.171875,0.352864583333333,Negative favors M1; no arbitrary weighted score.
Combined ramp nRMSE (M4 vs M1),Native,12,10000,0.0460921960943783,0.0294747755664196,0.00209784836874458,0.100481219542789,0.25,0.75,Negative favors M1; no arbitrary weighted score.
Combined ramp nRMSE (M4 vs M1),Equal-Report,12,10000,0.0582895042004854,0.0304371258767745,-0.00140769922078173,0.134506610679802,0.25,0.75,Negative favors M1; no arbitrary weighted score.
