method,mode,case_id,source_model,trajectory_type,trajectory_duration_s,shape,health_report_period_s,noise_profile,skew_ns,C_nRMSE,ESR_nRMSE,C_nIAE,ESR_nIAE,C_xcorr_lag_ms,ESR_xcorr_lag_ms,C_50pct_delay_ms,ESR_50pct_delay_ms,normalized_lag_percent,C_endpoint_error_percent,ESR_endpoint_error_percent,C_max_tracking_error_percent,ESR_max_tracking_error_percent,false_cross_coupling_percent,accepted_C_updates,accepted_R_updates,projection_activations,failure_flag,reliable_health_tracking,notes
M1 TS-D-RLS,Native,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,2e-05,F28379D_device_realistic,50,0.11007163490529,NaN,0.0599906802756332,NaN,0.0399999999999984,NaN,7.84,NaN,7.84,1.35718853677924,0.542927572222213,10.6159111837239,8.7718202973464,8.95059557378777,2500,2500,0,0,0,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.02048,F28379D_device_realistic,50,0.143095379438412,NaN,0.0813140855410481,NaN,0,NaN,38.56,NaN,38.56,1.35718853677924,0.542927572222213,2.08287361434007,0.568174245816233,0.339345082085926,2500,2500,0,0,0,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Native,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,2e-05,F28379D_device_realistic,50,0.395330419539541,NaN,0.2032518589484,NaN,0.0399999999999984,NaN,31.56,NaN,31.56,9.0293023938474,0.660262124640959,9.04894282689321,8.74676702432293,11.5836322422073,2440,2028,0,0,0,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.02048,F28379D_device_realistic,50,0.545592937434954,NaN,0.301777288527242,NaN,0,NaN,Inf,NaN,0,9.0293023938474,0.660262124640959,9.0293023938474,1.10396794101408,1.85595081133623,2440,2028,0,0,0,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Native,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,2e-05,F28379D_device_realistic,50,0.457209479309811,NaN,0.229550931134083,NaN,0.0399999999999984,NaN,42.12,NaN,42.12,11.2560051553408,3.82768304714147,11.2575855449732,8.73777144111601,15.0990353835901,2500,2500,0,0,0,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.02048,F28379D_device_realistic,50,0.635264783606903,NaN,0.344588983856352,NaN,0,NaN,Inf,NaN,0,11.2560051553408,3.82768304714147,11.2560051553408,4.87144433286586,8.40429138347916,2500,2500,0,0,0,Ramp is a health-tracking test; failures are retained.
M4 TS-SRKE,Native,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,2e-05,F28379D_device_realistic,50,0.395330419539541,NaN,0.2032518589484,NaN,0.0399999999999984,NaN,31.56,NaN,31.56,9.0293023938474,0.660262124640959,9.04894282689321,8.74676702432293,11.5836322422073,2440,2028,0,0,0,Ramp is a health-tracking test; failures are retained.
M4 TS-SRKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.02048,F28379D_device_realistic,50,0.545592937434954,NaN,0.301777288527242,NaN,0,NaN,Inf,NaN,0,9.0293023938474,0.660262124640959,9.0293023938474,1.10396794101408,1.85595081133623,2440,2028,0,0,0,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Native,RAMP-002,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,smooth,2e-05,F28379D_device_realistic,50,0.134228071480616,NaN,0.0752013681479582,NaN,0.159999999999993,NaN,7.24,NaN,7.24,0.293941863636388,0.376352643068206,5.72211258091495,6.72431792847886,7.4219912052931,2500,2500,0,0,0,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Equal-Report,RAMP-002,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,smooth,0.02048,F28379D_device_realistic,50,0.138099697477146,NaN,0.0839366311499184,NaN,0,NaN,38.56,NaN,38.56,0.293941863636388,0.376352643068206,2.72705054156856,0.665708201811166,0.311758274916266,2500,2500,0,0,0,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Native,RAMP-002,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,smooth,2e-05,F28379D_device_realistic,50,0.471377333305447,NaN,0.247650152334655,NaN,0.959999999999961,NaN,32.12,NaN,32.12,8.738110030058,0.795812791060876,10.1959196222635,6.70394158727966,10.8141348783649,2390,2003,0,0,0,Ramp is a health-tracking test; failures are retained.
