metric,value,unit,status
decision,PAPER_READY_WITH_MINOR_GAPS,enum,PASS
blind_case_count,48,count,PASS
blind_algorithm_rows,4608,rows,PASS
modelB_anchor_count,45,count,PASS
proposed_C_MAPE_percent,0.30093,percent,PASS
proposed_ESR_MAPE_percent,0.5774,percent,PASS
proposed_C_p95_percent,1.1164,percent,PASS
proposed_ESR_p95_percent,2.1344,percent,PASS
proposed_divergence_rate_percent,0,percent,PASS
A0_C_MAPE_percent,0.39443,percent,PASS
A6_C_MAPE_percent,0.16992,percent,PASS
A0_ESR_MAPE_percent,3.8073,percent,PASS
A6_ESR_MAPE_percent,3.1008,percent,PASS
PE_log_correlation_C,-0.99695,correlation,PASS
PE_log_correlation_ESR,-0.99692,correlation,PASS
minimum_mu_C,10036.3967,information,PASS
minimum_mu_R,3473258.518,information,PASS
TS_execution_us_F28379D,2.12,us,PASS
all_blind_rows_retained,true,boolean,PASS
