case_id,algorithm,noise_profile,skew_ns,seed,C_true_F,ESR_true_ohm,C_est_F,ESR_est_ohm,C_error_percent,ESR_error_percent,C_bias_percent,ESR_bias_percent,C_variance,ESR_variance,convergence_cycles,projection_saturation,failure_flag,failure_reason,mu_C,mu_R
PV1-001,B0 Closed-form,nominal,0,21001,8e-05,0.05,8.01047137958904e-05,0.0492845834028576,0.130892244862958,1.4308331942848,0.130892244862958,-1.4308331942848,0.00105793145106426,6.03251139359913e-06,256,0,0,,723287.652065345,98279728.3438777
PV1-001,B1 RLS,nominal,0,21001,8e-05,0.05,8.00533870754819e-05,0.0498442763179416,0.0667338443523124,0.311447364116882,0.0667338443523124,-0.311447364116882,8.45593857536085e-09,0.0763467429067266,18,0,0,,723287.652065345,98279728.3438777
PV1-001,B2 Augmented EKF,nominal,0,21001,8e-05,0.05,7.68850325859694e-05,0.0497163273343499,3.89370926753828,0.567345331300304,-3.89370926753828,-0.567345331300304,3.87507730343833e-10,6.69973161320941e-06,18,0,0,,723287.652065345,98279728.3438777
PV1-001,B3 Dual EKF,nominal,0,21001,8e-05,0.05,8.00729888820991e-05,0.0500889695650993,0.0912361026238236,0.177939130198645,0.0912361026238236,0.177939130198645,1.31716482494437e-14,2.23923190665787e-06,15,0,0,,723287.652065345,98279728.3438777
PV1-001,B4 Cuk-adapted wavelet-KF,nominal,0,21001,8e-05,0.05,8.01594264931795e-05,0.0492222673905256,0.199283116474427,1.55546521894878,0.199283116474427,-1.55546521894878,1.14983304468906e-12,1.10023583243959e-05,6,0,0,,723287.652065345,98279728.3438777
PV1-001,TS-SLTVKE,nominal,0,21001,8e-05,0.05,8.00473391640657e-05,0.0499117006879561,0.0591739550820697,0.176598624087726,0.0591739550820697,-0.176598624087726,1.27125962235114e-14,2.25652251460285e-07,2,0,0,,723287.652065345,98279728.3438777
PV1-001,B0 Closed-form,nominal,20,31001,8e-05,0.05,7.97493523467454e-05,0.0492985603737132,0.31330956656825,1.40287925257351,-0.31330956656825,-1.40287925257351,0.00105891124722846,6.36362840923043e-06,256,0,0,,723287.652065345,98279728.3438777
PV1-001,B1 RLS,nominal,20,31001,8e-05,0.05,7.99571152150013e-05,0.0499261684892137,0.0536059812484375,0.147663021572569,-0.0536059812484375,-0.147663021572569,8.41533559019314e-09,0.0763467429067266,15,0,0,,723287.652065345,98279728.3438777
PV1-001,B2 Augmented EKF,nominal,20,31001,8e-05,0.05,8.15276500219801e-05,0.050401110871754,1.90956252747506,0.80222174350808,1.90956252747506,0.80222174350808,3.78226332602557e-10,6.70290431167343e-06,22,0,0,,723287.652065345,98279728.3438777
PV1-001,B3 Dual EKF,nominal,20,31001,8e-05,0.05,7.99860934775784e-05,0.0496631937069048,0.0173831530269621,0.673612586190378,-0.0173831530269621,-0.673612586190378,1.31145656324798e-14,2.23923190665787e-06,10,0,0,,723287.652065345,98279728.3438777
