scenario,algorithm,cycle,C_true_factor,ESR_true_factor,C_est_factor,ESR_est_factor
load_25_to_75,B0 Closed-form,0,1,1,1,1
load_25_to_75,B0 Closed-form,1,1,1,1,1
load_25_to_75,B0 Closed-form,2,1,1,1,1
load_25_to_75,B0 Closed-form,3,1,1,1,1
load_25_to_75,B0 Closed-form,4,1,1,1,1
load_25_to_75,B0 Closed-form,5,1,1,1,1
load_25_to_75,B0 Closed-form,6,1,1,1,1
load_25_to_75,B0 Closed-form,7,1,1,1,1
load_25_to_75,B0 Closed-form,8,1,1,1,1
load_25_to_75,B0 Closed-form,9,1,1,1,1
load_25_to_75,B0 Closed-form,10,1,1,1,1
load_25_to_75,B0 Closed-form,11,1,1,1,1
load_25_to_75,B0 Closed-form,12,1,1,1,1
load_25_to_75,B0 Closed-form,13,1,1,1,1
load_25_to_75,B0 Closed-form,14,1,1,1,1
load_25_to_75,B0 Closed-form,15,1,1,1,1
load_25_to_75,B0 Closed-form,16,1,1,1,1
load_25_to_75,B0 Closed-form,17,1,1,1,1
load_25_to_75,B0 Closed-form,18,1,1,1,1
load_25_to_75,B0 Closed-form,19,1,1,1,1
load_25_to_75,B0 Closed-form,20,1,1,1,1
load_25_to_75,B0 Closed-form,21,1,1,1,1
load_25_to_75,B0 Closed-form,22,1,1,1,1
load_25_to_75,B0 Closed-form,23,1,1,1,1
load_25_to_75,B0 Closed-form,24,1,1,1,1
load_25_to_75,B0 Closed-form,25,1,1,1,1
load_25_to_75,B0 Closed-form,26,1,1,1,1
load_25_to_75,B0 Closed-form,27,1,1,1,1
load_25_to_75,B0 Closed-form,28,1,1,1,1
load_25_to_75,B0 Closed-form,29,1,1,1,1
load_25_to_75,B0 Closed-form,30,1,1,1,1
load_25_to_75,B0 Closed-form,31,1,1,1,1
load_25_to_75,B0 Closed-form,32,1,1,1,1
load_25_to_75,B0 Closed-form,33,1,1,1,1
load_25_to_75,B0 Closed-form,34,1,1,1,1
