anchor_id,Vin_V,duty,Rload_ohm,C1_F,ESR_ohm,ESL_H,requested_load,actual_load,edge_count,median_I_sum_A,vT_peak_to_peak_V,charge_proxy_C,source_file
MB-001,24,0.3,16,0.0001,0.05,1e-09,0.25,0.625,20,0.569000935513007,0.0664265771971557,-2.84447828149416e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-002,24,0.3,16,0.0001,0.05,5e-09,0.25,0.625,20,0.569000935513007,0.0664265771971557,-2.84447828149416e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-003,24,0.3,16,0.0001,0.05,1e-08,0.25,0.625,20,0.569000935513007,0.0664265771971557,-2.84447828149416e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-004,24,0.3,16,0.0001,0.05,2e-08,0.25,0.625,20,0.569000935513007,0.0664265771971557,-2.84447828149416e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-005,24,0.3,16,0.0001,0.05,5e-08,0.25,0.625,20,0.569000935513007,0.0664265771971557,-2.84447828149416e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-006,24,0.3,16,0.0001,0.05,1e-09,0.5,0.625,20,0.569000935513007,0.0664265771971557,-2.84447828149416e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-007,24,0.3,16,0.0001,0.05,5e-09,0.5,0.625,20,0.569000935513007,0.0664265771971557,-2.84447828149416e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-008,24,0.3,16,0.0001,0.05,1e-08,0.5,0.625,20,0.569000935513007,0.0664265771971557,-2.84447828149416e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-009,24,0.3,16,0.0001,0.05,2e-08,0.5,0.625,20,0.569000935513007,0.0664265771971557,-2.84447828149416e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-010,24,0.3,16,0.0001,0.05,5e-08,0.5,0.625,20,0.569000935513007,0.0664265771971557,-2.84447828149416e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-011,24,0.3,10,0.0001,0.05,1e-09,1,1,20,1.12299638082746,0.116433089478392,-4.69956296441447e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-012,24,0.3,10,0.0001,0.05,5e-09,1,1,20,1.12299638082746,0.116433089478392,-4.69956296441447e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-013,24,0.3,10,0.0001,0.05,1e-08,1,1,20,1.12299638082746,0.116433089478392,-4.69956296441447e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
