variant,scenario,C_MAPE_percent,ESR_MAPE_percent,C_bias_percent,ESR_bias_percent,C_variance,ESR_variance,mean_NIS,mean_NEES,CI95_coverage,timing_tolerance_ns,convergence_cycles,computation_multiplies,C_absolute_gain,ESR_absolute_gain,C_relative_gain,ESR_relative_gain
A0,ideal_nominal,0.161899109650398,3.05466904150304,0.0219774166648965,3.05466904150304,5.79031045162736e-06,2.11379103064168e-08,0.601363123411121,113.23368410029,0,0,128,18,0,0,0,0
A1,ideal_nominal,0.130286637393046,0.288391657944175,0.0343920819978921,0.081968281785335,3.58543042910112e-08,0.0459679926228482,0.010937348646771,1.44275779898239e-06,1,25,12,24,0.0316124722573518,2.76627738355886,0.195260321848683,0.905589884198298
A2,ideal_nominal,0.161899109650398,1.79127640078735,0.0219774166648965,-1.79127640078735,3.6189440322671e-06,1.40919402042778e-08,0.218016222971514,60.4312673508802,0,35,128,30,-0.0316124722573518,-1.50288474284317,-0.242637870543731,-5.21126288311047
A3,ideal_nominal,0.175410354051739,0.320178312813543,0.0310288332584786,-0.0546851445875351,7.12960378210401e-14,5.79320719369032e-08,0.016094674727207,1.4312157090732,0.9,45,2,38,-0.0135112444013415,1.4710980879738,-0.0834547171415426,0.821256891079004
A4,ideal_nominal,0.175410354051739,0.320178312813543,0.0310288332584786,-0.0546851445875351,1.09686212032369e-13,8.91262645183126e-08,0.016094674727207,0.930290210897578,1,55,2,38,0,0,0,0
A5,ideal_nominal,0.0641555629902218,1.69336621902537,-0.00771775912165664,-1.69336621902537,1.7723335057117e-14,9.12927296639101e-08,0.194821247933202,8.85333914093469,0.125,80,2,38,0.111254791061517,-1.37318790621183,0.634254412534288,-4.28882235697052
A6,ideal_nominal,0.0641555629902218,0.231080135012197,-0.00771775912165664,0.0491567770873561,1.7723335057117e-14,9.2932140933889e-08,0.00617546855375795,0.583471493709115,1,100,2,46,0,1.46228608401317,0,0.863538003524603
A0,noisy_nominal,1.58203494100762,2.88842410561,0.460091650572543,2.5051531336835,0.000579031045162736,2.11379103064168e-06,1.121456757997,1.31767010479912,0.95,0,128,18,0,0,0,0
A1,noisy_nominal,0.913888606936502,2.48827116196967,0.178955438595285,1.27293838502489,3.60875823541965e-08,0.0459679926228482,0.707078967509503,8.35376285841537e-05,1,25,53,24,0.668146334071121,0.400152943640334,0.42233348755595,0.138536769189518
A2,noisy_nominal,1.58203494100762,2.40813005021308,0.460091650572543,-2.14437883722872,0.00036189440322671,1.40919402042778e-06,0.994436895200566,1.60701518725177,0.85,35,128,30,-0.668146334071121,0.080141111756594,-0.731102597187257,0.0322075475460463
A3,noisy_nominal,1.80155722937857,1.61477002305892,-0.310097251549544,-0.455478806182179,6.53644081511953e-12,1.84741271044555e-06,0.760421756666045,1.23036634327014,1,45,45,38,-0.21952228837095,0.793360027154154,-0.138759443727035,0.329450656987548
A4,noisy_nominal,1.80155722937857,1.61477002305892,-0.310097251549544,-0.455478806182179,1.00560627924916e-11,2.84217340068547e-06,0.760421756666045,0.799738123125593,1,55,45,38,0,0,0,0
A5,noisy_nominal,0.710993526703023,1.5070675390925,-0.146549906616624,-1.43448338187063,1.42804108335071e-12,9.38570793762675e-07,0.280106359010858,1.36545865322964,1,80,45,38,1.09056370267555,0.107702483966421,0.605345023122983,0.0666983424440811
