case_id,Vin_V,duty,load_class,load_factor,C_factor,ESR_factor,C_init_factor,ESR_init_factor,CCM_margin,seed
PV1-001,19.2,0.3,low_margin,0.58,0.8,1,1.07082039325,0.91421356237,0.27183,21001
PV1-002,24,0.65,high,1.45,0.9,2,0.8416407865,1.32842712474,0.71205,21002
PV1-003,28.8,0.55,nominal,1,1,1.5,1.21246117975,0.74264068711,0.486,21003
PV1-004,19.2,0.55,low_margin,0.58,0.8,1,0.983281573,1.15685424948,0.31968,21004
PV1-005,24,0.4,low_margin,0.58,0.9,2,0.75410196625,0.57106781185,0.29097,21005
PV1-006,28.8,0.3,high,1.45,0.8,1.5,1.1249223595,0.98528137422,0.544575,21006
PV1-007,19.2,0.3,nominal,1,0.9,1,0.89574275275,1.39949493659,0.4035,21007
PV1-008,24,0.65,low_margin,0.58,1,1,1.266563146,0.81370849896,0.33882,21008
PV1-009,28.8,0.55,low_margin,0.58,0.8,2,1.03738353925,1.22792206133,0.31968,21009
PV1-010,19.2,0.55,high,1.45,0.9,1.5,0.8082039325,0.6421356237,0.6642,21010
PV1-011,24,0.4,nominal,1,0.8,1,1.17902432575,1.05634918607,0.4365,21011
PV1-012,28.8,0.3,low_margin,0.58,0.9,2,0.949844719,1.47056274844,0.27183,21012
PV1-013,19.2,0.3,low_margin,0.58,1,1.5,0.72066511225,0.88477631081,0.27183,21013
PV1-014,24,0.65,high,1.45,0.8,1,1.0914855055,1.29898987318,0.71205,21014
PV1-015,28.8,0.55,nominal,1,0.9,1,0.862305898750001,0.713203435550001,0.486,21015
PV1-016,19.2,0.55,low_margin,0.58,0.8,2,1.233126292,1.12741699792,0.31968,21016
PV1-017,24,0.4,low_margin,0.58,0.9,1.5,1.00394668525,0.54163056029,0.29097,21017
PV1-018,28.8,0.3,high,1.45,1,1,0.7747670785,0.95584412266,0.544575,21018
PV1-019,19.2,0.3,nominal,1,0.8,2,1.14558747175,1.37005768503,0.4035,21019
PV1-020,24,0.65,low_margin,0.58,0.9,1.5,0.916407865000001,0.7842712474,0.33882,21020
PV1-021,28.8,0.55,low_margin,0.58,0.8,1,1.28722825825,1.19848480977,0.31968,21021
PV1-022,19.2,0.55,high,1.45,0.9,1,1.0580486515,0.612698372140001,0.6642,21022
PV1-023,24,0.4,nominal,1,1,2,0.82886904475,1.02691193451,0.4365,21023
PV1-024,28.8,0.3,low_margin,0.58,0.8,1.5,1.199689438,1.44112549688,0.27183,21024
PV1-025,19.2,0.3,low_margin,0.58,0.9,1,0.970509831250001,0.855339059249999,0.27183,21025
PV1-026,24,0.65,high,1.45,0.8,2,0.7413302245,1.26955262162,0.71205,21026
PV1-027,28.8,0.55,nominal,1,0.9,1.5,1.11215061775,0.68376618399,0.486,21027
PV1-028,19.2,0.55,low_margin,0.58,1,1,0.882971011000001,1.09797974636,0.31968,21028
PV1-029,24,0.4,low_margin,0.58,0.8,1,1.25379140425,0.51219330873,0.29097,21029
PV1-030,28.8,0.3,high,1.45,0.9,2,1.0246117975,0.926406871100001,0.544575,21030
PV1-031,19.2,0.3,nominal,1,0.8,1.5,0.795432190750001,1.34062043347,0.4035,21031
PV1-032,24,0.65,low_margin,0.58,0.9,1,1.166252584,0.75483399584,0.33882,21032
PV1-033,28.8,0.55,low_margin,0.58,1,2,0.937072977250001,1.16904755821,0.31968,21033
PV1-034,19.2,0.55,high,1.45,0.8,1.5,0.7078933705,0.58326112058,0.6642,21034
PV1-035,24,0.4,nominal,1,0.9,1,1.07871376375,0.997474682950001,0.4365,21035
PV1-036,28.8,0.3,low_margin,0.58,0.8,1,0.849534157,1.41168824532,0.27183,21036
PV1-037,19.2,0.3,low_margin,0.58,0.9,2,1.22035455025,0.82590180769,0.27183,21037
PV1-038,24,0.65,high,1.45,1,1.5,0.991174943500002,1.24011537006,0.71205,21038
PV1-039,28.8,0.55,nominal,1,0.8,1,0.761995336750002,0.654328932430001,0.486,21039
PV1-040,19.2,0.55,low_margin,0.58,0.9,2,1.13281573,1.0685424948,0.31968,21040
PV1-041,24,0.4,low_margin,0.58,0.8,1.5,0.903636123250001,1.48275605717,0.29097,21041
PV1-042,28.8,0.3,high,1.45,0.9,1,1.2744565165,0.896969619540002,0.544575,21042
PV1-043,19.2,0.3,nominal,1,1,1,1.04527690975,1.31118318191,0.4035,21043
PV1-044,24,0.65,low_margin,0.58,0.8,2,0.816097303000001,0.725396744280001,0.33882,21044
PV1-045,28.8,0.55,low_margin,0.58,0.9,1.5,1.18691769625,1.13961030665,0.31968,21045
PV1-046,19.2,0.55,high,1.45,0.8,1,0.9577380895,0.55382386902,0.6642,21046
PV1-047,24,0.4,nominal,1,0.9,2,0.72855848275,0.968037431390002,0.4365,21047
PV1-048,28.8,0.3,low_margin,0.58,1,1.5,1.099378876,1.38225099376,0.27183,21048
