estimator,parameter,value,applies_to_O0,applies_to_O1,locked_before_blind,selection_source
E1,forgetting_factor,0.9975,1,1,1,Paper Verification v1 training lock
E1,P0_scale,1000,1,1,1,Paper Verification v1 training lock
E1,C_bounds,[0.65 1.35],1,1,1,Paper Verification v1 training lock
E1,R_bounds,[0.35 2.50],1,1,1,Paper Verification v1 training lock
E2,Q_alpha,2e-10,1,1,1,Paper Verification v1 Dual EKF lock
E2,Q_R,5e-08,1,1,1,Paper Verification v1 Dual EKF lock
E2,P0_alpha,0.01,1,1,1,Paper Verification v1 Dual EKF lock
E2,P0_R_scale,0.4,1,1,1,Paper Verification v1 Dual EKF lock
E2,state_Q,2.5e-5,1,1,1,Paper Verification v1 Dual EKF lock
E3,Q_alpha,2e-09,1,1,1,frozen v2.1/v1 TS-SLTVKE lock
E3,Q_R,5e-09,1,1,1,frozen v2.1/v1 TS-SLTVKE lock
E3,P0_alpha,0.0144,1,1,1,frozen v2.1/v1 TS-SLTVKE lock
E3,P0_R_scale,0.45,1,1,1,frozen v2.1/v1 TS-SLTVKE lock
E3,NIS_gate,9,1,1,1,frozen v2.1/v1 TS-SLTVKE lock
