metric,value,unit,pass
freeze_decision,REOPEN_ALGORITHM,enum,0
factorial_decision,OBSERVATION_FRAMEWORK_IS_PRIMARY_INNOVATION,enum,1
primary_innovation,OBSERVATION,enum,1
factorial_rows,6144,rows,0
factorial_cells,8,cells,0
bootstrap_replicates,10000,replicates,1
minimum_mu_C_lower,0.217943071479,information,1
minimum_mu_R_lower,880.007784615,information,1
minimum_ratio_C,1.02872238315,ratio,1
minimum_ratio_R,1.02333536104,ratio,1
maximum_covariance_envelope_ratio,0.98807582356,ratio,1
projection_off_divergence_rate,0,fraction,1
dynamic_divergence_rate,0,fraction,1
O1_E3_C_step_tail_error,19.2910996372,percent,0
O1_E3_ESR_step_tail_error,49.9384081709,percent,0
O1_E3_health_step_tracking_pass,false,logical,0
E3_incremental_advantage_count,1,count,0
negative_observation_effect_rows,4,rows,1
