section,quantity,old_value,new_value,delta,unit,source_table,changed
Results/observation factorial,E1 RLS C_MAPE_percent,0.372680462278862,0.372680462278862,0,percent,table_observation_estimator_factorial.csv,0
Results/observation factorial,E1 RLS ESR_MAPE_percent,0.222188144681208,0.223280348154239,0.00109220347303099,percent,table_observation_estimator_factorial.csv,1
Results/observation factorial,E1 RLS C_p95_percent,1.32648620767007,1.32648620767007,0,percent,table_observation_estimator_factorial.csv,0
Results/observation factorial,E1 RLS ESR_p95_percent,0.698112302455162,0.701541146753578,0.00342884429841606,percent,table_observation_estimator_factorial.csv,1
Results/observation factorial,E1 RLS mean_convergence_cycles,13.1888020833333,13.2109375,0.0221354166666998,cycles,table_observation_estimator_factorial.csv,1
Results/observation factorial,E2 Dual EKF C_MAPE_percent,0.304340016733086,0.304340016733086,0,percent,table_observation_estimator_factorial.csv,0
Results/observation factorial,E2 Dual EKF ESR_MAPE_percent,1.19225037349521,1.1938102815942,0.00155990809899009,percent,table_observation_estimator_factorial.csv,1
Results/observation factorial,E2 Dual EKF C_p95_percent,1.15068436116824,1.15068436116824,0,percent,table_observation_estimator_factorial.csv,0
Results/observation factorial,E2 Dual EKF ESR_p95_percent,3.87138998213082,3.87723942723544,0.00584944510461982,percent,table_observation_estimator_factorial.csv,1
Results/observation factorial,E2 Dual EKF mean_convergence_cycles,40.5703125,40.5794270833333,0.00911458333330017,cycles,table_observation_estimator_factorial.csv,1
Results/observation factorial,E3 LTV/Joseph C_MAPE_percent,0.301149059504354,0.301149059504354,0,percent,table_observation_estimator_factorial.csv,0
Results/observation factorial,E3 LTV/Joseph ESR_MAPE_percent,0.64283085961941,0.644627911791199,0.00179705217178905,percent,table_observation_estimator_factorial.csv,1
Results/observation factorial,E3 LTV/Joseph C_p95_percent,1.11726993503184,1.11726993503184,0,percent,table_observation_estimator_factorial.csv,0
Results/observation factorial,E3 LTV/Joseph ESR_p95_percent,2.50347620426762,2.51660620868948,0.0131300044218596,percent,table_observation_estimator_factorial.csv,1
Results/observation factorial,E3 LTV/Joseph mean_convergence_cycles,33.03515625,33.09375,0.05859375,cycles,table_observation_estimator_factorial.csv,1
Results/paired bootstrap,E1 RLS C_MAPE mean_paired_effect,6.6638696567882,6.6638696567882,0,percent,table_observation_effect_bootstrap.csv,0
Results/paired bootstrap,E1 RLS C_MAPE ci95_low,6.47324865483926,6.47324865483926,0,percent,table_observation_effect_bootstrap.csv,0
Results/paired bootstrap,E1 RLS C_MAPE ci95_high,6.85797763757601,6.85797763757601,0,percent,table_observation_effect_bootstrap.csv,0
Results/paired bootstrap,E1 RLS ESR_MAPE mean_paired_effect,0.974782021775528,0.973689818302496,-0.00109220347303196,percent,table_observation_effect_bootstrap.csv,1
Results/paired bootstrap,E1 RLS ESR_MAPE ci95_low,0.924634566097647,0.923516433528045,-0.00111813256960203,percent,table_observation_effect_bootstrap.csv,1
Results/paired bootstrap,E1 RLS ESR_MAPE ci95_high,1.02767144203616,1.02651596329371,-0.00115547874244992,percent,table_observation_effect_bootstrap.csv,1
Results/paired bootstrap,E1 RLS convergence mean_paired_effect,652.223958333333,652.201822916667,-0.0221354166660603,cycles,table_observation_effect_bootstrap.csv,1
Results/paired bootstrap,E1 RLS convergence ci95_low,620.62890625,620.606770833333,-0.0221354166669698,cycles,table_observation_effect_bootstrap.csv,1
Results/paired bootstrap,E1 RLS convergence ci95_high,683.78515625,683.751302083333,-0.0338541666669698,cycles,table_observation_effect_bootstrap.csv,1
Results/paired bootstrap,E2 Dual EKF C_MAPE mean_paired_effect,6.71132411618707,6.71132411618707,0,percent,table_observation_effect_bootstrap.csv,0
Results/paired bootstrap,E2 Dual EKF C_MAPE ci95_low,6.52269769159797,6.52269769159797,0,percent,table_observation_effect_bootstrap.csv,0
Results/paired bootstrap,E2 Dual EKF C_MAPE ci95_high,6.89758230157919,6.89758230157919,0,percent,table_observation_effect_bootstrap.csv,0
Results/paired bootstrap,E2 Dual EKF ESR_MAPE mean_paired_effect,0.0620889559320582,0.0605290478330684,-0.0015599080989898,percent,table_observation_effect_bootstrap.csv,1
Results/paired bootstrap,E2 Dual EKF ESR_MAPE ci95_low,-0.0297825393253005,-0.0314616523940371,-0.0016791130687366,percent,table_observation_effect_bootstrap.csv,1
Results/paired bootstrap,E2 Dual EKF ESR_MAPE ci95_high,0.154783813857429,0.153393616024969,-0.00139019783246,percent,table_observation_effect_bootstrap.csv,1
Results/paired bootstrap,E2 Dual EKF convergence mean_paired_effect,649.979166666667,649.970052083333,-0.00911458333393966,cycles,table_observation_effect_bootstrap.csv,1
Results/paired bootstrap,E2 Dual EKF convergence ci95_low,616.489583333333,616.479166666667,-0.0104166666660603,cycles,table_observation_effect_bootstrap.csv,1
Results/paired bootstrap,E2 Dual EKF convergence ci95_high,682.555989583333,682.548828125,-0.00716145833303017,cycles,table_observation_effect_bootstrap.csv,1
Results/paired bootstrap,E3 LTV/Joseph C_MAPE mean_paired_effect,6.73776105634078,6.73776105634078,0,percent,table_observation_effect_bootstrap.csv,0
Results/paired bootstrap,E3 LTV/Joseph C_MAPE ci95_low,6.55424309313902,6.55424309313902,0,percent,table_observation_effect_bootstrap.csv,0
Results/paired bootstrap,E3 LTV/Joseph C_MAPE ci95_high,6.92682878222072,6.92682878222072,0,percent,table_observation_effect_bootstrap.csv,0
Results/paired bootstrap,E3 LTV/Joseph ESR_MAPE mean_paired_effect,0.579612627023268,0.577815574851479,-0.00179705217178894,percent,table_observation_effect_bootstrap.csv,1
Results/paired bootstrap,E3 LTV/Joseph ESR_MAPE ci95_low,0.500884233018052,0.499058709745717,-0.00182552327233498,percent,table_observation_effect_bootstrap.csv,1
Results/paired bootstrap,E3 LTV/Joseph ESR_MAPE ci95_high,0.657951378976891,0.65646383253962,-0.001487546437271,percent,table_observation_effect_bootstrap.csv,1
Results/paired bootstrap,E3 LTV/Joseph convergence mean_paired_effect,690.692708333333,690.634114583333,-0.05859375,cycles,table_observation_effect_bootstrap.csv,1
Results/paired bootstrap,E3 LTV/Joseph convergence ci95_low,657.475911458333,657.412760416667,-0.0631510416660603,cycles,table_observation_effect_bootstrap.csv,1
Results/paired bootstrap,E3 LTV/Joseph convergence ci95_high,722.5078125,722.466145833333,-0.0416666666669698,cycles,table_observation_effect_bootstrap.csv,1
Results/static comparison,M1 TS-D-RLS C_mean_MAPE_percent,0.372680462278862,0.372680462278862,0,percent,table_algorithm_static_comparison.csv,0
Results/static comparison,M1 TS-D-RLS ESR_mean_MAPE_percent,0.222188144681207,0.223280348154239,0.00109220347303199,percent,table_algorithm_static_comparison.csv,1
Results/static comparison,M1 TS-D-RLS C_p95_percent,1.31818648710039,1.31818648710039,0,percent,table_algorithm_static_comparison.csv,0
Results/static comparison,M1 TS-D-RLS ESR_p95_percent,0.696773537082202,0.700200160719177,0.00342662363697499,percent,table_algorithm_static_comparison.csv,1
Results/static comparison,M1 TS-D-RLS convergence_cycles_mean,13.1888020833333,13.2109375,0.0221354166666998,cycles,table_algorithm_static_comparison.csv,1
Results/static comparison,M2 TS-SLTVKE C_mean_MAPE_percent,0.301149059504354,0.301149059504354,0,percent,table_algorithm_static_comparison.csv,0
Results/static comparison,M2 TS-SLTVKE ESR_mean_MAPE_percent,0.64283085961941,0.644627911791199,0.00179705217178905,percent,table_algorithm_static_comparison.csv,1
Results/static comparison,M2 TS-SLTVKE C_p95_percent,1.10688368055481,1.10688368055481,0,percent,table_algorithm_static_comparison.csv,0
Results/static comparison,M2 TS-SLTVKE ESR_p95_percent,2.48676389255558,2.49915946878208,0.0123955762265,percent,table_algorithm_static_comparison.csv,1
Results/static comparison,M2 TS-SLTVKE convergence_cycles_mean,33.03515625,33.09375,0.05859375,cycles,table_algorithm_static_comparison.csv,1
Results/static comparison,M3 Dual EKF C_mean_MAPE_percent,0.304340016733086,0.304340016733086,0,percent,table_algorithm_static_comparison.csv,0
Results/static comparison,M3 Dual EKF ESR_mean_MAPE_percent,1.19225037349521,1.1938102815942,0.00155990809899009,percent,table_algorithm_static_comparison.csv,1
Results/static comparison,M3 Dual EKF C_p95_percent,1.14919306233607,1.14919306233607,0,percent,table_algorithm_static_comparison.csv,0
Results/static comparison,M3 Dual EKF ESR_p95_percent,3.8578529399109,3.86016113580213,0.0023081958912301,percent,table_algorithm_static_comparison.csv,1
