dataset,variable,row_count,changed_count,max_abs_delta,mean_abs_delta
PV_FACTORIAL_SUMMARY,N_rows,6,0,0,0
PV_FACTORIAL_SUMMARY,C_MAPE_percent,6,0,0,0
PV_FACTORIAL_SUMMARY,C_p50_percent,6,0,0,0
PV_FACTORIAL_SUMMARY,C_p95_percent,6,0,0,0
PV_FACTORIAL_SUMMARY,C_max_percent,6,0,0,0
PV_FACTORIAL_SUMMARY,ESR_MAPE_percent,6,3,0.00179705217178905,0.000741527290635022
PV_FACTORIAL_SUMMARY,ESR_p50_percent,6,3,0.00232651680159801,0.000556894636468167
PV_FACTORIAL_SUMMARY,ESR_p95_percent,6,3,0.0131300044218596,0.00373471563748258
PV_FACTORIAL_SUMMARY,ESR_max_percent,6,3,0.04414870347542,0.0120352547146281
PV_FACTORIAL_SUMMARY,C_bias_percent,6,0,0,0
PV_FACTORIAL_SUMMARY,ESR_bias_percent,6,3,0.00267045115048797,0.000569107019846651
PV_FACTORIAL_SUMMARY,empirical_C_variance,6,0,0,0
PV_FACTORIAL_SUMMARY,empirical_ESR_variance,6,3,2.88750395739559e-08,6.08012857116337e-09
PV_FACTORIAL_SUMMARY,posterior_C_variance,6,0,0,0
PV_FACTORIAL_SUMMARY,posterior_ESR_variance,6,3,5.61388334506011e-09,1.44226358942685e-09
PV_FACTORIAL_SUMMARY,mean_convergence_cycles,6,3,0.05859375,0.0149739583333333
PV_FACTORIAL_SUMMARY,divergence_rate,6,0,0,0
PV_FACTORIAL_SUMMARY,projection_saturation_rate,6,0,0,0
PV_FACTORIAL_SUMMARY,mean_invalid_updates,6,1,0.0299479166666003,0.00499131944443339
PV_FACTORIAL_SUMMARY,timing_failure_rate,6,0,0,0
PV_FACTORIAL_SUMMARY,NIS_mean,6,2,0.001577237803293,0.000740094172178296
PV_FACTORIAL_SUMMARY,NEES_mean,6,3,0.0208732980021793,0.00471252192148478
PV_FACTORIAL_SUMMARY,joint_CI_coverage,6,1,0.00130208333333304,0.00021701388888884
PV_OBSERVATION_BOOTSTRAP,N_pairs,18,0,0,0
PV_OBSERVATION_BOOTSTRAP,mean_paired_effect,18,9,0.05859375,0.00648340042048388
PV_OBSERVATION_BOOTSTRAP,median_paired_effect,18,7,1,0.0559697966254182
PV_OBSERVATION_BOOTSTRAP,ci95_low,18,9,0.0631510416660603,0.00751569311933989
PV_OBSERVATION_BOOTSTRAP,ci95_high,18,9,0.0416666666669698,0.00571532387649494
PV_OBSERVATION_BOOTSTRAP,fraction_improved,18,2,0.00130208333333304,0.000144675925925893
PV_OBSERVATION_BOOTSTRAP,bootstrap_replicates,18,0,0,0
PV_PE_BOUNDS,duty,45,0,0,0
PV_PE_BOUNDS,load_fraction,45,0,0,0
PV_PE_BOUNDS,I_C_min,45,0,0,0
PV_PE_BOUNDS,I_sum_min,45,0,0,0
PV_PE_BOUNDS,T_w_min,45,0,0,0
PV_PE_BOUNDS,kR_min,45,0,0,0
PV_PE_BOUNDS,R_C_max,45,0,0,0
PV_PE_BOUNDS,R_R_max,45,0,0,0
PV_PE_BOUNDS,mu_C_lower,45,0,0,0
PV_PE_BOUNDS,mu_C_empirical,45,0,0,0
PV_PE_BOUNDS,mu_R_lower,45,0,0,0
PV_PE_BOUNDS,mu_R_empirical,45,0,0,0
PV_PE_BOUNDS,ratio_C,45,0,0,0
PV_PE_BOUNDS,ratio_R,45,0,0,0
PV_PE_BOUNDS,sign_invariant,45,0,0,0
