test_id,model_type,Vin,D,load_percent,fs_Hz,C_true_F,ESR_true_Ohm,noise_SNR_dB,adc_bits,samples_per_cycle,sync_error_s,ESL_H,method,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,convergence_time_s,rank_Phi,cond_Phi,rank_Obs,cond_Obs,min_singular_Obs,status,notes,algorithm_version,edge_method,pre_projection_C,pre_projection_ESR,post_projection_C,post_projection_ESR,sample_phase_fraction,common_pwm_offset_ns,voltage_delay_ns,i1_delay_ns,i2_delay_ns,jitter_rms_ns,adc_aperture_ns,voltage_frontend_fc_Hz,i1_frontend_fc_Hz,i2_frontend_fc_Hz,edge_guard_us,edge_window_us,edge_points_per_side,edge_fit_order,edge_fit_rmse_V,edge_fit_variance_V2,R_V,R_C,R_R,NIS_V,NIS_C,NIS_R,gate_V,gate_C,gate_R,rank_Obs_normalized,cond_Obs_normalized,min_sv_Obs_normalized,info_min_eig,info_cond,sigma_v_mV_RMS,sigma_i_mA_RMS,test_family
baseline_1,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-2e-07,0,adjacent-edge assignment,0.00015,50,0.0050502181778528,89.8995636442944,NaN,2,NaN,NaN,NaN,NaN,FAIL,sample-index cliff diagnostic; pre/post projection retained,v1,adjacent,-0.00125699398121848,0.000388039544531599,0.00015,0.0050502181778528,NaN,-200,0,0,0,0,0,Inf,Inf,Inf,0.5,2,3,1,NaN,NaN,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,baseline_cliff
baseline_2,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-1e-07,0,adjacent-edge assignment,0.00015,50,0.00504958054067147,89.9008389186571,NaN,2,NaN,NaN,NaN,NaN,FAIL,sample-index cliff diagnostic; pre/post projection retained,v1,adjacent,-0.00171649361648549,0.000389772070381667,0.00015,0.00504958054067147,NaN,-100,0,0,0,0,0,Inf,Inf,Inf,0.5,2,3,1,NaN,NaN,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,baseline_cliff
baseline_3,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-4e-08,0,adjacent-edge assignment,0.00015,50,0.0050491971715212,89.9016056569576,NaN,2,NaN,NaN,NaN,NaN,FAIL,sample-index cliff diagnostic; pre/post projection retained,v1,adjacent,-0.0021984819803679,0.000390810176262438,0.00015,0.0050491971715212,NaN,-40,0,0,0,0,0,Inf,Inf,Inf,0.5,2,3,1,NaN,NaN,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,baseline_cliff
baseline_4,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-2e-08,0,adjacent-edge assignment,0.00015,50,0.00504906925066955,89.9018614986609,NaN,2,NaN,NaN,NaN,NaN,FAIL,sample-index cliff diagnostic; pre/post projection retained,v1,adjacent,-0.00242545341424859,0.000391155976600062,0.00015,0.00504906925066955,NaN,-20,0,0,0,0,0,Inf,Inf,Inf,0.5,2,3,1,NaN,NaN,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,baseline_cliff
baseline_5,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-1e-08,0,adjacent-edge assignment,0.00015,50,0.00504906925066955,89.9018614986609,NaN,2,NaN,NaN,NaN,NaN,FAIL,sample-index cliff diagnostic; pre/post projection retained,v1,adjacent,-0.00242545341424859,0.000391155976600062,0.00015,0.00504906925066955,NaN,-10,0,0,0,0,0,Inf,Inf,Inf,0.5,2,3,1,NaN,NaN,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,baseline_cliff
baseline_6,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-4e-09,0,adjacent-edge assignment,0.000100000301446026,0.000301446026296226,0.0498998933264981,0.200213347003708,NaN,2,NaN,NaN,NaN,NaN,PASS,sample-index cliff diagnostic; pre/post projection retained,v1,adjacent,0.000100000301446026,0.0498998933264981,0.000100000301446026,0.0498998933264981,NaN,-4,0,0,0,0,0,Inf,Inf,Inf,0.5,2,3,1,NaN,NaN,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,baseline_cliff
baseline_7,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-2e-09,0,adjacent-edge assignment,0.000100000301446026,0.000301446026296226,0.0498998933264981,0.200213347003708,NaN,2,NaN,NaN,NaN,NaN,PASS,sample-index cliff diagnostic; pre/post projection retained,v1,adjacent,0.000100000301446026,0.0498998933264981,0.000100000301446026,0.0498998933264981,NaN,-2,0,0,0,0,0,Inf,Inf,Inf,0.5,2,3,1,NaN,NaN,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,baseline_cliff
baseline_8,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,0,0,adjacent-edge assignment,0.000100000301446026,0.000301446026296226,0.0498998933264981,0.200213347003708,NaN,2,NaN,NaN,NaN,NaN,PASS,sample-index cliff diagnostic; pre/post projection retained,v1,adjacent,0.000100000301446026,0.0498998933264981,0.000100000301446026,0.0498998933264981,NaN,0,0,0,0,0,0,Inf,Inf,Inf,0.5,2,3,1,NaN,NaN,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,baseline_cliff
baseline_9,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,2e-09,0,adjacent-edge assignment,0.000100000301446026,0.000301446026296226,0.0498998933264981,0.200213347003708,NaN,2,NaN,NaN,NaN,NaN,PASS,sample-index cliff diagnostic; pre/post projection retained,v1,adjacent,0.000100000301446026,0.0498998933264981,0.000100000301446026,0.0498998933264981,NaN,2,0,0,0,0,0,Inf,Inf,Inf,0.5,2,3,1,NaN,NaN,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,baseline_cliff
baseline_10,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,4e-09,0,adjacent-edge assignment,0.000100000301446026,0.000301446026296226,0.0498998933264981,0.200213347003708,NaN,2,NaN,NaN,NaN,NaN,PASS,sample-index cliff diagnostic; pre/post projection retained,v1,adjacent,0.000100000301446026,0.0498998933264981,0.000100000301446026,0.0498998933264981,NaN,4,0,0,0,0,0,Inf,Inf,Inf,0.5,2,3,1,NaN,NaN,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,baseline_cliff
