test_id,Vin_V,D,load_fraction,measurement_type,NIS_mean,NIS_median,NIS_p95,rejected_fraction,NIS_gate,R_V,R_C_floor,R_R_floor
4,19.2,0.25,0.75,V,0.0114127369930557,2.38759909632849e-06,0.034806193461017,0.004,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
4,19.2,0.25,0.75,C,0.00409861715884289,0.000709327606366743,0.00206457562535593,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
4,19.2,0.25,0.75,R,0.00301050829166655,0.000557882985427608,0.00993531018533224,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
5,19.2,0.25,1,V,0.0187924782965164,1.33967498982922e-06,0.0995449819372324,0.004,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
5,19.2,0.25,1,C,0.00367103263924422,0.000395325725879994,0.00115820883894661,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
5,19.2,0.25,1,R,0.00282776497540825,0.000563734233256546,0.00833033219090174,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
8,19.2,0.35,0.5,V,0.0187778365684999,2.7293270220792e-06,0.0620735481854457,0.004,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
8,19.2,0.35,0.5,C,0.00387070098593623,0.000278052998453397,0.00212472200506269,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
8,19.2,0.35,0.5,R,0.00389127902844483,0.00111240871532902,0.0131983043656035,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
9,19.2,0.35,0.75,V,0.037595948835741,1.34928080036138e-06,0.230469243958751,0.004,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
9,19.2,0.35,0.75,C,0.0034897030185931,0.000158976929955331,0.00106749237328538,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
9,19.2,0.35,0.75,R,0.00335989841239574,0.00102217701540836,0.0101118667930135,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
10,19.2,0.35,1,V,0.063614960860042,8.75684988396724e-07,0.544300652071355,0.004,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
10,19.2,0.35,1,C,0.00334664295276929,0.00010456469417033,0.000643611937325389,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
10,19.2,0.35,1,R,0.00304460258682592,0.000892563926073978,0.00809858400032205,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
12,19.2,0.45,0.25,V,0.0480068106919526,2.29734994614126e-06,0.283341120618817,0.196,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
12,19.2,0.45,0.25,C,0.00343898195213723,0.000233405880166813,0.000838253206387177,0.193548387096774,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
12,19.2,0.45,0.25,R,0.0059305167554097,0.000952489775842909,0.0151073286994902,0.192771084337349,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
13,19.2,0.45,0.5,V,0.0568701399764903,1.08769613102448e-06,0.26647055785622,0.004,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
13,19.2,0.45,0.5,C,0.00338273660104878,0.000124169348232473,0.000870918316336572,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
13,19.2,0.45,0.5,R,0.00431085894616919,0.00146363044820425,0.0139839477377884,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
14,19.2,0.45,0.75,V,0.117410456804872,6.77824391012272e-07,0.917796707805811,0.004,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
14,19.2,0.45,0.75,C,0.00327198748003369,6.30464954761172e-05,0.000463328652205202,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
14,19.2,0.45,0.75,R,0.00352742082844197,0.000958636275383331,0.0099724293549361,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
15,19.2,0.45,1,V,0.215726062768814,4.94790193719929e-07,1.7769670409606,0.00621052631578944,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
15,19.2,0.45,1,C,0.00322176075336399,3.29483445117318e-05,0.000274823029400876,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
15,19.2,0.45,1,R,0.00309311244175782,0.000533817863003463,0.0075230388072844,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
