test_id,offset_over_Ts,requested_offset_ns,integer_shift_samples,sample_index_changed,pre_edge_index,post_edge_index,pre_source_index,post_source_index,pre_relative_to_edge_ns,post_relative_to_edge_ns,pre_source_pwm_state,post_source_pwm_state,delta_v_edge_V,delta_iC_A,ESR_raw_edge_Ohm,ESR_raw_edge_MAPE_percent,pre_projection_C_F,pre_projection_ESR_Ohm,post_projection_C_F,post_projection_ESR_Ohm,pre_projection_C_MAPE_percent,pre_projection_ESR_MAPE_percent,post_projection_C_MAPE_percent,post_projection_ESR_MAPE_percent,rank_Phi
1,-0.01,-200,-10,1,100000,100001,100010,100011,179.999999999798,200.000000000113,1,1,0.000328111795163366,2.2612463670362,0.000145419379059458,99.7091612418811,-0.00125699398121848,0.000388039544531599,0.00015,0.0050502181778528,1356.99398121848,99.2239209109368,50,89.8995636442944,2
2,-0.005,-100,-5,1,100000,100001,100005,100006,79.9999999999586,99.9999999998398,1,1,0.00032715571830245,2.2612463670362,0.000144993112350108,99.7100137752998,-0.00171649361648549,0.000389772070381667,0.00015,0.00504958054067147,1816.49361648549,99.2204558592367,50,89.9008389186571,2
3,-0.002,-40,-2,1,100000,100001,100002,100003,19.9999999998812,40.0000000001961,1,1,0.000326582035983662,2.2612463670362,0.000144737336284735,99.7105253274305,-0.0021984819803679,0.000390810176262438,0.00015,0.0050491971715212,2298.4819803679,99.2183796474751,50,89.9016056569576,2
4,-0.001,-20,-1,1,100000,100001,100001,100002,0,19.9999999998812,1,1,0.000326390802521672,2.2612463670362,0.000144652074928006,99.710695850144,-0.00242545341424859,0.000391155976600062,0.00015,0.00504906925066955,2525.45341424859,99.2176880467999,50,89.9018614986609,2
5,-0.0005,-10,-1,1,100000,100001,100001,100002,0,19.9999999998812,1,1,0.000326390802521672,2.2612463670362,0.000144652074928006,99.710695850144,-0.00242545341424859,0.000391155976600062,0.00015,0.00504906925066955,2525.45341424859,99.2176880467999,50,89.9018614986609,2
6,-0.0002,-4,-0,0,100000,100001,100000,100001,-19.9999999998812,0,0,1,0.112888460142039,2.2612463670362,0.0499232519389962,0.153496122007592,0.000100000301446026,0.0498998933264981,0.000100000301446026,0.0498998933264981,0.000301446026296226,0.200213347003708,0.000301446026296226,0.200213347003708,2
7,-0.0001,-2,-0,0,100000,100001,100000,100001,-19.9999999998812,0,0,1,0.112888460142039,2.2612463670362,0.0499232519389962,0.153496122007592,0.000100000301446026,0.0498998933264981,0.000100000301446026,0.0498998933264981,0.000301446026296226,0.200213347003708,0.000301446026296226,0.200213347003708,2
8,0,0,0,0,100000,100001,100000,100001,-19.9999999998812,0,0,1,0.112888460142039,2.2612463670362,0.0499232519389962,0.153496122007592,0.000100000301446026,0.0498998933264981,0.000100000301446026,0.0498998933264981,0.000301446026296226,0.200213347003708,0.000301446026296226,0.200213347003708,2
9,0.0001,2,0,0,100000,100001,100000,100001,-19.9999999998812,0,0,1,0.112888460142039,2.2612463670362,0.0499232519389962,0.153496122007592,0.000100000301446026,0.0498998933264981,0.000100000301446026,0.0498998933264981,0.000301446026296226,0.200213347003708,0.000301446026296226,0.200213347003708,2
10,0.0002,4,0,0,100000,100001,100000,100001,-19.9999999998812,0,0,1,0.112888460142039,2.2612463670362,0.0499232519389962,0.153496122007592,0.000100000301446026,0.0498998933264981,0.000100000301446026,0.0498998933264981,0.000301446026296226,0.200213347003708,0.000301446026296226,0.200213347003708,2
11,0.0005,10,1,1,100000,100001,99999,100000,-40.0000000001961,-19.9999999998812,0,0,-0.00014201335428119,2.2612463670362,-6.25505261729141e-05,100.125101052346,4.91066179709507e-05,0.000263973409272777,5e-05,0.005,50.8933820290492,99.4720531814544,50,90,2
12,0.001,20,1,1,100000,100001,99999,100000,-40.0000000001961,-19.9999999998812,0,0,-0.00014201335428119,2.2612463670362,-6.25505261729141e-05,100.125101052346,4.91066179709507e-05,0.000263973409272777,5e-05,0.005,50.8933820290492,99.4720531814544,50,90,2
13,0.002,40,2,1,100000,100001,99998,99999,-60.0000000000773,-40.0000000001961,0,0,-0.000142141528856641,2.2612463670362,-6.26076692942713e-05,100.125215338589,4.92100585832514e-05,0.000263842896592505,5e-05,0.005,50.7899414167486,99.472314206815,50,90,2
14,0.005,100,5,1,100000,100001,99995,99996,-120.000000000155,-99.9999999998398,0,0,-0.000142526047292577,2.2612463670362,-6.27790963363913e-05,100.125558192673,4.9522943224311e-05,0.000263451476981167,5.00011885730943e-05,0.00500027357583509,50.477056775689,99.4730970460377,49.9988114269057,89.9994528483298,2
15,0.01,200,10,1,100000,100001,99990,99991,-219.999999999995,-200.000000000113,0,0,-0.00014316689366062,2.2612463670362,-6.30648003077669e-05,100.126129600616,5.00531205310562e-05,0.000262799505792468,5.00643785116259e-05,0.00500163896570686,49.9468794689438,99.4744009884151,49.9356214883741,89.9967220685863,2
