sigma_v_mV_RMS,sigma_i_mA_RMS,seed,pre_projection_C_F,pre_projection_ESR_Ohm,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,edge_fit_rejection_rate,status,noise_type
0.5,0.1,1,9.97206109291457e-05,0.0497984116872272,0.000100006970132578,0.00697013257777712,0.0498961939521336,0.207612095732856,0,PASS,analog_only
0.5,0.1,2,9.96015464973734e-05,0.04976175917608,9.99707061795785e-05,0.0292938204214832,0.0499119483372943,0.176103325411447,0,PASS,analog_only
0.5,0.1,3,9.93578544844474e-05,0.0495114923631955,9.99759298091755e-05,0.0240701908245433,0.0499566058052781,0.0867883894437593,0,PASS,analog_only
0.5,0.1,4,0.000100533131834521,0.0502548580029553,9.99974766060096e-05,0.00252339399036128,0.04982256331369,0.354873372620035,0,PASS,analog_only
0.5,0.1,5,9.96489139243808e-05,0.0497724643205909,0.000100031105153301,0.0311051533008699,0.0498985823850683,0.202835229863352,0,PASS,analog_only
0.5,0.1,6,0.000100530213168325,0.050413394219264,9.99969151855257e-05,0.00308481447435227,0.0498826829580477,0.234634083904561,0,PASS,analog_only
0.5,0.1,7,0.000100690061927705,0.0497524166446486,0.000100124599612048,0.124599612048359,0.0498600957541613,0.279808491677358,0,PASS,analog_only
0.5,0.1,8,0.00010022118680464,0.0498329007989064,0.000100077872121228,0.0778721212281841,0.0498796383541036,0.240723291792777,0,PASS,analog_only
0.5,0.1,9,9.97236331091703e-05,0.0503329755748343,0.000100030888987413,0.0308889874130136,0.0499578568206838,0.0842863586323794,0,PASS,analog_only
0.5,0.1,10,0.000100564397001342,0.0497827311378133,0.000100047517205643,0.047517205643155,0.0499615211153227,0.0769577693546242,0,PASS,analog_only
0.5,0.1,11,0.000100519412875953,0.0497851320525462,9.99766915949454e-05,0.0233084050546006,0.0499141568602033,0.171686279593408,0,PASS,analog_only
0.5,0.1,12,9.97767415907217e-05,0.0498168831891244,9.9997388180834e-05,0.00261181916599851,0.0498957021378818,0.20859572423636,0,PASS,analog_only
0.5,0.1,13,9.91663823486554e-05,0.0495318934651554,9.99494422837156e-05,0.0505577162844384,0.049901879739128,0.196240521743996,0,PASS,analog_only
0.5,0.1,14,9.94501033062564e-05,0.04980278078009,0.000100015801653301,0.0158016533011507,0.0500476285754094,0.0952571508187727,0,PASS,analog_only
0.5,0.1,15,9.93267986047509e-05,0.0501947336679207,9.99550346303339e-05,0.044965369666139,0.0498745836258165,0.250832748367014,0,PASS,analog_only
0.5,0.1,16,9.96011437916619e-05,0.0497841043661925,9.99399227323801e-05,0.0600772676198846,0.0498846377109546,0.230724578090824,0,PASS,analog_only
0.5,0.1,17,9.9354429725016e-05,0.0497989792621257,9.99718000290948e-05,0.0281999709051628,0.0499031364438164,0.19372711236727,0,PASS,analog_only
0.5,0.1,18,0.000100478328782216,0.0497300350276254,0.000100037805434686,0.0378054346861223,0.0499888733533764,0.0222532932472874,0,PASS,analog_only
0.5,0.1,19,0.000100456724966463,0.0498275588410243,9.99220286623122e-05,0.0779713376878433,0.0499665416187525,0.0669167624950284,0,PASS,analog_only
0.5,0.1,20,9.95421699377343e-05,0.0498309851602835,0.000100037558645222,0.0375586452221688,0.0499372448234808,0.125510353038394,0,PASS,analog_only
