test_id,common_pwm_offset_ns,edge_method,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,ESR_p95_MAPE_percent,edge_fit_rmse_V,edge_fit_variance_V2,valid_edges,edge_guard_us,edge_window_us
1,-1000,adjacent,0.000102901667767545,2.90166776754548,-0.000777749567110506,101.555499134221,101.742011794501,0,0,148,0.5,1.5
2,-1000,timestamped_linear,0.000102901667767545,2.90166776754548,-0.0143449487503833,128.689897500767,145.091709383442,0.0201596792811076,0.00190025763207262,148,0.5,1.5
3,-1000,robust_polynomial,0.000102901667767545,2.90166776754548,-0.0653759215457641,230.751843091528,339.592572106994,0.0139918964841217,0.000707220368277474,148,0.5,1.5
4,-500,adjacent,9.99999881024833e-05,1.18975166718549e-05,-0.000770003457029173,101.540006914058,101.732738968682,0,0,148,0.5,1.5
5,-500,timestamped_linear,9.99999881024833e-05,1.18975166718549e-05,0.0449415561736937,10.1168876526126,10.2506660686237,3.6058534102712e-05,5.21282651102005e-09,148,0.5,1.5
6,-500,robust_polynomial,9.99999881024833e-05,1.18975166718549e-05,0.0449909120368718,10.0181759262564,10.0198692988479,2.74970005896129e-09,4.16849350830354e-17,148,0.5,1.5
7,-200,adjacent,9.99999895035309e-05,1.04964690827991e-05,0.0490497978726971,1.90040425460577,2.03128403543317,0,0,148,0.5,1.5
8,-200,timestamped_linear,9.99999895035309e-05,1.04964690827991e-05,0.0479140925925848,4.17181481483044,4.18736851003957,3.17797567789838e-05,5.04610037192093e-09,148,0.5,1.5
9,-200,robust_polynomial,9.99999895035309e-05,1.04964690827991e-05,0.0479985189245374,4.00296215092528,4.00322772488777,2.40563793253924e-09,4.04393624564127e-17,148,0.5,1.5
10,-100,adjacent,9.99999895035309e-05,1.04964690827991e-05,0.0490497978726971,1.90040425460577,2.03128403543317,0,0,148,0.5,1.5
11,-100,timestamped_linear,9.99999895035309e-05,1.04964690827991e-05,0.0489612304444228,2.07753911115447,2.08475525209924,3.17797567800697e-05,4.76959008318008e-09,148,0.5,1.5
12,-100,robust_polynomial,9.99999895035309e-05,1.04964690827991e-05,0.0489996204872271,2.00075902554578,2.00082541363277,2.40563823772177e-09,3.58093612491848e-17,148,0.5,1.5
13,-50,adjacent,9.99999895035309e-05,1.04964690827991e-05,0.0490497978726971,1.90040425460577,2.03128403543317,0,0,148,0.5,1.5
14,-50,timestamped_linear,9.99999895035309e-05,1.04964690827991e-05,0.0494849197684435,1.03016046311303,1.03485706139523,3.17797567791374e-05,4.65208881043332e-09,148,0.5,1.5
15,-50,robust_polynomial,9.99999895035309e-05,1.04964690827991e-05,0.0494998990743068,1.00020185138633,1.00021890873619,2.4056381136046e-09,3.36530822397611e-17,148,0.5,1.5
16,-20,adjacent,9.99999895035309e-05,1.04964690827991e-05,0.0490497978726971,1.90040425460577,2.03128403543317,0,0,148,0.5,1.5
17,-20,timestamped_linear,9.99999895035309e-05,1.04964690827991e-05,0.0497987392610145,0.402521477971057,0.40616373462223,3.177975677954e-05,4.58823242722412e-09,148,0.5,1.5
18,-20,robust_polynomial,9.99999895035309e-05,1.04964690827991e-05,0.0497999793825972,0.400041234805593,0.400046132320309,2.40563927919427e-09,3.24101441726353e-17,148,0.5,1.5
19,-10,adjacent,9.99999895035309e-05,1.04964690827991e-05,0.0490497978726971,1.90040425460577,2.03128403543317,0,0,148,0.5,1.5
20,-10,timestamped_linear,9.99999895035309e-05,1.04964690827991e-05,0.0499030323199286,0.193935360142755,0.197230069960701,3.17797567790444e-05,4.5684024334915e-09,148,0.5,1.5
21,-10,robust_polynomial,9.99999895035309e-05,1.04964690827991e-05,0.0498999919641025,0.200016071795023,0.200020419937619,2.40563819343508e-09,3.2004255120637e-17,148,0.5,1.5
22,0,adjacent,9.99999895013488e-05,1.04986511595406e-05,0.0489933785048262,2.0132429903477,96.34747671136,0,0,148,0.5,1.5
23,0,timestamped_linear,9.99999895013488e-05,1.04986511595406e-05,0.0499527105003262,0.0945789993476887,0.232197792757746,3.60508143208689e-05,5.63597013492292e-09,148,0.5,1.5
24,0,robust_polynomial,9.99999895013488e-05,1.04986511595406e-05,0.0499999807031629,3.85936742730575e-05,8.75948719014641e-05,2.73785765838826e-09,4.20568476786797e-17,148,0.5,1.5
25,10,adjacent,9.99999895049266e-05,1.04950733881282e-05,0.0018271741584307,96.3456516831386,96.5779354439773,0,0,148,0.5,1.5
26,10,timestamped_linear,9.99999895049266e-05,1.04950733881282e-05,0.0499968763040596,0.0193344648067417,0.0312474870148316,3.17762877949444e-05,5.17029928030716e-09,148,0.5,1.5
27,10,robust_polynomial,9.99999895049266e-05,1.04950733881282e-05,0.0500999562273712,0.199912454742301,0.199921056222934,2.41990228959536e-09,4.29513162066532e-17,148,0.5,1.5
28,20,adjacent,9.99999895049266e-05,1.04950733881282e-05,0.0018271741584307,96.3456516831386,96.5779354439773,0,0,148,0.5,1.5
29,20,timestamped_linear,9.99999895049266e-05,1.04950733881282e-05,0.0501015545568629,0.203109113725797,0.238913674367722,3.17762877944191e-05,5.13805435982731e-09,148,0.5,1.5
30,20,robust_polynomial,9.99999895049266e-05,1.04950733881282e-05,0.0501999467475151,0.399893495030113,0.399906672544617,2.4199017520296e-09,4.24431628370969e-17,148,0.5,1.5
31,50,adjacent,9.99999895049266e-05,1.04950733881282e-05,0.0018271741584307,96.3456516831386,96.5779354439773,0,0,148,0.5,1.5
32,50,timestamped_linear,9.99999895049266e-05,1.04950733881282e-05,0.0504155822904632,0.831164580926302,0.86183709172494,3.17762877953497e-05,5.04488875249092e-09,148,0.5,1.5
33,50,robust_polynomial,9.99999895049266e-05,1.04950733881282e-05,0.0504998758798512,0.999751759702461,0.999792800546402,2.41990282924058e-09,4.09445036232628e-17,148,0.5,1.5
34,100,adjacent,9.99999895049266e-05,1.04950733881282e-05,0.0018271741584307,96.3456516831386,96.5779354439773,0,0,148,0.5,1.5
35,100,timestamped_linear,9.99999895049266e-05,1.04950733881282e-05,0.0509384991222172,1.8769982444344,1.89949485286545,3.17762877948532e-05,4.89970337161929e-09,148,0.5,1.5
36,100,robust_polynomial,9.99999895049266e-05,1.04950733881282e-05,0.0509996134201464,1.99922684029278,1.99936839199116,2.41990231093043e-09,3.85323212149421e-17,148,0.5,1.5
37,200,adjacent,9.99999895049266e-05,1.04950733881282e-05,0.0018271741584307,96.3456516831386,96.5779354439773,0,0,148,0.5,1.5
