test_id,frontend_type,voltage_frontend_fc_Hz,i1_frontend_fc_Hz,i2_frontend_fc_Hz,voltage_group_delay_at_fs_s,i1_group_delay_at_fs_s,i2_group_delay_at_fs_s,pre_projection_C_F,pre_projection_ESR_Ohm,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,status
1,matched,100000,100000,100000,1.27323954473516e-06,1.27323954473516e-06,1.27323954473516e-06,6.74953750266733e-05,0.00570566498470695,6.81600410401827e-05,31.8399589598173,0.00704144995177282,85.9171000964544,FAIL
2,matched,250000,250000,250000,6.1213439650729e-07,6.1213439650729e-07,6.1213439650729e-07,6.71744839963246e-05,0.0216133859370978,6.78903450034375e-05,32.1096549965625,0.0254561310932288,49.0877378135423,FAIL
3,matched,500000,500000,500000,3.15158303152268e-07,3.15158303152268e-07,3.15158303152268e-07,8.2703603557752e-05,0.0378932354613511,8.32956361141189e-05,16.7043638858811,0.0413665633973251,17.2668732053498,FAIL
4,matched,1000000,1000000,1000000,1.58758047971965e-07,1.58758047971965e-07,1.58758047971965e-07,9.61666702971872e-05,0.0472023998518055,9.73762665882231e-05,2.6237334117769,0.0479720832160068,4.05583356798639,PASS
5,matched,2000000,2000000,2000000,7.95277666917653e-08,7.95277666917653e-08,7.95277666917653e-08,9.97307519944034e-05,0.0493255128716248,9.99235331708852e-05,0.0764668291148074,0.0493337368139503,1.33252637209942,PASS
6,mismatched,100000,250000,250000,1.27323954473516e-06,6.1213439650729e-07,6.1213439650729e-07,6.17616725847822e-05,0.00586188319935251,6.2366946954087e-05,37.633053045913,0.00726043981588429,85.4791203682314,FAIL
7,mismatched,100000,1000000,1000000,1.27323954473516e-06,1.58758047971965e-07,1.58758047971965e-07,6.35037855873756e-05,0.00590853934138423,6.46861252198437e-05,35.3138747801563,0.00730887461574422,85.3822507685116,FAIL
8,mismatched,250000,250000,250000,6.1213439650729e-07,6.1213439650729e-07,6.1213439650729e-07,6.71744839963246e-05,0.0216133859370978,6.78903450034375e-05,32.1096549965625,0.0254561310932288,49.0877378135423,FAIL
9,mismatched,250000,1000000,1000000,6.1213439650729e-07,1.58758047971965e-07,1.58758047971965e-07,6.90606283270359e-05,0.0217806465376782,6.96952512131069e-05,30.3047487868931,0.0256278739941998,48.7442520116004,FAIL
10,mismatched,500000,250000,250000,3.15158303152268e-07,6.1213439650729e-07,6.1213439650729e-07,8.16941973282294e-05,0.0376585004572825,8.33155350491348e-05,16.6844649508652,0.0411012244505683,17.7975510988634,FAIL
11,mismatched,500000,1000000,1000000,3.15158303152268e-07,1.58758047971965e-07,1.58758047971965e-07,8.30578055090969e-05,0.0379282452594362,8.32885993404871e-05,16.7114006595129,0.0413783576339801,17.2432847320398,FAIL
12,mismatched,1000000,250000,250000,1.58758047971965e-07,6.1213439650729e-07,6.1213439650729e-07,9.42578088833527e-05,0.0468463607191909,9.75359194803376e-05,2.46408051966244,0.0476447909659794,4.71041806804118,PASS
13,mismatched,1000000,1000000,1000000,1.58758047971965e-07,1.58758047971965e-07,1.58758047971965e-07,9.61666702971872e-05,0.0472023998518055,9.73762665882231e-05,2.6237334117769,0.0479720832160068,4.05583356798639,PASS
14,mismatched,2000000,250000,250000,7.95277666917653e-08,6.1213439650729e-07,6.1213439650729e-07,9.7455704792953e-05,0.0489898614459717,0.000100106215111864,0.106215111864216,0.0490195635354725,1.96087292905501,PASS
15,mismatched,2000000,1000000,1000000,7.95277666917653e-08,1.58758047971965e-07,1.58758047971965e-07,9.95116175576124e-05,0.0493507272424153,9.99408327831444e-05,0.0591672168556046,0.0493587827493997,1.28243450120069,PASS
