sensitivity_dimension,level,D,Rload_Ohm,fs_adc_Hz,afe_fc_v_Hz,voltage_delay_ns,C_information,ESR_information,CRLB_C,CRLB_ESR,empirical_variance_C,empirical_variance_ESR,RMSE_C,RMSE_ESR,rmse_to_crlb_C,rmse_to_crlb_ESR,C_MAPE_mean_percent,ESR_MAPE_mean_percent
load,25%,0.4,40,5000000,2000000,0,23119.431125637,8474407.30165493,4.32536594246519e-13,1.18002352778667e-07,8.04265801801325e-13,2.13083312263404e-07,9.05079566976416e-07,0.000462527050665865,1.37618028605594,1.34645487802376,0.669318544282178,0.639729300956752
load,50%,0.4,20,5000000,2000000,0,73338.8135534722,62191764.0406803,1.36353446633124e-13,1.607929949287e-08,6.06119719011793e-13,5.79500374345183e-08,8.15351806866942e-07,0.000293172477634842,2.20806563081036,2.31200961084207,0.606438921683362,0.459051241067854
load,100%,0.4,10,5000000,2000000,0,264279.550208682,359191456.865276,3.78387203705461e-14,2.7840305800343e-09,1.98010827293366e-13,1.60235055564412e-08,4.54536074323916e-07,0.000126595068873943,2.33668481484475,2.39927367397779,0.353037185464731,0.19247272448908
duty,D=.30,0.3,10,5000000,2000000,0,68009.1841204493,96124818.958002,1.4703896435942e-13,1.04031405295745e-08,3.29966564102303e-13,2.65486871209925e-08,6.03978429371078e-07,0.000172329407652532,1.57508940726151,1.68957378555404,0.474769262305075,0.295785947775927
duty,D=.40,0.4,10,5000000,2000000,0,264276.183541898,360278014.637905,3.78392024055191e-14,2.77563425846299e-09,9.12434196245454e-14,1.91032718818459e-08,3.09665787640909e-07,0.000139914660148852,1.59192366808476,2.65571888771546,0.261093437584918,0.227397049074702
duty,D=.60,0.6,7.5,5000000,2000000,0,4791862.78142589,9039164124.33782,2.08687110965735e-15,1.10629698304461e-10,9.36948178227394e-15,4.61420158930708e-10,9.74841685732266e-08,2.22618606552961e-05,2.13396002005921,2.11653568931137,0.0720378228974694,0.0372625002613408
adc,1.6M,0.4,10,1600000,2000000,0,185492.556304152,159367285.415967,5.39105191024647e-14,6.27481353773381e-09,2.09284557849155e-13,2.2145788573435e-08,5.04649859536704e-07,0.000167011616030492,2.17346874784176,2.10836727122248,0.419787576657494,0.252344955901318
adc,2.5M,0.4,10,2500000,2000000,0,221745.180323102,152616560.893687,4.50968088029202e-14,6.55236885266078e-09,1.66947231138295e-13,6.12530813466133e-08,4.08601377054191e-07,0.000248660434728665,1.92409681415694,3.07190315504407,0.324414533642175,0.41029808466849
adc,5M,0.4,10,5000000,2000000,0,264275.912024355,360443925.860593,3.78392412815831e-14,2.77435664261066e-09,1.6868800973876e-13,2.60437671744908e-08,4.41819284724482e-07,0.000172107399651035,2.27129454764746,3.26752108395725,0.381075714431469,0.282751376050885
afe,1.5M,0.4,10,5000000,1500000,0,264271.665438094,332901724.933696,3.78398493210485e-14,3.00388951183467e-09,2.02575817849681e-13,1.02961325814439e-08,4.86468262135881e-06,0.000143309958495992,25.0080490433415,2.61477541517422,4.84381679966333,0.236406080758866
afe,2M,0.4,10,5000000,2000000,0,264276.711842239,360645572.945144,3.78391267633508e-14,2.77280542177099e-09,1.78921752979022e-13,1.14563358099462e-08,4.2300705173186e-07,0.000115784404210941,2.17458833803458,2.19882349046013,0.360286990490443,0.196854230430076
afe,3M,0.4,10,5000000,3000000,0,264272.658013766,359104635.740101,3.78397071992181e-14,2.7847036781885e-09,2.20074377984338e-13,2.51063790812121e-08,4.9782397641332e-07,0.000537874983685047,2.55918643943949,10.1927612511077,0.424622929401906,1.02801385008759
timing,0ns,0.4,10,5000000,2000000,0,264277.433185193,359445589.127647,3.78390234817835e-14,2.78206223764476e-09,1.22514204501926e-13,1.0247460325756e-08,3.73718999684849e-07,0.000101277599876526,1.9212116776775,1.92012711259189,0.318738052363452,0.156563370830927
timing,100ns,0.4,10,5000000,2000000,100,264280.735350365,355863836.405902,3.78385506864233e-14,2.81006356279313e-09,2.10805042747093e-13,1.22748683970746e-08,2.53742037316099e-06,0.000967872234359083,13.0444320795959,18.2582840598514,2.49553543500897,1.92302032609764
timing,200ns,0.4,10,5000000,2000000,200,264263.621185412,302789392.75373,3.78410011758063e-14,3.30262560027437e-09,5.23527684044401e-13,9.12722016523301e-09,7.70972057791064e-06,0.00124485333832354,39.6330348510985,21.661499488542,7.67569304398075,2.48236388450205
