test_id,fs_adc_Hz,adc_interval_s,adc_bits,sample_phase,window_requested_us,window_actual_us,points_available_pre,points_available_post,sampling_geometry_feasible,afe_order,afe_fc_v_Hz,afe_fc_i1_Hz,afe_fc_i2_Hz,attenuation_v_at_fsw_dB,group_delay_v_at_fsw_s,group_delay_v_edge_band_s,attenuation_i_at_fsw_dB,group_delay_i_at_fsw_s,group_delay_i_edge_band_s,alias_ratio_dB,C_MAPE_percent,ESR_MAPE_percent,NIS_V_mean,NIS_C_mean,NIS_R_mean,edge_predicted_variance_V2,voltage_saturation_fraction,current_saturation_fraction,accuracy_geometry_pass,robust_alias_pass,perturbation
1,400000,2.5e-06,14,0.13,2,0,0,0,0,1,250000,250000,250000,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-22.5752133841302,7.10946808091601,20,379.028215077023,0.470478465323476,NaN,NaN,0,0,0,0,nominal_fsw
2,400000,2.5e-06,14,0.67,2,0,0,0,0,1,250000,250000,250000,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-22.5752133841302,6.72504300821661,20,380.091373523311,0.363454190546962,NaN,NaN,0,0,0,0,nominal_fsw
3,400000,2.5e-06,14,0.13,2,0,0,0,0,2,250000,250000,250000,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-23.5993583844715,4.02531676947653,20,333.40077281451,0.466715462219082,NaN,NaN,0,0,0,0,nominal_fsw
4,400000,2.5e-06,14,0.67,2,0,0,0,0,2,250000,250000,250000,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-23.5993583844715,5.18194086318258,20,336.753714980299,0.480727923567021,NaN,NaN,0,0,0,0,nominal_fsw
5,400000,2.5e-06,14,0.13,2,0,0,0,0,1,250000,500000,500000,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-0.0432137378264256,3.1515830311229e-07,2.54647908913008e-07,-22.5752133841302,7.74772182501465,20,414.333100387078,0.41722553721643,NaN,NaN,0,0,0,0,nominal_fsw
6,400000,2.5e-06,14,0.67,2,0,0,0,0,1,250000,500000,500000,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-0.0432137378264256,3.1515830311229e-07,2.54647908913008e-07,-22.5752133841302,7.14690782792191,20,412.980720046838,0.51309532561766,NaN,NaN,0,0,0,0,nominal_fsw
7,400000,2.5e-06,14,0.13,2,0,0,0,0,2,250000,500000,500000,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-0.000434272768624432,4.5461427828784e-07,5.29597832694518e-07,-23.5993583844715,5.83660010491213,20,391.873930955203,0.525413292812507,NaN,NaN,0,0,0,0,nominal_fsw
8,400000,2.5e-06,14,0.67,2,0,0,0,0,2,250000,500000,500000,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-0.000434272768624432,4.5461427828784e-07,5.29597832694518e-07,-23.5993583844715,5.65329333383518,20,390.060554647757,0.487375865274174,NaN,NaN,0,0,0,0,nominal_fsw
9,400000,2.5e-06,14,0.13,2,0,0,0,0,1,250000,1000000,1000000,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-0.0108438129222004,1.58758047966712e-07,1.49792887593424e-07,-22.5752133841302,8.04340931452576,20,435.205848773605,0.371836805170124,NaN,NaN,0,0,0,0,nominal_fsw
10,400000,2.5e-06,14,0.67,2,0,0,0,0,1,250000,1000000,1000000,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-0.0108438129222004,1.58758047966712e-07,1.49792887593424e-07,-22.5752133841302,7.17355469935357,20,428.964995870458,0.386356984431669,NaN,NaN,0,0,0,0,nominal_fsw
11,400000,2.5e-06,14,0.13,2,0,0,0,0,2,250000,1000000,1000000,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-2.71433202967853e-05,2.25640366491931e-07,2.38215990294049e-07,-23.5993583844715,6.27598696006202,20,416.317206276718,0.532485893662967,NaN,NaN,0,0,0,0,nominal_fsw
12,400000,2.5e-06,14,0.67,2,0,0,0,0,2,250000,1000000,1000000,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-2.71433202967853e-05,2.25640366491931e-07,2.38215990294049e-07,-23.5993583844715,7.49522372318141,20,412.691055887415,0.533726708309559,NaN,NaN,0,0,0,0,nominal_fsw
13,400000,2.5e-06,14,0.13,2,0,0,0,0,1,250000,2000000,2000000,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-0.00271349263374914,7.95277666910522e-08,7.83532027490969e-08,-22.5752133841302,7.67382923781768,20,442.441993091908,0.494286968392748,NaN,NaN,0,0,0,0,nominal_fsw
14,400000,2.5e-06,14,0.67,2,0,0,0,0,1,250000,2000000,2000000,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-0.00271349263374914,7.95277666910522e-08,7.83532027490969e-08,-22.5752133841302,8.52518553804753,20,444.87645134087,0.42796475937998,NaN,NaN,0,0,0,0,nominal_fsw
15,400000,2.5e-06,14,0.13,2,0,0,0,0,2,250000,2000000,2000000,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-1.69646248855021e-06,1.12609832744504e-07,1.14270071863055e-07,-23.5993583844715,7.11572655749939,20,429.650373917905,0.606787063804635,NaN,NaN,0,0,0,0,nominal_fsw
16,400000,2.5e-06,14,0.67,2,0,0,0,0,2,250000,2000000,2000000,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-1.69646248855021e-06,1.12609832744504e-07,1.14270071863055e-07,-23.5993583844715,7.90731219454579,20,434.537327609321,0.558496643127193,NaN,NaN,0,0,0,0,nominal_fsw
17,400000,2.5e-06,14,0.13,2,0,0,0,0,1,500000,250000,250000,-0.0432137378264256,3.1515830311229e-07,2.54647908913008e-07,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-19.9423275201068,3.88890712457863,20,306.688164403369,0.528477625969164,NaN,NaN,0,0,0,0,nominal_fsw
18,400000,2.5e-06,14,0.67,2,0,0,0,0,1,500000,250000,250000,-0.0432137378264256,3.1515830311229e-07,2.54647908913008e-07,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-19.9423275201068,3.53338859568963,20,311.491734007253,0.439434455145776,NaN,NaN,0,0,0,0,nominal_fsw
19,400000,2.5e-06,14,0.13,2,0,0,0,0,2,500000,250000,250000,-0.000434272768624432,4.5461427828784e-07,5.29597832694518e-07,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-19.7017837587227,7.52955764018293,20,259.945895343601,0.444655949466262,NaN,NaN,0,0,0,0,nominal_fsw
