operating_case,ESL_nH,jitter_rms_ns,delay_95_percent_boundary_ns
high_D_CCM,1,0,200
high_D_CCM,1,20,200
high_D_CCM,1,50,200
high_D_CCM,10,0,200
high_D_CCM,10,20,200
high_D_CCM,10,50,200
high_D_CCM,20,0,200
high_D_CCM,20,20,200
high_D_CCM,20,50,200
high_load,1,0,100
high_load,1,20,100
high_load,1,50,100
high_load,10,0,200
high_load,10,20,100
high_load,10,50,100
high_load,20,0,100
high_load,20,20,100
high_load,20,50,100
low_CCM_margin,1,0,50
low_CCM_margin,1,20,50
low_CCM_margin,1,50,50
low_CCM_margin,10,0,100
low_CCM_margin,10,20,100
low_CCM_margin,10,50,50
low_CCM_margin,20,0,50
low_CCM_margin,20,20,50
low_CCM_margin,20,50,50
nominal,1,0,100
nominal,1,20,100
nominal,1,50,100
nominal,10,0,100
nominal,10,20,100
nominal,10,50,100
nominal,20,0,100
nominal,20,20,100
nominal,20,50,100
