test_id,fs_adc_Hz,adc_interval_s,edge_guard_us,edge_window_us,edge_points_per_side,minimum_points_observed,phase_feasible_fraction,phase95_feasible,simulation_bias_Ohm,simulation_bias2_Ohm2,edge_predicted_variance_Ohm2,edge_empirical_variance_Ohm2,esr_predicted_sigma_Ohm,esr_empirical_sigma_Ohm,esr_actual_RMSE_Ohm,edge_fit_rmse_V,monte_carlo_seeds,status
1,800000,1.25e-06,0.5,1,3,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
2,800000,1.25e-06,0.5,1,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
3,800000,1.25e-06,1,1,3,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
4,800000,1.25e-06,1,1,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
5,800000,1.25e-06,0.5,1.5,3,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
6,800000,1.25e-06,0.5,1.5,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
7,800000,1.25e-06,1,1.5,3,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
8,800000,1.25e-06,1,1.5,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
9,800000,1.25e-06,0.5,2,3,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
10,800000,1.25e-06,0.5,2,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
11,800000,1.25e-06,1,2,3,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
12,800000,1.25e-06,1,2,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
13,800000,1.25e-06,0.5,2.5,3,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
14,800000,1.25e-06,0.5,2.5,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
15,800000,1.25e-06,1,2.5,3,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
16,800000,1.25e-06,1,2.5,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
17,800000,1.25e-06,0.5,3,3,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
18,800000,1.25e-06,0.5,3,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
19,800000,1.25e-06,1,3,3,3,0,0,-0.000159599670548682,2.5472054839248e-08,3.02167022378064e-06,2.864422409663e-06,0.00173829520616627,0.00169246046029531,0.0016938524619073,0.000150726971107658,12,VALID
20,800000,1.25e-06,1,3,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
21,800000,1.25e-06,0.5,5,3,4,1,1,-0.000240208695827415,5.77002175511077e-08,1.94196927718225e-06,1.86329479687742e-06,0.00139354557771974,0.00136502556638234,0.00137847965627395,0.00031974157903636,12,VALID
22,800000,1.25e-06,0.5,5,4,4,1,1,-0.000240208695827415,5.77002175511077e-08,1.94196927718225e-06,1.86329479687742e-06,0.00139354557771974,0.00136502556638234,0.00137847965627395,0.00031974157903636,12,VALID
23,800000,1.25e-06,1,5,3,4,1,1,-0.000240208695827415,5.77002175511077e-08,1.94196927718225e-06,1.86329479687742e-06,0.00139354557771974,0.00136502556638234,0.00137847965627395,0.00031974157903636,12,VALID
24,800000,1.25e-06,1,5,4,4,1,1,-0.000240208695827415,5.77002175511077e-08,1.94196927718225e-06,1.86329479687742e-06,0.00139354557771974,0.00136502556638234,0.00137847965627395,0.00031974157903636,12,VALID
25,800000,1.25e-06,0.5,6,3,5,1,1,-0.000337200822035769,1.13704394381598e-07,1.42383942673766e-06,1.3986525727073e-06,0.00119324742896755,0.00118264642759673,0.00121713964845245,0.000534437360621202,12,VALID
26,800000,1.25e-06,0.5,6,4,5,1,1,-0.000337200822035769,1.13704394381598e-07,1.42383942673766e-06,1.3986525727073e-06,0.00119324742896755,0.00118264642759673,0.00121713964845245,0.000534437360621202,12,VALID
27,800000,1.25e-06,1,6,3,5,1,1,-0.000337200822035769,1.13704394381598e-07,1.42383942673766e-06,1.3986525727073e-06,0.00119324742896755,0.00118264642759673,0.00121713964845245,0.000534437360621202,12,VALID
28,800000,1.25e-06,1,6,4,5,1,1,-0.000337200822035769,1.13704394381598e-07,1.42383942673766e-06,1.3986525727073e-06,0.00119324742896755,0.00118264642759673,0.00121713964845245,0.000534437360621202,12,VALID
29,1600000,6.25e-07,0.5,1,3,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
30,1600000,6.25e-07,0.5,1,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
31,1600000,6.25e-07,1,1,3,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
32,1600000,6.25e-07,1,1,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
33,1600000,6.25e-07,0.5,1.5,3,3,0.203125,0,-4.05706082475116e-05,1.64597425357305e-09,3.02143934434416e-06,2.90535974615555e-06,0.00173822879516598,0.00170451158580854,0.00170360746065262,3.77626795410583e-05,12,VALID
34,1600000,6.25e-07,0.5,1.5,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
35,1600000,6.25e-07,1,1.5,3,3,0,0,-9.88718840443242e-05,9.7756494544743e-09,5.97881324244977e-06,5.2110141056978e-06,0.0024451611894617,0.00228276457518023,0.0022833195974297,3.71965693299761e-05,12,VALID
36,1600000,6.25e-07,1,1.5,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
37,1600000,6.25e-07,0.5,2,3,3,1,1,-5.99604995018196e-05,3.59526150050771e-09,2.05109683437125e-06,1.97132274868397e-06,0.00143216508628414,0.00140403801539843,0.0014034818217178,7.95085571242207e-05,12,VALID
38,1600000,6.25e-07,0.5,2,4,4,0,0,-6.01316460387066e-05,3.6158148553243e-09,1.95848136765897e-06,1.81665553328495e-06,0.00139945752620756,0.00134783364451439,0.00134668178865491,7.97845566828603e-05,12,VALID
39,1600000,6.25e-07,1,2,3,3,1,1,-0.000100657699342963,1.01319724370182e-08,6.26698888942678e-06,6.05152187216534e-06,0.00250339547203928,0.00245998412030756,0.00245838057785006,3.77626795396876e-05,12,VALID
40,1600000,6.25e-07,1,2,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,INFEASIBLE
41,1600000,6.25e-07,0.5,2.5,3,4,1,1,-6.01089536915317e-05,3.6130863138907e-09,1.94290533633314e-06,1.84622165722585e-06,0.00139388139249118,0.00135875739454321,0.00135862100702329,7.97873397349226e-05,12,VALID
42,1600000,6.25e-07,0.5,2.5,4,4,1,1,-6.01089536915317e-05,3.6130863138907e-09,1.94290533633314e-06,1.84622165722585e-06,0.00139388139249118,0.00135875739454321,0.00135862100702329,7.97873397349226e-05,12,VALID
43,1600000,6.25e-07,1,2.5,3,4,1,1,-0.000132880258256619,1.76571630343459e-08,3.49581287965508e-06,3.68574209563226e-06,0.00186970930351621,0.00191982866309269,0.00191855277131867,8.01122838645844e-05,12,VALID
44,1600000,6.25e-07,1,2.5,4,4,1,1,-0.000132880258256619,1.76571630343459e-08,3.49581287965508e-06,3.68574209563226e-06,0.00186970930351621,0.00191982866309269,0.00191855277131867,8.01122838645844e-05,12,VALID
45,1600000,6.25e-07,0.5,3,3,5,1,1,-8.43014072094347e-05,7.10672725749094e-09,1.42525220192784e-06,1.42881020656079e-06,0.00119383926972095,0.00119532849316027,0.00119502197085166,0.000133725788215094,12,VALID
46,1600000,6.25e-07,0.5,3,4,5,1,1,-8.43014072094347e-05,7.10672725749094e-09,1.42525220192784e-06,1.42881020656079e-06,0.00119383926972095,0.00119532849316027,0.00119502197085166,0.000133725788215094,12,VALID
47,1600000,6.25e-07,1,3,3,5,1,1,-0.000167646626680763,2.81053914374392e-08,2.33208068266317e-06,2.49147591201249e-06,0.00152711515042683,0.00157844097514367,0.00157765188364792,0.00013372047467898,12,VALID
