test_id,ESL_nH,requested_load_fraction,actual_load_fraction,D,Rload_Ohm,CCM,ring_identifiable,ring_freq_Hz,ring_zeta,ring_overshoot_V,ring_settle_s,first_peak_s,edge_slope_V_per_s,edge_ESR_raw_Ohm,edge_extrapolation_bias_percent,fit_lambda_per_us,fit_w_rad_per_us,fit_A_V,fit_B_V,averaged_edge_count
1,1,0.25,0.625,0.3,16,1,0,NaN,1,0.0827861316436369,NaN,0,363126.549517716,0.0494906934522568,-1.01861309548644,0.405746676919472,NaN,-0.00202696286520095,0,20
2,5,0.25,0.625,0.3,16,1,0,NaN,1,0.0827861316436369,NaN,0,363126.549517716,0.0494906934522568,-1.01861309548644,0.405746676919472,NaN,-0.00202696286520095,0,20
3,10,0.25,0.625,0.3,16,1,0,NaN,1,0.0827861316436369,NaN,0,363126.549517716,0.0494906934522568,-1.01861309548644,0.405746676919472,NaN,-0.00202696286520095,0,20
4,20,0.25,0.625,0.3,16,1,0,NaN,1,0.0827861316436369,NaN,0,363126.549517716,0.0494906934522568,-1.01861309548644,0.405746676919472,NaN,-0.00202696286520095,0,20
5,50,0.25,0.625,0.3,16,1,0,NaN,1,0.0827861316436369,NaN,0,363126.549517716,0.0494906934522568,-1.01861309548644,0.405746676919472,NaN,-0.00202696286520095,0,20
6,1,0.5,0.625,0.3,16,1,0,NaN,1,0.0827861316436369,NaN,0,363126.549517716,0.0494906934522568,-1.01861309548644,0.405746676919472,NaN,-0.00202696286520095,0,20
7,5,0.5,0.625,0.3,16,1,0,NaN,1,0.0827861316436369,NaN,0,363126.549517716,0.0494906934522568,-1.01861309548644,0.405746676919472,NaN,-0.00202696286520095,0,20
8,10,0.5,0.625,0.3,16,1,0,NaN,1,0.0827861316436369,NaN,0,363126.549517716,0.0494906934522568,-1.01861309548644,0.405746676919472,NaN,-0.00202696286520095,0,20
9,20,0.5,0.625,0.3,16,1,0,NaN,1,0.0827861316436369,NaN,0,363126.549517716,0.0494906934522568,-1.01861309548644,0.405746676919472,NaN,-0.00202696286520095,0,20
10,50,0.5,0.625,0.3,16,1,0,NaN,1,0.0827861316436369,NaN,0,363126.549517716,0.0494906934522568,-1.01861309548644,0.405746676919472,NaN,-0.00202696286520095,0,20
11,1,1,1,0.3,10,1,0,NaN,1,0.0827437952878824,NaN,0,833630.475972171,0.0498222342531789,-0.355531493642203,0.40570619733741,NaN,-0.00213946830154205,0,20
12,5,1,1,0.3,10,1,0,NaN,1,0.0827437952878824,NaN,0,833630.475972171,0.0498222342531789,-0.355531493642203,0.40570619733741,NaN,-0.00213946830154205,0,20
13,10,1,1,0.3,10,1,0,NaN,1,0.0827437952878824,NaN,0,833630.475972171,0.0498222342531789,-0.355531493642203,0.40570619733741,NaN,-0.00213946830154205,0,20
14,20,1,1,0.3,10,1,0,NaN,1,0.0827437952878824,NaN,0,833630.475972171,0.0498222342531789,-0.355531493642203,0.40570619733741,NaN,-0.00213946830154205,0,20
15,50,1,1,0.3,10,1,0,NaN,1,0.0827437952878824,NaN,0,833630.475972171,0.0498222342531789,-0.355531493642203,0.40570619733741,NaN,-0.00213946830154205,0,20
16,1,0.25,0.375,0.4,26.6666666666667,1,0,NaN,1,0.104676625746798,NaN,0,333625.531203268,0.0497338030241144,-0.532393951771115,0.405584782820447,NaN,-0.00232262369516429,0,20
17,5,0.25,0.375,0.4,26.6666666666667,1,0,NaN,1,0.104676625746798,NaN,0,333625.531203268,0.0497338030241144,-0.532393951771115,0.405584782820447,NaN,-0.00232262369516429,0,20
18,10,0.25,0.375,0.4,26.6666666666667,1,0,NaN,1,0.104676625746798,NaN,0,333625.531203268,0.0497338030241144,-0.532393951771115,0.405584782820447,NaN,-0.00232262369516429,0,20
19,20,0.25,0.375,0.4,26.6666666666667,1,0,NaN,1,0.104676625746798,NaN,0,333625.531203268,0.0497338030241144,-0.532393951771115,0.405584782820447,NaN,-0.00232262369516429,0,20
20,50,0.25,0.375,0.4,26.6666666666667,1,0,NaN,1,0.104676625746798,NaN,0,333625.531203268,0.0497338030241144,-0.532393951771115,0.405584782820447,NaN,-0.00232262369516429,0,20
21,1,0.5,0.5,0.4,20,1,0,NaN,1,0.104406427343797,NaN,0,614950.3896998,0.04989124790131,-0.217504197380003,0.405584782820447,NaN,-0.00236944573446836,0,20
22,5,0.5,0.5,0.4,20,1,0,NaN,1,0.104406427343797,NaN,0,614950.3896998,0.04989124790131,-0.217504197380003,0.405584782820447,NaN,-0.00236944573446836,0,20
23,10,0.5,0.5,0.4,20,1,0,NaN,1,0.104406427343797,NaN,0,614950.3896998,0.04989124790131,-0.217504197380003,0.405584782820447,NaN,-0.00236944573446836,0,20
24,20,0.5,0.5,0.4,20,1,0,NaN,1,0.104406427343797,NaN,0,614950.3896998,0.04989124790131,-0.217504197380003,0.405584782820447,NaN,-0.00236944573446836,0,20
