metric,value,unit,status
decision,F28379D_INTERNAL_ADC_CONFIRMED_WITH_AFE_CONSTRAINTS,enum,PASS
actual_sustainable_samples_per_s,1092896.1749,sample/s/module,PASS
selected_guard_us,0.5,us,PASS
selected_window_us,2.2,us,PASS
points_per_side,3,count,PASS
ACQPS,63,register,PASS
full_aperture_span_us,2.15,us,PASS
full_aperture_margin_us,0.05,us,PASS
EPWMCLK_Hz,100000000,Hz,PASS
TBPRD,1999,register,PASS
per_ADC_utilization_percent,45.75,percent,PASS
DMA_throughput_MB_s,4,MB/s,PASS
worst_p95_C_error_percent,1.6425,percent,PASS
worst_p95_ESR_error_percent,2.6109,percent,PASS
minimum_case_pass_fraction,1,fraction,PASS
minimum_C_CI95_coverage,0.935,fraction,PASS
minimum_ESR_CI95_coverage,0.98,fraction,PASS
all_gates_pass,true,boolean,PASS
