vrefNoiseUvRms,vrefDriftPpmC,ENOB,quantizationNoiseUvRms,fortyCDifferentialDriftPercent,combinedNoiseUvRms,accuracyRisk,clockSource
1,5,12.5,249.174981972573,0.02,249.17698858649,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
5,5,12.5,249.174981972573,0.02,249.225142473692,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
10,5,12.5,249.174981972573,0.02,249.375563440029,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
20,5,12.5,249.174981972573,0.02,249.976342162677,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
50,5,12.5,249.174981972573,0.02,254.142030449573,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
1,10,12.5,249.174981972573,0.04,249.17698858649,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
5,10,12.5,249.174981972573,0.04,249.225142473692,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
10,10,12.5,249.174981972573,0.04,249.375563440029,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
20,10,12.5,249.174981972573,0.04,249.976342162677,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
50,10,12.5,249.174981972573,0.04,254.142030449573,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
1,25,12.5,249.174981972573,0.1,249.17698858649,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
5,25,12.5,249.174981972573,0.1,249.225142473692,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
10,25,12.5,249.174981972573,0.1,249.375563440029,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
20,25,12.5,249.174981972573,0.1,249.976342162677,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
50,25,12.5,249.174981972573,0.1,254.142030449573,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
1,50,12.5,249.174981972573,0.2,249.17698858649,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
5,50,12.5,249.174981972573,0.2,249.225142473692,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
10,50,12.5,249.174981972573,0.2,249.375563440029,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
20,50,12.5,249.174981972573,0.2,249.976342162677,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
50,50,12.5,249.174981972573,0.2,254.142030449573,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
1,5,13,176.193319454842,0.02,176.196157224032,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
