test_id,model_type,Vin,D,load_percent,fs_Hz,C_true_F,ESR_true_Ohm,noise_SNR_dB,adc_bits,samples_per_cycle,sync_error_s,ESL_H,method,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,convergence_time_s,rank_Phi,cond_Phi,rank_Obs,cond_Obs,min_singular_Obs,status,notes
IDEAL_RLS,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,0.0001,0.000356969190484779,0.05,0.120262239642899,0.0011,2,1.00036398146267,NaN,NaN,NaN,PASS,Ideal switched equations
IDEAL_KF,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF,0.0001,0.0234211256465389,0.05,1.00227928006597,0.000123,2,1.00036398146267,NaN,NaN,NaN,PASS,Ideal switched equations
MODELB_RLS,Model_B_Simscape,24,0.4,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,0.0001,0.000634682577071999,0.05,0.905978099847793,NaN,2,NaN,NaN,NaN,NaN,PASS,Independent Simscape circuit
MODELB_KF,Model_B_Simscape,24,0.4,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF,0.0001,0.000614399839404811,0.05,1.0254178303986,NaN,2,NaN,NaN,NaN,NaN,PASS,Independent Simscape circuit
OP_1_DCM,Model_A,19.2,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,not_evaluated,NaN,NaN,NaN,NaN,NaN,2,1.08400610482769,NaN,NaN,NaN,EXCLUDED_DCM,Estimator claims scoped to CCM; load fraction=0.1
OP_2_DCM,Model_A,19.2,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,not_evaluated,NaN,NaN,NaN,NaN,NaN,2,1.04436412710313,NaN,NaN,NaN,EXCLUDED_DCM,Estimator claims scoped to CCM; load fraction=0.25
OP_3_DCM,Model_A,19.2,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,not_evaluated,NaN,NaN,NaN,NaN,NaN,2,1.01781886186303,NaN,NaN,NaN,EXCLUDED_DCM,Estimator claims scoped to CCM; load fraction=0.5
OP_4_1,Model_A,19.2,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.144511042101614,NaN,11.4906721901719,NaN,2,1.00874401658812,3,13985.6946119509,0.000232004815513997,FAIL,CCM operating sweep; load fraction=0.75
OP_4_2,Model_A,19.2,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.193207003188178,NaN,1.01368031542411,5.00000000000023e-06,2,1.00874401658812,3,13985.6946119509,0.000232004815513997,PASS,CCM operating sweep; load fraction=0.75
OP_5_1,Model_A,19.2,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.0735351695247521,NaN,7.72898185914955,NaN,2,1.00493141946422,3,14261.7464391539,0.000231005163909466,FAIL,CCM operating sweep; load fraction=1
OP_5_2,Model_A,19.2,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.149123334358925,NaN,1.01320071856199,5.00000000000023e-06,2,1.00493141946422,3,14261.7464391539,0.000231005163909466,PASS,CCM operating sweep; load fraction=1
OP_6_DCM,Model_A,19.2,0.35,100,50000,0.0001,0.05,NaN,NaN,200,0,0,not_evaluated,NaN,NaN,NaN,NaN,NaN,2,1.10382164449424,NaN,NaN,NaN,EXCLUDED_DCM,Estimator claims scoped to CCM; load fraction=0.1
OP_7_DCM,Model_A,19.2,0.35,100,50000,0.0001,0.05,NaN,NaN,200,0,0,not_evaluated,NaN,NaN,NaN,NaN,NaN,2,1.04040574076116,NaN,NaN,NaN,EXCLUDED_DCM,Estimator claims scoped to CCM; load fraction=0.25
OP_8_1,Model_A,19.2,0.35,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.0177471137108975,NaN,6.85594081898039,NaN,2,1.01350662051344,3,9298.95487736202,0.000374086925543891,FAIL,CCM operating sweep; load fraction=0.5
OP_8_2,Model_A,19.2,0.35,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.0862190340682134,NaN,1.02095813345404,7.10000000000034e-06,2,1.01350662051344,3,9298.95487736202,0.000374086925543891,PASS,CCM operating sweep; load fraction=0.5
OP_9_1,Model_A,19.2,0.35,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.0028430128432011,NaN,3.90431028856337,NaN,2,1.00619415995343,3,10018.9279551228,0.000367546634508128,PASS,CCM operating sweep; load fraction=0.75
OP_9_2,Model_A,19.2,0.35,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.0631006866784523,NaN,1.02555369399816,7.10000000000034e-06,2,1.00619415995343,3,10018.9279551228,0.000367546634508128,PASS,CCM operating sweep; load fraction=0.75
OP_10_1,Model_A,19.2,0.35,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.00492901477959773,NaN,2.464672072707,NaN,2,1.00341187600222,3,10966.5877289394,0.000357269394041355,PASS,CCM operating sweep; load fraction=1
OP_10_2,Model_A,19.2,0.35,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.0500122293953242,NaN,1.02922508338017,4.67000000000002e-05,2,1.00341187600222,3,10966.5877289394,0.000357269394041355,PASS,CCM operating sweep; load fraction=1
