cycle,time_s,C_OFF_F,C_ON_F,C_true_F,ESR_true_Ohm
1,0.006,0.000100001727853127,9.99975942913623e-05,0.0001,0.05
2,0.00602,0.000100001726658999,9.99975962448988e-05,0.0001,0.05
3,0.00604,0.000100001725424066,9.99975984796331e-05,0.0001,0.05
4,0.00606,0.000100001724145068,9.99976009884695e-05,0.0001,0.05
5,0.00608,0.00010000172281832,9.99976037633621e-05,0.0001,0.05
6,0.0061,0.000100001721439969,9.99976067955003e-05,0.0001,0.05
7,0.00612,0.000100001720005683,9.99976100752108e-05,0.0001,0.05
8,0.00614,0.000100001718511201,9.99976135922279e-05,0.0001,0.05
9,0.00616,0.000100001716951759,9.99976173353797e-05,0.0001,0.05
10,0.00618,0.000100001715322597,9.99976212931806e-05,0.0001,0.05
11,0.0062,0.000100001713618863,9.99976254533648e-05,0.0001,0.05
12,0.00622,0.000100001711835685,9.99976298033328e-05,0.0001,0.05
13,0.00624,0.000100001709968128,9.99976343300851e-05,0.0001,0.05
14,0.00626,0.000100001708011316,9.99976390201632e-05,0.0001,0.05
15,0.00628,0.000100001705960445,9.99976438599113e-05,0.0001,0.05
16,0.0063,0.000100001703810937,9.99976488355463e-05,0.0001,0.05
17,0.00632,0.000100001701558276,9.99976539330338e-05,0.0001,0.05
18,0.00634,0.000100001699198296,9.99976591382515e-05,0.0001,0.05
19,0.00636,0.000100001696726998,9.9997664437212e-05,0.0001,0.05
20,0.00638,0.000100001694140898,9.99976698157466e-05,0.0001,0.05
21,0.0064,0.0001000016914366,9.99976752600025e-05,0.0001,0.05
22,0.00642,0.000100001688611365,9.9997680756126e-05,0.0001,0.05
23,0.00644,0.000100001685662739,9.99976862905789e-05,0.0001,0.05
24,0.00646,0.000100001682588803,9.9997691850012e-05,0.0001,0.05
25,0.00648,0.000100001679388155,9.99976974213946e-05,0.0001,0.05
26,0.0065,0.000100001676059964,9.99977029920898e-05,0.0001,0.05
