scenario,method,C_initial_F,C_final_F,ESR_initial_Ohm,ESR_final_Ohm,C_tracking_10_90_s,C_overshoot_percent,C_settled_bias_percent,ESR_tracking_10_90_s,ESR_overshoot_percent,ESR_settled_bias_percent,false_C_peak_percent,false_ESR_peak_percent
C_90,RLS,0.0001,9e-05,0.05,0.05,0.0020519,0,0.00226861885772589,NaN,NaN,-1.11906181627975,NaN,1.12046686550817
C_90,TS_LTVKF,0.0001,9e-05,0.05,0.05,0.000589500000000001,0.317568581758643,-0.0285796195254373,NaN,NaN,-1.11494686258955,NaN,2.88728167712269
C_80,RLS,0.0001,8e-05,0.05,0.05,0.00196,0,0.00376840862372774,NaN,NaN,-1.25885047160452,NaN,1.26043160269603
C_80,TS_LTVKF,0.0001,8e-05,0.05,0.05,0.0005635,0.138436616482007,-0.0284316044035449,NaN,NaN,-1.25428869351248,NaN,7.68239240654749
ESR_150,RLS,0.0001,0.0001,0.05,0.075,NaN,NaN,0.000896390266857949,0.002328,0,-0.676167497871549,0.0818402501221116,NaN
ESR_150,TS_LTVKF,0.0001,0.0001,0.05,0.075,NaN,NaN,-0.0288775987145828,7.12000000000004e-05,0,-0.66892921643541,1.53720772317814,NaN
ESR_200,RLS,0.0001,0.0001,0.05,0.1,NaN,NaN,0.00103163486557811,0.0022401,0,-0.510642159697139,0.16200341692616,NaN
ESR_200,TS_LTVKF,0.0001,0.0001,0.05,0.1,NaN,NaN,-0.0288669387114582,0.000132,0,-0.501674640194671,2.95471975021873,NaN
Joint_85_175,RLS,0.0001,8.5e-05,0.05,0.0875,0.002028,0,0.00321298065275588,0.0023,0,-0.683059255886331,NaN,NaN
Joint_85_175,TS_LTVKF,0.0001,8.5e-05,0.05,0.0875,0.0030981,0.184567928380508,-0.0285235410337981,0,0,-0.674535943961529,NaN,NaN
