ESL_H,method,ESR_true_Ohm,ESR_est_mean_Ohm,ESR_est_median_Ohm,ESR_est_std_Ohm,ESR_MAPE_percent,ESR_AE95_percent,valid_edges
0,naive_peak,0.05,0.0517708943230498,0.051803255687663,5.89608932607253e-05,3.54178864609951,3.66961673288714,120
0,safe_window,0.05,0.0574241990807725,0.0575175566242794,0.0002037782776182,14.848398161545,15.2618509269717,120
0,linear_extrapolation,0.05,0.049761753235344,0.0497607199111496,1.70464562560627e-05,0.476493529311922,0.524400242633788,120
5e-09,naive_peak,0.05,0.132042663308605,0.132042680640923,6.33167911537931e-06,164.085326617211,164.103187141701,120
5e-09,safe_window,0.05,0.0574588301241172,0.0575550944877299,0.000205464187596758,14.9176602482343,15.3316704014361,120
5e-09,linear_extrapolation,0.05,0.0496764323373623,0.0496752518286458,1.45942671970141e-05,0.647135325275454,0.687722111010741,120
1e-08,naive_peak,0.05,0.214472237764813,0.214470550384105,5.77895131969104e-06,328.944475529626,328.963131980951,120
1e-08,safe_window,0.05,0.0574934611674624,0.0575922660066239,0.000207161414292367,14.9869223349249,15.4014898759156,120
1e-08,linear_extrapolation,0.05,0.0495911114393812,0.0495897837461374,1.2147553239584e-05,0.817777121237523,0.851219720664509,120
2e-08,naive_peak,0.05,0.379331386677228,0.37933807177637,1.29206402958052e-05,658.662773354456,658.690171771241,120
2e-08,safe_window,0.05,0.0575627232541512,0.057662435874618,0.000210588721533232,15.1254465083025,15.5449389309954,120
2e-08,linear_extrapolation,0.05,0.0494204696434177,0.0494188475811252,7.2926148173227e-06,1.15906071316462,1.17787975504828,120
