snr_reference,noise_target,SNR_dB,method,C_MAPE_median_percent,C_MAPE_mean_percent,C_MAPE_p95_percent,ESR_MAPE_median_percent,ESR_MAPE_mean_percent,ESR_MAPE_p95_percent,failure_rate
full_signal_rms,vT,20,RLS,27.8343741584791,27.3959636025323,39.3891407320266,81.0022447797037,105.345602929801,224.893231860279,1
full_signal_rms,vT,20,TS_LTVKF,17.6007685873711,16.2866133095109,30.3489841343639,17.7134888036916,17.9526827918479,45.5298881467396,0.9
full_signal_rms,vT,30,RLS,23.8233822501576,21.6691700044172,41.8355274077607,53.0950823036279,62.9099612941192,176.218063475193,0.95
full_signal_rms,vT,30,TS_LTVKF,8.9089110627304,8.419867438937,15.6881300552987,6.66545491993176,6.4330229072783,17.1912271994066,0.4
full_signal_rms,vT,40,RLS,17.7237453661414,16.2759278938849,34.274352770205,22.1918237726966,27.6509887795202,66.8212950321774,0.85
full_signal_rms,vT,40,TS_LTVKF,4.91202900356365,4.73220559179745,7.1505996950391,2.08859980336754,2.26060506345635,6.24120466390728,0
full_signal_rms,vT,50,RLS,6.78202718163202,6.43972707022931,14.4187589721253,6.81338066253668,8.80824714917348,21.1498976474052,0.25
full_signal_rms,vT,50,TS_LTVKF,1.35431616960555,1.1411571663503,1.98381744458617,1.36393961696652,1.3740781999226,3.13054419059957,0
full_signal_rms,i1,20,RLS,0.240239442743679,0.241942351276563,0.529157841645367,1.49443116670398,1.55862359697651,1.93943489815635,0
full_signal_rms,i1,20,TS_LTVKF,0.052213748704738,0.0797498970153609,0.189601758665487,1.68583484047857,1.70234055782382,1.81649451017349,0
full_signal_rms,i1,30,RLS,0.0780849531918815,0.0770772430830164,0.170070527157695,1.28228250695487,1.29625654716021,1.42488070951308,0
full_signal_rms,i1,30,TS_LTVKF,0.0284901083412725,0.0347040813101174,0.0821962285454169,1.06239179868788,1.06632801692912,1.10506519475894,0
full_signal_rms,i1,40,RLS,0.0252317356443154,0.0248137522182729,0.0556970494983488,1.27054061948193,1.27563095576043,1.32179662508429,0
full_signal_rms,i1,40,TS_LTVKF,0.0282809666995787,0.0291289576155507,0.0461389084484398,1.00450052559616,1.00672090391647,1.0200654752552,0
full_signal_rms,i1,50,RLS,0.00793483486849489,0.0080058228342611,0.0183265124442056,1.27574991348986,1.27781426981971,1.29302303034858,0
