parameter_id,manuscript_symbol,value,unit,source_file,source_location,scope,status
PAR-001,V_in_nominal,24,V,cuk_cap_health_verification/model/model_parameters.m,"p.Vin",Model-A nominal,VERIFIED
PAR-002,V_in_blind,"19.2;24;28.8",V,paper_verification_v1/results/tables/table_paper_blind_cases.csv,Vin_V,48-case blind matrix,VERIFIED
PAR-003,D_nominal,0.40,1,cuk_cap_health_verification/model/model_parameters.m,"p.D",Model-A nominal,VERIFIED
PAR-004,D_blind,"0.30;0.40;0.55;0.65",1,paper_verification_v1/results/tables/table_paper_blind_cases.csv,duty,48-case blind matrix,VERIFIED
PAR-005,f_s,50000,Hz,cuk_cap_health_verification/model/model_parameters.m,"p.fs",plant and estimators,VERIFIED
PAR-006,L_1,0.0005,H,cuk_cap_health_verification/model/model_parameters.m,"p.L1",Model-A nominal,VERIFIED
PAR-007,L_2,0.0005,H,cuk_cap_health_verification/model/model_parameters.m,"p.L2",Model-A nominal,VERIFIED
PAR-008,C_b,0.0001,F,paper_algorithm_selection_v2/scripts/paper_algorithm_selection_v2_engine.m,"cfg.Cb",normalization base,VERIFIED
PAR-009,r_b,0.05,ohm,paper_algorithm_selection_v2/scripts/paper_algorithm_selection_v2_engine.m,"cfg.Rb",physical ESR base,VERIFIED
PAR-010,C_o,0.00047,F,cuk_cap_health_verification/model/model_parameters.m,"p.Co",Model-A nominal,VERIFIED
PAR-011,R_load_nominal,10,ohm,cuk_cap_health_verification/model/model_parameters.m,"p.Rload",Model-A nominal,VERIFIED
PAR-012,load_factor_blind,"0.58;1;1.45",1,paper_verification_v1/results/tables/table_paper_blind_cases.csv,load_factor,48-case blind matrix,VERIFIED
PAR-013,C_over_C_b,"0.8;0.9;1.0",1,paper_verification_v1/results/tables/table_paper_blind_cases.csv,C_factor,health matrix,VERIFIED
PAR-014,r_C_over_r_b,"1;1.5;2",1,paper_verification_v1/results/tables/table_paper_blind_cases.csv,ESR_factor,health matrix,VERIFIED
PAR-015,C_initial_factor,"0.707893--1.287228",1,paper_verification_v1/results/tables/table_paper_blind_cases.csv,C_init_factor,realized 48-case initialization,VERIFIED
PAR-016,ESR_initial_factor,"0.512193--1.482756",1,paper_verification_v1/results/tables/table_paper_blind_cases.csv,ESR_init_factor,realized 48-case initialization,VERIFIED
PAR-017,C_bounds,"0.65--1.35 C_b",F,paper_algorithm_selection_v2/LOCKED_ALGORITHM_SELECTION_HYPERPARAMETERS.csv,C_bounds_pu,all final estimators,VERIFIED
PAR-018,ESR_bounds,"0.35--2.50 r_b",ohm,paper_algorithm_selection_v2/LOCKED_ALGORITHM_SELECTION_HYPERPARAMETERS.csv,ESR_bounds_pu,all final estimators physical ESR,VERIFIED
PAR-019,T_w_C,0.000002,s,paper_verification_v12/scripts/paper_verification_v12_engine.m,"cfg.safeWindowS",C charge safe window and 45-case PE proof,VERIFIED
PAR-020,k_R_paper_center,0.97719802594550731,1,paper_algorithm_selection_v2/scripts/paper_algorithm_selection_v2_engine.m,"cfg.kRCalibration",reproduced v2.1 full-precision center adopted before the complete ESR rerun,VERIFIED_EXACT_ADOPTED
PAR-021,k_R_min_eval,0.957654065426597,1,paper_verification_v12/results/tables/table_physical_PE_lower_bound.csv,kR_min,evaluated-envelope conservative proof only,VERIFIED
PAR-022,I_C_min_eval,0.33010836969,A,paper_verification_v12/results/tables/table_physical_PE_lower_bound.csv,I_C_min,minimum over evaluated Model-B CCM cases; not an online gate,VERIFIED
PAR-023,I_Sigma_min_eval,0.438503738383,A,paper_verification_v12/results/tables/table_physical_PE_lower_bound.csv,I_sum_min,minimum over evaluated Model-B CCM cases; not an online gate,VERIFIED
PAR-024,q_min_eval,6.6021673938e-7,C,"derived from PAR-019 and PAR-022","I_C_min_eval*T_w_C",evaluated PE lower bound; never an online tuned gate,VERIFIED_DERIVED
PAR-025,lambda_RLS,0.9975,1,paper_algorithm_selection_v2/LOCKED_ALGORITHM_SELECTION_HYPERPARAMETERS.csv,rls_lambda,TS-D-RLS,VERIFIED
PAR-026,P0_RLS,1000,scaled covariance,paper_algorithm_selection_v2/LOCKED_ALGORITHM_SELECTION_HYPERPARAMETERS.csv,rls_P0,TS-D-RLS separate scalar recursions,VERIFIED
