method,mode,case_id,source_model,trajectory_type,trajectory_duration_s,shape,time_s,C_true,ESR_true,C_est,ESR_est
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.02048,8e-05,0.05,9.84496910041105e-05,0.0503219307903466
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.04096,8e-05,0.05,8.10879600937548e-05,0.0501475153733987
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.06144,8e-05,0.05,7.97889514141086e-05,0.0500771798394962
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.08192,8e-05,0.05,7.9885855459547e-05,0.050140275018847
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.1024,8e-05,0.05,7.98835160703782e-05,0.0502326090947895
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.12288,8e-05,0.05,8.01231403373008e-05,0.0501953370231601
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.14336,8e-05,0.05,8.01573181793759e-05,0.0501007024375131
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.16384,8e-05,0.05,7.98024955036578e-05,0.0501641877514678
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.18432,8e-05,0.05,8.03927232469523e-05,0.05018390029927
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.2048,8e-05,0.05,8.02413312061155e-05,0.0500575518898811
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.22528,8e-05,0.05,7.98049740766973e-05,0.0502374371628346
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.24576,8e-05,0.05,8.01376529056808e-05,0.050179038536394
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.26624,8e-05,0.05,7.97893325037647e-05,0.0501040736521951
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.28672,8e-05,0.05,7.98381732260348e-05,0.050174951798299
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.3072,8e-05,0.05,7.97533739481608e-05,0.0502415371005929
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.32768,8e-05,0.05,8.00163998686255e-05,0.050217065332857
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.34816,8e-05,0.05,7.96000646030187e-05,0.0503365905560589
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.36864,8e-05,0.05,8.00122444439471e-05,0.0501309356236709
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.38912,8e-05,0.05,8.043448282323e-05,0.0500619882350761
M1 TS-D-RLS,Equal-Report,ABR-1,FULL_SWITCHING_MODEL_A_EQUATIONS,C_abrupt,0.55,step,0.4096,8e-05,0.05,7.97579383441054e-05,0.0501672940452787
