method,mode,case_id,source_model,trajectory_type,trajectory_duration_s,health_report_period_s,noise_profile,skew_ns,C_true,ESR_true,C_est,ESR_est,C_error,ESR_error,accepted_C_updates,accepted_R_updates,compute_count,failure_flag,notes
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,10mV_5mA,0,8e-05,0.05,8.16951185628619e-05,0.0503993826766632,2.11889820357731,0.798765353326325,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,10mV_5mA,20,8e-05,0.05,8.01014329250889e-05,0.0504617281126933,0.126791156361095,0.92345622538661,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,10mV_5mA,50,8e-05,0.05,7.81146931634489e-05,0.0509967273097741,2.35663354568888,1.99345461954819,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,10mV_5mA,100,8e-05,0.05,7.99038377891768e-05,0.0496754969557243,0.120202763528976,0.649006088551307,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,5mV_2mA,0,8e-05,0.05,8.02501237313974e-05,0.0504925097266535,0.31265466424677,0.985019453307001,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,5mV_2mA,20,8e-05,0.05,7.98122726410205e-05,0.0499159773794441,0.234659198724396,0.168045241111736,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,5mV_2mA,50,8e-05,0.05,8.06548566671493e-05,0.0502511620301953,0.818570833936616,0.502324060390547,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,5mV_2mA,100,8e-05,0.05,7.98311563977586e-05,0.0506278899570583,0.211054502801711,1.25577991411667,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,0,8e-05,0.05,7.99416540388633e-05,0.0502022457891974,0.0729324514208707,0.404491578394728,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,20,8e-05,0.05,7.9724048852076e-05,0.0500811867161016,0.344938934904993,0.162373432203178,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,50,8e-05,0.05,7.98905725700746e-05,0.0501716878537285,0.13678428740681,0.343375707456905,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,100,8e-05,0.05,8.02031951454667e-05,0.0501759217913097,0.253993931833318,0.351843582619438,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,nominal,0,8e-05,0.05,7.99716666457583e-05,0.0499564545047093,0.0354166928021371,0.0870909905814732,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,nominal,20,8e-05,0.05,7.99658924575692e-05,0.0500839410090269,0.0426344280385349,0.167882018053755,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,nominal,50,8e-05,0.05,7.996488496189e-05,0.0501383845222678,0.0438937976375176,0.276769044535485,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-001,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,nominal,100,8e-05,0.05,8.00767094919577e-05,0.0503607739469981,0.09588686494717,0.721547893996122,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,10mV_5mA,0,9e-05,0.1,9.02325627851179e-05,0.100168921314715,0.258403094575455,0.168921314714843,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,10mV_5mA,20,9e-05,0.1,9.02442642079117e-05,0.100093073899241,0.271404675457498,0.093073899241225,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,10mV_5mA,50,9e-05,0.1,8.98933227308296e-05,0.0999315167556497,0.11853029907819,0.0684832443502592,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,10mV_5mA,100,9e-05,0.1,8.93974417467998e-05,0.100256398652806,0.669509170222504,0.256398652805778,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,5mV_2mA,0,9e-05,0.1,9.02515444210641e-05,0.100004790713218,0.279493801182351,0.00479071321766167,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,5mV_2mA,20,9e-05,0.1,9.00574174143804e-05,0.100045831817153,0.0637971270893711,0.0458318171531191,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,5mV_2mA,50,9e-05,0.1,8.98976134847688e-05,0.100099494484877,0.113762794701355,0.0994944848766499,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,5mV_2mA,100,9e-05,0.1,9.00669162834782e-05,0.100046989524779,0.0743514260868272,0.0469895247785734,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,0,9e-05,0.1,8.98719865876884e-05,0.100018943989548,0.142237124790634,0.0189439895477594,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,20,9e-05,0.1,8.99988138614582e-05,0.100055479843512,0.00131793171310735,0.0554798435118187,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,50,9e-05,0.1,9.02182464995285e-05,0.100032062118994,0.242496110587243,0.0320621189938919,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,100,9e-05,0.1,9.01596491806612e-05,0.100096750901214,0.177387978512455,0.096750901214393,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,nominal,0,9e-05,0.1,8.99644991708792e-05,0.0999974281415679,0.0394453656897498,0.00257185843215435,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-002,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,nominal,20,9e-05,0.1,9.00277600079483e-05,0.100029799753448,0.0308444532759022,0.0297997534477901,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
