method,mode,case_id,source_model,trajectory_type,trajectory_duration_s,shape,time_s,C_true,ESR_true,C_est,ESR_est
M1 TS-D-RLS,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.02048,9.5904e-05,0.05,9.66292202763279e-05,0.0501138568890658
M1 TS-D-RLS,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.04096,9.1808e-05,0.05,9.29196458169738e-05,0.0502827023925681
M1 TS-D-RLS,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.06144,8.7712e-05,0.05,8.91402467694403e-05,0.0501005525068376
M1 TS-D-RLS,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.08192,8.3616e-05,0.05,8.53576156013666e-05,0.0502098976158574
M1 TS-D-RLS,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.1,8e-05,0.05,8.10857508294234e-05,0.0502701405859006
M2 TS-SLTVKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.02048,9.5904e-05,0.05,9.77840715255801e-05,0.049447930670294
M2 TS-SLTVKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.04096,9.1808e-05,0.05,9.52281422312648e-05,0.0509292287236444
M2 TS-SLTVKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.06144,8.7712e-05,0.05,9.28364947901218e-05,0.0495722532106213
M2 TS-SLTVKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.08192,8.3616e-05,0.05,8.9949377724497e-05,0.0500379297160019
M2 TS-SLTVKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.1,8e-05,0.05,8.72234419150779e-05,0.0503290157751972
M3 Dual EKF,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.02048,9.5904e-05,0.05,9.77240298362844e-05,0.0482344519856377
M3 Dual EKF,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.04096,9.1808e-05,0.05,9.54347961208933e-05,0.0524273661129386
M3 Dual EKF,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.06144,8.7712e-05,0.05,9.33783452769635e-05,0.0505555052448367
M3 Dual EKF,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.08192,8.3616e-05,0.05,9.11591960876239e-05,0.0483785814816152
M3 Dual EKF,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.1,8e-05,0.05,8.90048041242727e-05,0.0519124610792422
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.02048,9.95904e-05,0.05,9.94312415000623e-05,0.050193749560156
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.04096,9.91808e-05,0.05,9.91783186224794e-05,0.0502653775663565
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.06144,9.87712e-05,0.05,9.81236992476556e-05,0.050174972069279
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.08192,9.83616e-05,0.05,9.83339365252011e-05,0.0501063839205
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.1024,9.7952e-05,0.05,9.82077356281838e-05,0.0502209032247653
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.12288,9.75424e-05,0.05,9.72635908228629e-05,0.0501548418255886
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.14336,9.71328e-05,0.05,9.69340054783922e-05,0.0501420014253613
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.16384,9.67232e-05,0.05,9.69327988057402e-05,0.0502632558308286
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.18432,9.63136e-05,0.05,9.6459836346963e-05,0.0501393568323203
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.2048,9.5904e-05,0.05,9.56249837946096e-05,0.0502615874613332
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.22528,9.54944e-05,0.05,9.56559147670487e-05,0.0502924909198747
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.24576,9.50848e-05,0.05,9.51766288073768e-05,0.0501334074335691
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.26624,9.46752e-05,0.05,9.50912255288755e-05,0.0500509818798829
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.28672,9.42656e-05,0.05,9.45165398837647e-05,0.0501240090337293
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.3072,9.3856e-05,0.05,9.37919312733303e-05,0.0502495928440686
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.32768,9.34464e-05,0.05,9.31692546699094e-05,0.0500605442148962
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.34816,9.30368e-05,0.05,9.35916497165146e-05,0.0501011727032989
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.36864,9.26272e-05,0.05,9.2821238058578e-05,0.0501008942254679
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.38912,9.22176e-05,0.05,9.23412072113356e-05,0.0500656583557172
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.4096,9.1808e-05,0.05,9.18920269362508e-05,0.0501963952860822
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.43008,9.13984e-05,0.05,9.17562379660748e-05,0.0502202314783816
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.45056,9.09888e-05,0.05,9.08856568390753e-05,0.0501012500595725
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.47104,9.05792e-05,0.05,8.99445132435552e-05,0.0502758011900136
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.49152,9.01696e-05,0.05,9.08014441651368e-05,0.0501897199355582
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.512,8.976e-05,0.05,8.95929247678282e-05,0.0500804501796991
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.53248,8.93504e-05,0.05,8.93819612719917e-05,0.0502031479857454
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.55296,8.89408e-05,0.05,8.93914080408727e-05,0.050225753546124
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.57344,8.85312e-05,0.05,8.87813516614305e-05,0.0501421995868349
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.59392,8.81216e-05,0.05,8.83413102165221e-05,0.0501642346827782
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.6144,8.7712e-05,0.05,8.77844182009548e-05,0.0503161232537324
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.63488,8.73024e-05,0.05,8.72884282549752e-05,0.0501708164233632
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.65536,8.68928e-05,0.05,8.68066753569533e-05,0.0502396231058426
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.67584,8.64832e-05,0.05,8.63771771506075e-05,0.050278908240034
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.69632,8.60736e-05,0.05,8.65272459206058e-05,0.0501444066790677
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.7168,8.5664e-05,0.05,8.62046332451882e-05,0.0501285863299628
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.73728,8.52544e-05,0.05,8.51643543604067e-05,0.050220520415901
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.75776,8.48448e-05,0.05,8.46811687972752e-05,0.0501327925495395
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.77824,8.44352e-05,0.05,8.41090502284239e-05,0.0500922823048391
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.79872,8.40256e-05,0.05,8.39646996863733e-05,0.050263687357643
