method,mode,case_id,source_model,trajectory_type,trajectory_duration_s,shape,time_s,C_true,ESR_true,C_est,ESR_est
M1 TS-D-RLS,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.02048,0.0001,0.05,0.0001001869775673,0.0507803672743696
M1 TS-D-RLS,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.04096,0.0001,0.05,9.96310961947149e-05,0.0501421534469987
M1 TS-D-RLS,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.06144,0.0001,0.05,9.98707786816728e-05,0.0501423409471378
M1 TS-D-RLS,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.08,0.0001,0.05,0.00010001603861257,0.0501404011709716
M2 TS-SLTVKE,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.02048,0.0001,0.05,9.91694811556787e-05,0.0527482626265685
M2 TS-SLTVKE,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.04096,0.0001,0.05,9.9647944836444e-05,0.0515562851483243
M2 TS-SLTVKE,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.06144,0.0001,0.05,9.99527632416981e-05,0.0502378700653476
M2 TS-SLTVKE,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.08,0.0001,0.05,9.98967799748141e-05,0.0503799275106692
M3 Dual EKF,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.02048,0.0001,0.05,9.96356048682662e-05,0.0465878287381304
M3 Dual EKF,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.08,step,0.04096,0.0001,0.05,9.97732201386047e-05,0.0514003671074941
