metric,M1_TS_D_RLS,M2_TS_SLTVKE,M3_Dual_EKF,final_decision
C mean MAPE (%),0.372680462278862,0.301149059504354,0.304340016733086,DUAL_REALIZATION
ESR mean MAPE (%),0.222188144681207,0.64283085961941,1.19225037349521,DUAL_REALIZATION
C p95 (%),1.31818648710039,1.10688368055481,1.14919306233607,DUAL_REALIZATION
ESR p95 (%),0.696773537082202,2.48676389255558,3.8578529399109,DUAL_REALIZATION
Static convergence (cycles),13.1888020833333,33.03515625,40.5703125,DUAL_REALIZATION
0.1 s C ramp nRMSE,0.11007163490529,0.395330419539541,0.457209479309811,DUAL_REALIZATION
1 s C ramp nRMSE,0.0238347398672225,0.0636870814631913,0.191817180966081,DUAL_REALIZATION
10 s C ramp nRMSE,0.0266566190149087,0.0121553239191814,0.0165963220797585,DUAL_REALIZATION
0.1 s ESR ramp nRMSE,0.119132523712133,0.0270725247292407,0.0524666926754206,DUAL_REALIZATION
1 s ESR ramp nRMSE,0.00856683272926112,0.0258947031392628,0.0530109493883534,DUAL_REALIZATION
10 s ESR ramp nRMSE,0.00514496803705857,0.0779317967771059,0.0542163731311207,DUAL_REALIZATION
Abrupt C settle (ms),10.72,64.72,61,DUAL_REALIZATION
Abrupt ESR settle (ms),17.68,Inf,0.240000000000001,DUAL_REALIZATION
Load-step false C (%),1.57708715450909,1.67279281362998,1.11967853640199,DUAL_REALIZATION
Load-step false ESR (%),4.45922973523925,6.50024874757928,18.6483167379447,DUAL_REALIZATION
50 ns timing combined p95 (%),0.416638397755205,0.550456433044411,1.16859344522617,DUAL_REALIZATION
Divergence count,0,0,0,DUAL_REALIZATION
Multiplications/frame,28672,47104,63488,DUAL_REALIZATION
DSP estimate/frame (ms),1.39264,2.17088,3.1232,DUAL_REALIZATION
Joint uncertainty coverage (%),13,89.0625,81.9010416666667,DUAL_REALIZATION
Maximum reliable C degradation rate (pu/s),0.2,0.2,0.02,DUAL_REALIZATION
Maximum reliable ESR degradation rate (pu/s),1,10,10,DUAL_REALIZATION
