method,mode,case_id,source_model,trajectory_type,health_report_period_s,peak_false_C_percent,peak_false_ESR_percent,recovery_time_ms,false_health_alarm_count,NIS_rejection_rate_percent,accepted_C_updates,accepted_R_updates,failure_flag,notes
M1 TS-D-RLS,Native,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,2e-05,1.57708715450909,4.45922973523925,0.400000000000001,0,0,2000,2000,0,Health held constant during operating transient.
M1 TS-D-RLS,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.02048,0.368903805285096,1.56073454873913,0.480000000000001,0,0,2000,2000,0,Health held constant during operating transient.
M2 TS-SLTVKE,Native,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,2e-05,1.67279281362998,6.50024874757928,49.88,0,10.525,1990,1589,0,Health held constant during operating transient.
M2 TS-SLTVKE,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.02048,0.830518844321325,5.49652525313696,41.44,0,12.5,1990,1589,0,Health held constant during operating transient.
M3 Dual EKF,Native,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,2e-05,1.11967853640199,18.6483167379447,59.76,3,5.95,2000,2000,0,Health held constant during operating transient.
M3 Dual EKF,Equal-Report,TRANS-1,FULL_SWITCHING_MODEL_A_EQUATIONS,load_up,0.02048,0.364395131733822,6.82434252373926,20.96,0,12.5,2000,2000,0,Health held constant during operating transient.
M1 TS-D-RLS,Native,TRANS-2,FULL_SWITCHING_MODEL_A_EQUATIONS,load_down,2e-05,2.02759459301295,0.781451921070403,0,0,0,2000,2000,0,Health held constant during operating transient.
M1 TS-D-RLS,Equal-Report,TRANS-2,FULL_SWITCHING_MODEL_A_EQUATIONS,load_down,0.02048,1.81752493694561,0.66088373908782,0.480000000000001,0,0,2000,2000,0,Health held constant during operating transient.
M2 TS-SLTVKE,Native,TRANS-2,FULL_SWITCHING_MODEL_A_EQUATIONS,load_down,2e-05,0.433436547056602,5.82178405840303,59.52,0,10.35,1993,1593,0,Health held constant during operating transient.
M2 TS-SLTVKE,Equal-Report,TRANS-2,FULL_SWITCHING_MODEL_A_EQUATIONS,load_down,0.02048,0.428795571438484,3.51103026787312,60,0,12.5,1993,1593,0,Health held constant during operating transient.
M3 Dual EKF,Native,TRANS-2,FULL_SWITCHING_MODEL_A_EQUATIONS,load_down,2e-05,0.353405813520119,10.1269005953348,59.92,1,5.225,2000,2000,0,Health held constant during operating transient.
M3 Dual EKF,Equal-Report,TRANS-2,FULL_SWITCHING_MODEL_A_EQUATIONS,load_down,0.02048,0.349199512926138,5.3602770866038,41.44,0,12.5,2000,2000,0,Health held constant during operating transient.
M1 TS-D-RLS,Native,TRANS-3,FULL_SWITCHING_MODEL_A_EQUATIONS,Vin_step,2e-05,0.917681283221872,1.31039435885608,0,0,0,2000,2000,0,Health held constant during operating transient.
M1 TS-D-RLS,Equal-Report,TRANS-3,FULL_SWITCHING_MODEL_A_EQUATIONS,Vin_step,0.02048,0.917681283221872,0.584088180315134,0.480000000000001,0,0,2000,2000,0,Health held constant during operating transient.
M2 TS-SLTVKE,Native,TRANS-3,FULL_SWITCHING_MODEL_A_EQUATIONS,Vin_step,2e-05,0.46902445577566,5.03184327287595,59.44,0,13.2,1992,1480,0,Health held constant during operating transient.
M2 TS-SLTVKE,Equal-Report,TRANS-3,FULL_SWITCHING_MODEL_A_EQUATIONS,Vin_step,0.02048,0.46902445577566,2.2480808563056,0.480000000000001,0,12.5,1992,1480,0,Health held constant during operating transient.
M3 Dual EKF,Native,TRANS-3,FULL_SWITCHING_MODEL_A_EQUATIONS,Vin_step,2e-05,0.528130612173399,15.9639299912525,59.88,3,5.35,2000,2000,0,Health held constant during operating transient.
M3 Dual EKF,Equal-Report,TRANS-3,FULL_SWITCHING_MODEL_A_EQUATIONS,Vin_step,0.02048,0.528130612173399,8.10952035399062,20.96,0,25,2000,2000,0,Health held constant during operating transient.
M1 TS-D-RLS,Native,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,2e-05,0.684321682095602,0.820540641683673,0,0,0,2000,2000,0,Health held constant during operating transient.
M1 TS-D-RLS,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.02048,0.396464798550343,0.438954418975818,0.480000000000001,0,0,2000,2000,0,Health held constant during operating transient.
M2 TS-SLTVKE,Native,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,2e-05,0.452754788203647,3.34024170210497,46.08,0,9.45,1994,1628,0,Health held constant during operating transient.
M2 TS-SLTVKE,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.02048,0.303653500865469,2.20972752914927,0.480000000000001,0,25,1994,1628,0,Health held constant during operating transient.
M3 Dual EKF,Native,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,2e-05,0.380648011053339,13.2655877818693,Inf,2,3.425,2000,2000,1,Health held constant during operating transient.
M3 Dual EKF,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.02048,0.301243054771834,6.46240217871946,Inf,0,12.5,2000,2000,1,Health held constant during operating transient.
