method,mode,case_id,source_model,trajectory_type,trajectory_duration_s,shape,health_report_period_s,noise_profile,skew_ns,C_nRMSE,ESR_nRMSE,C_nIAE,ESR_nIAE,C_xcorr_lag_ms,ESR_xcorr_lag_ms,C_50pct_delay_ms,ESR_50pct_delay_ms,normalized_lag_percent,C_endpoint_error_percent,ESR_endpoint_error_percent,C_max_tracking_error_percent,ESR_max_tracking_error_percent,false_cross_coupling_percent,accepted_C_updates,accepted_R_updates,projection_activations,failure_flag,reliable_health_tracking,notes
M1 TS-D-RLS,Native,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,2e-05,F28379D_device_realistic,50,0.11007163490529,NaN,0.0599906802756332,NaN,0.0399999999999984,NaN,7.84,NaN,7.84,1.35718853677924,0.540281171801146,10.6159111837239,8.72906367555032,8.90696754484382,2500,2500,0,0,0,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.02048,F28379D_device_realistic,50,0.143095379438412,NaN,0.0813140855410481,NaN,0,NaN,38.56,NaN,38.56,1.35718853677924,0.540281171801146,2.08287361434007,0.565404785136267,0.33769100700469,2500,2500,0,0,0,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Native,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,2e-05,F28379D_device_realistic,50,0.395330419539541,NaN,0.2032518589484,NaN,0.0399999999999984,NaN,31.56,NaN,31.56,9.0293023938474,0.658031550394483,9.04894282689321,8.70435196043644,11.534240496401,2440,2027,0,0,0,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.02048,F28379D_device_realistic,50,0.545592937434954,NaN,0.301777288527242,NaN,0,NaN,Inf,NaN,0,9.0293023938474,0.658031550394483,9.0293023938474,1.85845744728871,2.96259610670073,2440,2027,0,0,0,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Native,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,2e-05,F28379D_device_realistic,50,0.457209479309811,NaN,0.229550931134083,NaN,0.0399999999999984,NaN,42.12,NaN,42.12,11.2560051553408,3.82492215848447,11.2575855449732,8.69547874364038,15.0479131309765,2500,2500,0,0,0,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,0.02048,F28379D_device_realistic,50,0.635264783606903,NaN,0.344588983856352,NaN,0,NaN,Inf,NaN,0,11.2560051553408,3.82492215848447,11.2560051553408,4.85473222587725,8.38582825460178,2500,2500,0,0,0,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Native,RAMP-002,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,smooth,2e-05,F28379D_device_realistic,50,0.134228071480616,NaN,0.0752013681479582,NaN,0.159999999999993,NaN,7.24,NaN,7.24,0.293941863636388,0.374514344790439,5.72211258091495,6.69147292988016,7.38573841454264,2500,2500,0,0,0,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Equal-Report,RAMP-002,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,smooth,0.02048,F28379D_device_realistic,50,0.138099697477146,NaN,0.0839366311499184,NaN,0,NaN,38.56,NaN,38.56,0.293941863636388,0.374514344790439,2.72705054156856,0.66245654339063,0.310235488480679,2500,2500,0,0,0,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Native,RAMP-002,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,smooth,2e-05,F28379D_device_realistic,50,0.471377333305447,NaN,0.247650152334655,NaN,0.959999999999961,NaN,32.12,NaN,32.12,8.738110030058,0.791691379789627,10.1959196222635,6.67137066642634,10.7667928465864,2390,2003,0,0,0,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Equal-Report,RAMP-002,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,smooth,0.02048,F28379D_device_realistic,50,0.536470239306937,NaN,0.329852182890807,NaN,0,NaN,Inf,NaN,0,8.738110030058,0.791691379789627,10.1646613610775,1.75604828898759,1.69509196029817,2390,2003,0,0,0,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Native,RAMP-002,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,smooth,2e-05,F28379D_device_realistic,50,0.536939701083487,NaN,0.28005784261981,NaN,1.03999999999996,NaN,41.32,NaN,41.32,11.0791995144394,2.93782605577633,11.9855006954113,6.90930472035871,12.6907489666451,2500,2500,0,0,0,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Equal-Report,RAMP-002,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,smooth,0.02048,F28379D_device_realistic,50,0.61584186096326,NaN,0.376204962297423,NaN,0,NaN,Inf,NaN,0,11.0791995144394,2.93782605577633,11.7538319412658,4.14128030258692,5.48991320123929,2500,2500,0,0,0,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Native,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,2e-05,F28379D_device_realistic,50,0.0238347398672225,NaN,0.0106569906469653,NaN,0.0399999999999984,NaN,-31.52,NaN,3.152,0.160015315684032,0.437996229196422,7.00070950969764,4.76217615728108,5.2138768011088,25000,25000,0,0,1,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.02048,F28379D_device_realistic,50,0.0246271914256556,NaN,0.0109294727241464,NaN,0,NaN,20.4799999999999,NaN,2.04799999999999,0.160015315684032,0.437996229196422,0.700728588278933,0.632246507464712,0.285535360546207,25000,25000,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Native,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,2e-05,F28379D_device_realistic,50,0.0636870814631913,NaN,0.0355147872620097,NaN,0,NaN,33.7999999999999,NaN,3.37999999999999,0.914413580617089,2.35483757452526,5.43911989655664,4.78457597369199,7.95582731554986,24911,20223,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.02048,F28379D_device_realistic,50,0.0659174211168044,NaN,0.0369212143611783,NaN,0,NaN,61.4399999999999,NaN,6.14399999999999,0.914413580617089,2.35483757452526,1.20799983799138,3.11191463085694,3.35380584596452,24911,20223,0,0,0,Ramp is a health-tracking test; failures are retained.
