Vin_V,duty,load_factor,mean_q_C,mean_I_sum_A,mu_C,mu_R,CRLB_C,CRLB_R,empirical_variance_C,empirical_variance_R,convergence_cycles_C,convergence_cycles_R,PE_valid_C,PE_valid_R
19.2,0.3,0.58,2.755e-06,0.522,10036.3966942149,3473258.51795283,9.96373529731457e-13,2.87914071132664e-07,1.28320328515547e-12,3.7950681981925e-07,1619,56,1,1
19.2,0.3,1,4.75e-06,0.9,29834.7107438017,10324787.5087777,3.35180055401662e-13,9.68542935290281e-08,4.78350560939901e-13,1.42142698309045e-07,561,35,1,1
19.2,0.3,1.45,6.8875e-06,1.305,62727.479338843,21707865.7372052,1.59419764757033e-13,4.60662513812262e-08,2.21373588349479e-13,6.49167228507583e-08,280,30,1,1
19.2,0.4,0.58,2.9e-06,0.58464,11120.6611570248,4356855.48492003,8.9922711058264e-13,2.29523334767748e-07,1.08064413451038e-12,2.80199773493963e-07,1463,50,1,1
19.2,0.4,1,5e-06,1.008,33057.8512396694,12951413.4510108,3.025e-13,7.72116498158706e-08,3.82719770609144e-13,9.92280218750244e-08,508,33,1,1
19.2,0.4,1.45,7.25e-06,1.4616,69504.1322314049,27230346.7807502,1.43876337693222e-13,3.67237335628397e-08,2.08056701275536e-13,5.42718911218298e-08,255,29,1,1
19.2,0.55,0.58,3.1175e-06,0.6786,12851.3140495868,5869806.89534028,7.78130544582057e-13,1.70363355699801e-07,1.07371526013709e-12,2.42640928324763e-07,1270,43,1,1
19.2,0.55,1,5.375e-06,1.17,38202.479338843,17448890.8898344,2.61763115197404e-13,5.73102328574131e-08,3.29470076980311e-13,7.34069155953085e-08,443,31,1,1
19.2,0.55,1.45,7.79375e-06,1.6965,80320.7128099174,36686293.0958767,1.24500887133129e-13,2.72581369119681e-08,1.59103126567819e-13,3.52551420253159e-08,224,27,1,1
19.2,0.65,0.58,3.2625e-06,0.74124,14074.5867768595,7003478.47560008,7.1050043305295e-13,1.42786188818024e-07,9.61440606595307e-13,1.9916068468508e-07,1161,40,1,1
19.2,0.65,1,5.625e-06,1.278,41838.8429752066,20818901.5326994,2.39012345679012e-13,4.80332739183833e-08,3.43004897378303e-13,7.12800263492744e-08,407,30,1,1
19.2,0.65,1.45,8.15625e-06,1.8531,87966.1673553719,43771740.4725005,1.13680069288472e-13,2.28457902108838e-08,1.5365979960644e-13,3.15884187839381e-08,206,27,1,1
24,0.3,0.58,2.755e-06,0.6525,10036.3966942149,5426966.43430129,9.96373529731457e-13,1.84265005524905e-07,1.18665191091642e-12,2.23313690809242e-07,1619,45,1,1
24,0.3,1,4.75e-06,1.125,29834.7107438017,16132480.4824652,3.35180055401662e-13,6.19867478585779e-08,4.43106633655413e-13,8.4284668646557e-08,561,31,1,1
24,0.3,1.45,6.8875e-06,1.63125,62727.479338843,33918540.2143831,1.59419764757033e-13,2.94824008839848e-08,2.33114875262362e-13,4.47341830254703e-08,280,28,1,1
24,0.4,0.58,2.9e-06,0.7308,11120.6611570248,6807586.69518754,8.9922711058264e-13,1.46894934251359e-07,1.18984285382635e-12,2.00318720914223e-07,1463,41,1,1
24,0.4,1,5e-06,1.26,33057.8512396694,20236583.5172043,3.025e-13,4.94154558821572e-08,3.68564045223727e-13,6.15981668202149e-08,508,30,1,1
24,0.4,1.45,7.25e-06,1.827,69504.1322314049,42547416.8449221,1.43876337693222e-13,2.35031894802174e-08,1.89096016349966e-13,3.19342849632189e-08,255,27,1,1
24,0.55,0.58,3.1175e-06,0.84825,12851.3140495868,9171573.27396918,7.78130544582057e-13,1.09032547647873e-07,1.08745159789541e-12,1.58197411695133e-07,1270,36,1,1
24,0.55,1,5.375e-06,1.4625,38202.479338843,27263892.0153662,2.61763115197404e-13,3.66785490287443e-08,3.64988287842367e-13,5.33559402907699e-08,443,29,1,1
24,0.55,1.45,7.79375e-06,2.120625,80320.7128099174,57322332.9623074,1.24500887133129e-13,1.74452076236596e-08,1.60641094457162e-13,2.35281793406097e-08,224,26,1,1
24,0.65,0.58,3.2625e-06,0.92655,14074.5867768595,10942935.1181251,7.1050043305295e-13,9.13831608435354e-08,8.66974870716711e-13,1.14376024375911e-07,1161,35,1,1
24,0.65,1,5.625e-06,1.5975,41838.8429752066,32529533.6448428,2.39012345679012e-13,3.07412953077653e-08,3.33024928268517e-13,4.48805760751909e-08,407,28,1,1
24,0.65,1.45,8.15625e-06,2.316375,87966.1673553719,68393344.4882821,1.13680069288472e-13,1.46213057349657e-08,1.67724630795691e-13,2.29922593597916e-08,206,26,1,1
28.8,0.3,0.58,2.755e-06,0.783,10036.3966942149,7814831.66539386,9.96373529731457e-13,1.27961809392295e-07,1.25551633734723e-12,1.65740164694066e-07,1619,39,1,1
28.8,0.3,1,4.75e-06,1.35,29834.7107438017,23230771.8947499,3.35180055401662e-13,4.3046352679568e-08,4.06760092819332e-13,5.38377024583483e-08,561,29,1,1
28.8,0.3,1.45,6.8875e-06,1.9575,62727.479338843,48842697.9087116,1.59419764757033e-13,2.04738895027672e-08,2.18273661903857e-13,2.95105834420449e-08,280,27,1,1
28.8,0.4,0.58,2.9e-06,0.87696,11120.6611570248,9802924.84107006,8.9922711058264e-13,1.02010371007888e-07,1.26884159552098e-12,1.49905194356589e-07,1463,36,1,1
28.8,0.4,1,5e-06,1.512,33057.8512396694,29140680.2647743,3.025e-13,3.43162888070536e-08,4.02602163203213e-13,4.77755267678545e-08,508,28,1,1
28.8,0.4,1.45,7.25e-06,2.1924,69504.1322314049,61268280.2566879,1.43876337693222e-13,1.63216593612621e-08,1.8003632441888e-13,2.16197977979233e-08,255,26,1,1
28.8,0.55,0.58,3.1175e-06,1.0179,12851.3140495868,13207065.5145156,7.78130544582057e-13,7.57170469776893e-08,9.89058894530115e-13,9.95906119254345e-08,1270,33,1,1
28.8,0.55,1,5.375e-06,1.755,38202.479338843,39260004.5021273,2.61763115197404e-13,2.54712146032947e-08,3.74151579594143e-13,3.86770821057555e-08,443,27,1,1
28.8,0.55,1.45,7.79375e-06,2.54475,80320.7128099174,82544159.4657227,1.24500887133129e-13,1.21147275164303e-08,1.77347715962477e-13,1.87974659539174e-08,224,26,1,1
28.8,0.65,0.58,3.2625e-06,1.11186,14074.5867768595,15757826.5701002,7.1050043305295e-13,6.34605283635662e-08,8.6318676673898e-13,7.96544215651158e-08,1161,31,1,1
28.8,0.65,1,5.625e-06,1.917,41838.8429752066,46842528.4485737,2.39012345679012e-13,2.13481217415037e-08,3.00670352280165e-13,2.84942592775296e-08,407,27,1,1
28.8,0.65,1.45,8.15625e-06,2.77965,87966.1673553719,98486416.0631261,1.13680069288472e-13,1.01536845381706e-08,1.64927694525394e-13,1.62940749872531e-08,206,26,1,1
