scenario,observation,estimator,cell_id,convergence_cycles,C_tracking_MAPE_percent,ESR_tracking_MAPE_percent,false_cross_coupling_percent,timing_failure,divergence_flag
load_25_to_75,O0 Mixed,E1 RLS,O0-E1,257,9.37873585336449,1.48970407626718,14.2085892834041,0,0
load_25_to_75,O0 Mixed,E2 Dual EKF,O0-E2,257,9.73619747029279,1.49244486072093,14.0916084929922,0,0
load_25_to_75,O0 Mixed,E3 LTV/Joseph,O0-E3,257,9.73191790817636,1.26947519799628,14.2706783047006,0,0
load_25_to_75,O1 Proposed,E1 RLS,O1-E1,0,0.35869731000534,0.603645085239053,1.99081227268936,0,0
load_25_to_75,O1 Proposed,E2 Dual EKF,O1-E2,0,0.26230097714921,1.6212404053692,3.90074140470443,0,0
load_25_to_75,O1 Proposed,E3 LTV/Joseph,O1-E3,0,0.238067581372176,0.655518496602156,2.53580388036747,0,0
C_1_to_0p8,O0 Mixed,E1 RLS,O0-E1,148,3.61695290739259,3.75399502403048,11.6763572051898,0,0
C_1_to_0p8,O0 Mixed,E2 Dual EKF,O0-E2,116,0.329296653680836,3.91110274495095,11.8460177103066,1,0
C_1_to_0p8,O0 Mixed,E3 LTV/Joseph,O0-E3,100,0.432148742367564,3.52854989323867,4.87161413299368,0,0
C_1_to_0p8,O1 Proposed,E1 RLS,O1-E1,257,6.09645295365974,0.274058115442489,0.676813246036612,0,0
C_1_to_0p8,O1 Proposed,E2 Dual EKF,O1-E2,257,8.39287127259642,1.559616473431,3.2322960236842,0,0
C_1_to_0p8,O1 Proposed,E3 LTV/Joseph,O1-E3,257,19.2910996372035,0.574731861369541,1.60330287307033,0,0
ESR_1_to_2,O0 Mixed,E1 RLS,O0-E1,257,8.39606702836287,10.6720762108933,13.2400927404752,1,0
ESR_1_to_2,O0 Mixed,E2 Dual EKF,O0-E2,257,6.7528244863323,1.10647922911823,7.32277140074464,0,0
ESR_1_to_2,O0 Mixed,E3 LTV/Joseph,O0-E3,257,8.35109352412782,46.8762159707696,8.58417276495393,1,0
ESR_1_to_2,O1 Proposed,E1 RLS,O1-E1,257,0.397920567786372,13.5628919912844,0.798640693020469,1,0
ESR_1_to_2,O1 Proposed,E2 Dual EKF,O1-E2,24,0.465859769295866,0.730728790988106,0.885844052840823,0,0
ESR_1_to_2,O1 Proposed,E3 LTV/Joseph,O1-E3,257,0.444819829145243,49.937918328659,0.827098362469258,1,0
