estimator,metric,N_pairs,mean_paired_effect,median_paired_effect,ci95_low,ci95_high,fraction_improved,bootstrap_replicates
E1 RLS,C_MAPE,768,6.6638696567882,6.16102269980169,6.47324865483926,6.85797763757601,1,10000
E1 RLS,ESR_MAPE,768,0.974782021775528,0.857054815475583,0.924634566097647,1.02767144203616,0.958333333333333,10000
E1 RLS,C_p95,768,10.6903131454523,6.16102269980169,10.1534348204714,11.0367846420501,1,10000
E1 RLS,ESR_p95,768,1.97393727265637,0.857054815475583,1.82167678536369,2.10706336066778,0.958333333333333,10000
E1 RLS,timing_failure,768,0.00390625,0,0,0.00911458333333333,0.00390625,10000
E1 RLS,convergence,768,652.223958333333,1003,620.62890625,683.78515625,0.986979166666667,10000
E2 Dual EKF,C_MAPE,768,6.71132411618707,6.19202821045195,6.52269769159797,6.89758230157919,1,10000
E2 Dual EKF,ESR_MAPE,768,0.0620889559320582,0.123600998091339,-0.0297825393253005,0.154783813857429,0.5625,10000
E2 Dual EKF,C_p95,768,10.8605755259645,6.19202821045195,10.2145008221307,11.2549691781609,1,10000
E2 Dual EKF,ESR_p95,768,-0.752450446433266,0.123600998091339,-1.41365939670365,-0.140664007207658,0.5625,10000
E2 Dual EKF,timing_failure,768,-0.0234375,0,-0.0364583333333333,-0.01171875,0.00390625,10000
E2 Dual EKF,convergence,768,649.979166666667,1003,616.489583333333,682.555989583333,0.907552083333333,10000
E3 LTV/Joseph,C_MAPE,768,6.73776105634078,6.21174242094796,6.55424309313902,6.92682878222072,1,10000
E3 LTV/Joseph,ESR_MAPE,768,0.579612627023268,0.584846795889543,0.500884233018052,0.657951378976891,0.819010416666667,10000
E3 LTV/Joseph,C_p95,768,10.8704797192986,6.21174242094796,10.2900847055502,11.3100078695399,1,10000
E3 LTV/Joseph,ESR_p95,768,0.237457540950749,0.584846795889543,-0.750043992928959,0.945051812012578,0.819010416666667,10000
E3 LTV/Joseph,timing_failure,768,-0.0143229166666667,0,-0.0240885416666667,-0.00520833333333333,0.00130208333333333,10000
E3 LTV/Joseph,convergence,768,690.692708333333,1009,657.475911458333,722.5078125,0.932291666666667,10000
