metric,method,old_value,new_value,delta,delta_percent,changed
0.1 s C ramp nRMSE,M1_TS_D_RLS,0.11007163490529,0.11007163490529,0,0,0
0.1 s C ramp nRMSE,M2_TS_SLTVKE,0.395330419539541,0.395330419539541,0,0,0
0.1 s C ramp nRMSE,M3_Dual_EKF,0.457209479309811,0.457209479309811,0,0,0
0.1 s ESR ramp nRMSE,M1_TS_D_RLS,0.119132523712133,0.11910843140661,-2.40923055229991e-05,-0.0202231135312929,1
0.1 s ESR ramp nRMSE,M2_TS_SLTVKE,0.0270725247292407,0.0272117641802992,0.000139239451058499,0.514320154662591,1
0.1 s ESR ramp nRMSE,M3_Dual_EKF,0.0524666926754206,0.0525623928051361,9.57001297155063e-05,0.182401681591681,1
1 s C ramp nRMSE,M1_TS_D_RLS,0.0238347398672225,0.0238347398672225,0,0,0
1 s C ramp nRMSE,M2_TS_SLTVKE,0.0636870814631913,0.0636870814631913,0,0,0
1 s C ramp nRMSE,M3_Dual_EKF,0.191817180966081,0.191817180966081,0,0,0
1 s ESR ramp nRMSE,M1_TS_D_RLS,0.00856683272926112,0.00854814754415522,-1.86851851059003e-05,-0.218110773215854,1
1 s ESR ramp nRMSE,M2_TS_SLTVKE,0.0258947031392628,0.0260597358185558,0.000165032679292999,0.63732215196848,1
1 s ESR ramp nRMSE,M3_Dual_EKF,0.0530109493883534,0.0531075970720339,9.66476836804994e-05,0.182316454988322,1
10 s C ramp nRMSE,M1_TS_D_RLS,0.0266566190149087,0.0266566190149087,0,0,0
10 s C ramp nRMSE,M2_TS_SLTVKE,0.0121553239191814,0.0121553239191814,0,0,0
10 s C ramp nRMSE,M3_Dual_EKF,0.0165963220797585,0.0165963220797585,0,0,0
10 s ESR ramp nRMSE,M1_TS_D_RLS,0.00514496803705857,0.00517583648443651,3.08684473779392e-05,0.599973549992879,1
10 s ESR ramp nRMSE,M2_TS_SLTVKE,0.0779317967771059,0.0785554961366471,0.000623699359541194,0.800314358624436,1
10 s ESR ramp nRMSE,M3_Dual_EKF,0.0542163731311207,0.0543240477887184,0.000107674657597701,0.198601734825184,1
50 ns timing combined p95 (%),M1_TS_D_RLS,0.416638397755205,0.41746348393238,0.000825086177174972,0.198034118223484,1
50 ns timing combined p95 (%),M2_TS_SLTVKE,0.550456433044411,0.550967097873894,0.000510664829482921,0.092771162044303,1
50 ns timing combined p95 (%),M3_Dual_EKF,1.16859344522617,1.16757154500215,-0.00102190022401993,-0.0874470268675994,1
Abrupt C settle (ms),M1_TS_D_RLS,10.72,10.72,0,0,0
Abrupt C settle (ms),M2_TS_SLTVKE,64.72,64.72,0,0,0
Abrupt C settle (ms),M3_Dual_EKF,61,61,0,0,0
Abrupt ESR settle (ms),M1_TS_D_RLS,17.68,17.68,0,0,0
Abrupt ESR settle (ms),M2_TS_SLTVKE,Inf,Inf,NaN,NaN,0
Abrupt ESR settle (ms),M3_Dual_EKF,0.240000000000001,0.240000000000001,0,0,0
C mean MAPE (%),M1_TS_D_RLS,0.372680462278862,0.372680462278862,0,0,0
C mean MAPE (%),M2_TS_SLTVKE,0.301149059504354,0.301149059504354,0,0,0
C mean MAPE (%),M3_Dual_EKF,0.304340016733086,0.304340016733086,0,0,0
C p95 (%),M1_TS_D_RLS,1.31818648710039,1.31818648710039,0,0,0
C p95 (%),M2_TS_SLTVKE,1.10688368055481,1.10688368055481,0,0,0
C p95 (%),M3_Dual_EKF,1.14919306233607,1.14919306233607,0,0,0
