dataset,variable,row_count,changed_count,max_abs_delta,mean_abs_delta
ALG_STATIC,case_count,6,0,0,0
ALG_STATIC,C_mean_MAPE_percent,6,0,0,0
ALG_STATIC,ESR_mean_MAPE_percent,6,6,0.00179705217178905,0.00148305458127038
ALG_STATIC,C_median_MAPE_percent,6,0,0,0
ALG_STATIC,ESR_median_MAPE_percent,6,6,0.00232651680159801,0.00111378927293633
ALG_STATIC,C_p95_percent,6,0,0,0
ALG_STATIC,ESR_p95_percent,6,6,0.0123955762265,0.00604346525156837
ALG_STATIC,C_max_percent,6,0,0,0
ALG_STATIC,ESR_max_percent,6,6,0.04414870347542,0.0240705094292563
ALG_STATIC,C_bias_percent,6,0,0,0
ALG_STATIC,ESR_bias_percent,6,6,0.00267045115048797,0.00113821403969364
ALG_STATIC,C_variance,6,0,0,0
ALG_STATIC,ESR_variance,6,6,2.88374418659686e-08,1.21444234736587e-08
ALG_STATIC,convergence_cycles_mean,6,3,0.05859375,0.0149739583333333
ALG_STATIC,convergence_time_ms,6,3,0.00117187500000004,0.000299479166666681
ALG_STATIC,divergence_count,6,0,0,0
ALG_STATIC,projection_activation_count,6,0,0,0
ALG_STATIC,invalid_update_count,6,2,23,7.66666666666667
ALG_NOISE_TIMING,skew_ns,48,0,0,0
ALG_NOISE_TIMING,case_count,48,0,0,0
ALG_NOISE_TIMING,C_mean_MAPE_percent,48,0,0,0
ALG_NOISE_TIMING,ESR_mean_MAPE_percent,48,48,0.02018520950539,0.00174079345188292
ALG_NOISE_TIMING,C_p95_percent,48,0,0,0
ALG_NOISE_TIMING,ESR_p95_percent,48,48,0.0406031884211586,0.0045240298463091
ALG_NOISE_TIMING,convergence_cycles_mean,48,12,0.375,0.0299479166666741
ALG_NOISE_TIMING,divergence_count,48,0,0,0
ALG_NOISE_TIMING,timing_failure_count,48,0,0,0
ALG_ABRUPT,change_time_s,18,0,0,0
ALG_ABRUPT,health_report_period_s,18,0,0,0
ALG_ABRUPT,delay_10_ms,18,0,0,0
ALG_ABRUPT,delay_50_ms,18,0,0,0
ALG_ABRUPT,delay_90_ms,18,1,0.0399999999999991,0.0028571428571428
ALG_ABRUPT,settling_time_ms,18,1,0.0399999999999991,0.0028571428571428
ALG_ABRUPT,C_error_20ms_percent,18,0,0,0
ALG_ABRUPT,C_error_100ms_percent,18,0,0,0
ALG_ABRUPT,C_error_500ms_percent,18,0,0,0
ALG_ABRUPT,ESR_error_20ms_percent,18,18,0.0154506630819999,0.00321825597245914
ALG_ABRUPT,ESR_error_100ms_percent,18,18,0.00678816675484994,0.00249267364043759
ALG_ABRUPT,ESR_error_500ms_percent,18,18,0.00712495978526007,0.0027520118996457
ALG_ABRUPT,overshoot_percent,18,10,0.0588551292473056,0.00724852300095493
ALG_ABRUPT,false_cross_coupling_percent,18,6,0.0357331266295002,0.005494223810594
ALG_ABRUPT,accepted_C_updates,18,0,0,0
ALG_ABRUPT,accepted_R_updates,18,2,1,0.111111111111111
ALG_ABRUPT,projection_activations,18,0,0,0
ALG_ABRUPT,failure_flag,18,0,0,0
ALG_ABRUPT,legacy_257_cycle_error_percent,18,6,0.00110303703538805,0.00035198805598056
ALG_ABRUPT,legacy_failure_reproduced,18,0,0,0
ALG_RAMP,trajectory_duration_s,162,0,0,0
ALG_RAMP,health_report_period_s,162,0,0,0
ALG_RAMP,skew_ns,162,0,0,0
ALG_RAMP,C_nRMSE,162,0,0,0
ALG_RAMP,ESR_nRMSE,162,108,0.000623699359541194,0.000141668226510867
ALG_RAMP,C_nIAE,162,0,0,0
ALG_RAMP,ESR_nIAE,162,108,0.000380833198300096,8.10658437885471e-05
ALG_RAMP,C_xcorr_lag_ms,162,0,0,0
ALG_RAMP,ESR_xcorr_lag_ms,162,0,0,0
ALG_RAMP,C_50pct_delay_ms,162,0,0,0
ALG_RAMP,ESR_50pct_delay_ms,162,2,4.44,0.0414814814814819
ALG_RAMP,normalized_lag_percent,162,1,0.004000000000004,2.46913580247161e-05
ALG_RAMP,C_endpoint_error_percent,162,0,0,0
ALG_RAMP,ESR_endpoint_error_percent,162,162,0.0377784355398401,0.00586842980978686
ALG_RAMP,C_max_tracking_error_percent,162,0,0,0
ALG_RAMP,ESR_max_tracking_error_percent,162,162,0.75448950627463,0.0271496063003583
ALG_RAMP,false_cross_coupling_percent,162,54,1.1066452953645,0.0166923397641296
ALG_RAMP,accepted_C_updates,162,0,0,0
ALG_RAMP,accepted_R_updates,162,42,9198,554.407407407407
ALG_RAMP,projection_activations,162,0,0,0
ALG_RAMP,failure_flag,162,0,0,0
ALG_RAMP,reliable_health_tracking,162,0,0,0
ALG_TRANSIENT,health_report_period_s,24,0,0,0
ALG_TRANSIENT,peak_false_C_percent,24,0,0,0
ALG_TRANSIENT,peak_false_ESR_percent,24,24,0.0320939483189999,0.013276826467551
ALG_TRANSIENT,recovery_time_ms,24,0,0,0
ALG_TRANSIENT,false_health_alarm_count,24,0,0,0
ALG_TRANSIENT,NIS_rejection_rate_percent,24,2,0.100000000000001,0.00520833333333337
