test_id,test_group,delay_magnitude_ns,voltage_delay_ns,i1_delay_ns,i2_delay_ns,method,pre_projection_C_F,pre_projection_ESR_Ohm,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,status
1,single_voltage,-1000,-1000,0,0,adjacent,-0.000414945672797371,0.00187735163339003,-0.000414945672797371,514.945672797371,0.00187735163339003,96.2452967332199,FAIL
2,single_voltage,-1000,-1000,0,0,timestamped_linear,-0.000414945672797371,-0.0195063368352837,-0.000414945672797371,514.945672797371,-0.0195063368352837,139.012673670567,FAIL
3,single_voltage,-1000,-1000,0,0,robust_polynomial,-0.000414945672797371,-0.0539117022014541,-0.000414945672797371,514.945672797371,-0.0539117022014541,207.823404402908,FAIL
4,single_voltage,-1000,-1000,0,0,TR_TS_LTVKF,0.0001,-0.0053799351865576,0.0001,0,0.005,90,FAIL
5,single_voltage,-500,-500,0,0,adjacent,9.84357923190416e-05,0.00184940842929344,9.84357923190416e-05,1.56420768095845,0.00184940842929344,96.3011831414131,FAIL
6,single_voltage,-500,-500,0,0,timestamped_linear,9.84357923190416e-05,0.0212121007817023,9.84357923190416e-05,1.56420768095845,0.0212121007817023,57.5757984365955,FAIL
7,single_voltage,-500,-500,0,0,robust_polynomial,9.84357923190416e-05,-0.0458867327166186,9.84357923190416e-05,1.56420768095845,-0.0458867327166186,191.773465433237,FAIL
8,single_voltage,-500,-500,0,0,TR_TS_LTVKF,9.09421626637267e-05,0.0191455087119658,9.0983423346712e-05,9.01657665328796,0.0199835102246409,60.0329795507182,FAIL
9,single_voltage,-200,-200,0,0,adjacent,9.9990625335337e-05,0.0510541997554658,9.9990625335337e-05,0.00937466466299774,0.0510541997554658,2.10839951093156,PASS
10,single_voltage,-200,-200,0,0,timestamped_linear,9.9990625335337e-05,0.052027570098966,9.9990625335337e-05,0.00937466466299774,0.052027570098966,4.05514019793201,PASS
11,single_voltage,-200,-200,0,0,robust_polynomial,9.9990625335337e-05,0.0520736412961252,9.9990625335337e-05,0.00937466466299774,0.0520736412961252,4.14728259225043,PASS
12,single_voltage,-200,-200,0,0,TR_TS_LTVKF,0.000100012498601005,0.0520561180183811,0.000100001360084677,0.00136008467690463,0.0519948310784936,3.98966215698724,PASS
13,single_voltage,-100,-100,0,0,adjacent,9.99946240331704e-05,0.0500234961168459,9.99946240331704e-05,0.00537596682959052,0.0500234961168459,0.0469922336917339,PASS
14,single_voltage,-100,-100,0,0,timestamped_linear,9.99946240331704e-05,0.0509891348850871,9.99946240331704e-05,0.00537596682959052,0.0509891348850871,1.97826977017426,PASS
15,single_voltage,-100,-100,0,0,robust_polynomial,9.99946240331704e-05,0.0510364502156388,9.99946240331704e-05,0.00537596682959052,0.0510364502156388,2.07290043127755,PASS
16,single_voltage,-100,-100,0,0,TR_TS_LTVKF,0.000100003761742238,0.0510257983454816,0.000100000951480606,0.000951480605970723,0.0509555455075423,1.91109101508466,PASS
17,single_voltage,-50,-50,0,0,adjacent,9.99971358491549e-05,0.0495083640440723,9.99971358491549e-05,0.0028641508451388,0.0495083640440723,0.983271911855332,PASS
18,single_voltage,-50,-50,0,0,timestamped_linear,9.99971358491549e-05,0.050470833801017,9.99971358491549e-05,0.0028641508451388,0.050470833801017,0.941667602033891,PASS
19,single_voltage,-50,-50,0,0,robust_polynomial,9.99971358491549e-05,0.0505181216884212,9.99971358491549e-05,0.0028641508451388,0.0505181216884212,1.03624337684243,PASS
20,single_voltage,-50,-50,0,0,TR_TS_LTVKF,0.00010000085551787,0.050510855779198,0.000100000754310304,0.000754310304262873,0.0504360816027956,0.87216320559127,PASS
