operating_case,Vin_V,D,load_fraction,window_cycles,observation_set,rank_Obs_normalized,max_sv_Obs_normalized,min_sv_Obs_normalized,cond_Obs_normalized,info_min_eig,info_max_eig,info_cond,stable_measurements,C_pseudo_measurements,R_pseudo_measurements,R_V,median_pseudo_R
nominal,24,0.4,1,3,stable_only,3,200.00036957273,0.186523991160553,1072.25010749731,11785.2441985043,13549734409.6063,1149720.29271366,25,6,4,2.95209829359236e-06,5.32968473248614e-06
nominal,24,0.4,1,3,stable_plus_C,3,200.000369573331,0.300529812782149,665.492610273274,23855.234527013,13549734409.6514,567998.373451667,25,6,4,2.95209829359236e-06,5.32968473248614e-06
nominal,24,0.4,1,3,stable_plus_R,3,200.000369572745,0.187964190432718,1064.03442651666,11877.9153383267,13549734409.6071,1140750.20941477,25,6,4,2.95209829359236e-06,5.32968473248614e-06
nominal,24,0.4,1,3,full_TR,3,200.000369573346,0.318745130610698,627.461725266692,24247.2655546232,13549734409.6522,558814.946746383,25,6,4,2.95209829359236e-06,5.32968473248614e-06
nominal,24,0.4,1,5,stable_only,3,256.125653731073,0.264468271193847,968.45512913472,23692.7972938735,22221601035.9674,937905.337235695,41,10,6,2.95209829359236e-06,5.32968473248614e-06
nominal,24,0.4,1,5,stable_plus_C,3,256.125653732171,0.389315439231172,657.887224400792,42753.105255869,22221601036.0729,519765.778487457,41,10,6,2.95209829359236e-06,5.32968473248614e-06
nominal,24,0.4,1,5,stable_plus_R,3,256.125653731089,0.265989189933757,962.917529824709,23832.6423391734,22221601035.9685,932401.901548412,41,10,6,2.95209829359236e-06,5.32968473248614e-06
nominal,24,0.4,1,5,full_TR,3,256.125653732187,0.41960516615428,610.396807264319,43506.1989772552,22221601036.074,510768.61593198,41,10,6,2.95209829359236e-06,5.32968473248614e-06
nominal,24,0.4,1,10,stable_only,3,360.001871484132,0.502717807517121,716.111237957034,85608.6650469786,43901433686.4669,512815.305113981,81,20,11,2.95209829359236e-06,5.32968473248614e-06
nominal,24,0.4,1,10,stable_plus_C,3,360.001871487187,0.551830903995922,652.377148290062,102047.778225774,43901433686.8797,430204.698722109,81,20,11,2.95209829359236e-06,5.32968473248614e-06
nominal,24,0.4,1,10,stable_plus_R,3,360.001871484149,0.508521179710138,707.938795566694,86873.9548423995,43901433686.4686,505346.323487994,81,20,11,2.95209829359236e-06,5.32968473248614e-06
nominal,24,0.4,1,10,full_TR,3,360.001871487205,0.646300254184172,557.019541856187,115200.20992084,43901433686.8813,381088.139657455,81,20,11,2.95209829359236e-06,5.32968473248614e-06
nominal,24,0.4,1,20,stable_only,3,507.548460593533,0.770182426625659,658.997716706178,200935.37250116,87261809815.0752,434277.990623934,161,40,21,2.95209829359236e-06,5.32968473248614e-06
nominal,24,0.4,1,20,stable_plus_C,3,507.548460602027,0.770555839566856,658.678365071283,201065.276343213,87261809816.693,433997.413196993,161,40,21,2.95209829359236e-06,5.32968473248614e-06
nominal,24,0.4,1,20,stable_plus_R,3,507.548460593554,0.900768266672204,563.461746347525,228816.301529876,87261809815.078,381361.857663295,161,40,21,2.95209829359236e-06,5.32968473248614e-06
nominal,24,0.4,1,20,full_TR,3,507.548460602048,0.901360995973278,563.091217469427,228979.289445855,87261809816.6958,381090.403537696,161,40,21,2.95209829359236e-06,5.32968473248614e-06
mid_load,24,0.4,0.5,3,stable_only,3,200.000084851842,0.0876435536705066,2281.97142260726,2602.01109145671,13549695830.7809,5207393.57156055,25,6,4,2.95209829359236e-06,5.32968473248614e-06
mid_load,24,0.4,0.5,3,stable_plus_C,3,200.000084851868,0.135510250076667,1475.90373967073,4961.24147568677,13549695830.7829,2731109.92423671,25,6,4,2.95209829359236e-06,5.32968473248614e-06
mid_load,24,0.4,0.5,3,stable_plus_R,3,200.000084851842,0.0878837493894127,2275.73454980445,2608.6606007369,13549695830.7809,5194119.85865595,25,6,4,2.95209829359236e-06,5.32968473248614e-06
mid_load,24,0.4,0.5,3,full_TR,3,200.000084851869,0.142721162414667,1401.3344725345,4996.62020999914,13549695830.7829,2711772.21027676,25,6,4,2.95209829359236e-06,5.32968473248614e-06
mid_load,24,0.4,0.5,5,stable_only,3,256.125144694445,0.134459003460546,1904.85678238422,6124.19432046967,22221512707.4656,3628479.36310444,41,10,6,2.95209829359236e-06,5.32968473248614e-06
mid_load,24,0.4,0.5,5,stable_plus_C,3,256.125144694498,0.174547532965949,1467.36616864395,9611.00323216109,22221512707.4708,2312090.85781091,41,10,6,2.95209829359236e-06,5.32968473248614e-06
mid_load,24,0.4,0.5,5,stable_plus_R,3,256.125144694445,0.134786887655711,1900.22300499045,6138.72520861997,22221512707.4656,3619890.44179112,41,10,6,2.95209829359236e-06,5.32968473248614e-06
mid_load,24,0.4,0.5,5,full_TR,3,256.125144694498,0.191559784466483,1337.05070408091,9810.90759572693,22221512707.4708,2264980.32833876,41,10,6,2.95209829359236e-06,5.32968473248614e-06
mid_load,24,0.4,0.5,10,stable_only,3,360.000576067037,0.242193734182215,1486.41572946801,19869.8684948171,43901117740.5242,2209431.72079753,81,20,11,2.95209829359236e-06,5.32968473248614e-06
mid_load,24,0.4,0.5,10,stable_plus_C,3,360.00057606721,0.242497649723454,1484.5528460905,19906.7077371427,43901117740.5476,2205342.95877742,81,20,11,2.95209829359236e-06,5.32968473248614e-06
mid_load,24,0.4,0.5,10,stable_plus_R,3,360.000576067038,0.266732085912697,1349.67105601561,21471.3152426652,43901117740.5242,2044640.36060955,81,20,11,2.95209829359236e-06,5.32968473248614e-06
mid_load,24,0.4,0.5,10,full_TR,3,360.000576067211,0.267299449247297,1346.80627693381,21519.1916480479,43901117740.5476,2040091.39648747,81,20,11,2.95209829359236e-06,5.32968473248614e-06
mid_load,24,0.4,0.5,20,stable_only,3,507.545221175212,0.330720349799614,1534.66583318123,37050.2398273745,87260695924.9731,2355199.21953382,161,40,21,2.95209829359236e-06,5.32968473248614e-06
mid_load,24,0.4,0.5,20,stable_plus_C,3,507.5452211758,0.330724646971857,1534.64589295938,37050.8079713686,87260695925.0851,2355163.1044731,161,40,21,2.95209829359236e-06,5.32968473248614e-06
