test_id,model_type,stress_group,ESL_nH,delay_magnitude_ns,jitter_rms_ns,pre_projection_C_F,pre_projection_ESR_Ohm,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,edge_fit_rejection_rate,status
1,Model_A,layered,0,0,0,9.9995205508743e-05,0.0499044118174414,0.000100000548911313,0.000548911313291711,0.0499166480968631,0.166703806273716,0,PASS
2,Model_A,layered,0,50,0,0.000100118753325581,0.0493663662290432,9.99911492093702e-05,0.00885079062979965,0.0493786017291179,1.2427965417643,0,PASS
3,Model_A,layered,0,100,0,0.000100242415977834,0.0488289236995207,9.99821005873708e-05,0.0178994126292076,0.0488413646568115,2.31727068637698,0,PASS
4,Model_A,layered,0,200,0,0.000100490087193175,0.0477558449625734,9.99652695176318e-05,0.0347304823682171,0.047768457076732,4.46308584653593,0,PASS
5,Model_A,layered,0,500,0,0.000101235893487503,0.0445508312899145,0.000100113278243859,0.113278243859094,0.0445657107746919,10.8685784506162,0,FAIL
6,Model_A,layered,0,1000,0,0.0001,-0.00386680093342035,0.0001,0,0.005,90,0,FAIL
7,Model_A,layered,5,0,0,0.000142318639303356,0.0576688152220058,0.00014167918448698,41.6791844869798,0.057153525458565,14.30705091713,0.405405405405405,FAIL
8,Model_A,layered,5,50,0,0.000167765237827467,0.059704483421677,0.00015,50,0.048465336884192,3.06932623161593,0,FAIL
9,Model_A,layered,5,100,0,0.000152501815627173,0.0569810262156505,0.00014951695513281,49.5169551328102,0.0485417334381554,2.91653312368911,0,FAIL
10,Model_A,layered,5,200,0,7.41983020307355e-05,0.0383889481337519,7.44321808601596e-05,25.5678191398405,0.0389361170722862,22.1277658554277,0.405405405405405,FAIL
11,Model_A,layered,5,500,0,7.81244827016491e-05,0.145035401192889,7.84626311817085e-05,21.5373688182915,0.144949936564663,189.899873129326,0.405405405405405,FAIL
12,Model_A,layered,5,1000,0,0.0001,0.0319955066092492,0.0001,0,0.0458043004397798,8.3913991204405,0,FAIL
13,Model_A,layered,10,0,0,0.000230116151874982,0.0652551657259906,0.00015,50,0.0644427302959431,28.8854605918861,0.405405405405405,FAIL
14,Model_A,layered,10,50,0,7.49808821318705e-05,0.0697407092687375,7.52874804054064e-05,24.7125195945936,0.048847541305069,2.3049173898621,0,FAIL
15,Model_A,layered,10,100,0,0.000112831320311745,0.0648833151684982,0.000112228697858626,12.2286978586264,0.0495621350032351,0.875729993529861,0,FAIL
16,Model_A,layered,10,200,0,0.000109309889765653,0.0290369342994006,0.000109172714587331,9.17271458733058,0.0299344517582711,40.1310964834578,0.405405405405405,FAIL
